BAND,BLA_ls8_dry_SR,BLA_ls8_wet_SR,BLA_s2a_dry_SR,BLA_s2a_wet_SR,BLA_s2b_dry_SR,BLA_s2b_wet_SR,DHA_ls8_wet_SR,DHA_s2a_wet_SR,DHA_s2b_wet_SR,DOO_ls8_dry_SR,DOO_ls8_wet_SR,DOO_s2a_dry_SR,DOO_s2a_wet_SR,DOO_s2b_dry_SR,DOO_s2b_wet_SR,FOW_ls8_dry_SR,FOW_ls8_wet_SR,FOW_s2a_dry_SR,FOW_s2a_wet_SR,FOW_s2b_dry_SR,FOW_s2b_wet_SR,LGR_ls8_dry_SR,LGR_ls8_wet_SR,LGR_s2a_dry_SR,LGR_s2a_wet_SR,LGR_s2b_dry_SR,LGR_s2b_wet_SR,LIT_ls8_dry_SR,LIT_ls8_wet_SR,LIT_s2a_dry_SR,LIT_s2a_wet_SR,LIT_s2b_dry_SR,LIT_s2b_wet_SR,LKG_ls8_wet_SR,LKG_s2a_wet_SR,LKG_s2b_wet_SR,LLF_ls8_dry_SR,LLF_ls8_wet_SR,LLF_s2a_dry_SR,LLF_s2a_wet_SR,LLF_s2b_dry_SR,LLF_s2b_wet_SR,NRB_ls8_wet_SR,NRB_s2a_wet_SR,NRB_s2b_wet_SR,PIN_ls8_dry_SR,PIN_ls8_wet_SR,PIN_s2a_dry_SR,PIN_s2a_wet_SR,PIN_s2b_dry_SR,PIN_s2b_wet_SR,WIN_ls8_dry_SR,WIN_ls8_wet_SR,WIN_s2a_dry_SR,WIN_s2a_wet_SR,WIN_s2b_dry_SR,WIN_s2b_wet_SR
band1,0.07076375,0.06689129870129873,0.07824475524475524,0.07533526473526474,,0.06636534576534575,0.021108990147783245,,0.025004814814814813,0.06989109461966604,0.05887632653061223,0.07716733333333334,0.06122992222222221,0.060154,0.05916204115226337,0.06883928571428571,0.06562841945288751,0.06703515625000002,0.06397198660714284,0.06436455078125,0.06586298076923078,0.07871324960753535,0.07830886012941755,0.07703422740524782,0.07567301782782078,0.07558631452581033,0.07750167066826728,0.03636462912087912,0.03645972744360903,0.035542246913580246,0.034835703703703695,0.031240518518518518,0.02986497354497355,0.09880746031746032,0.10492057291666668,0.08007825520833334,0.5238053571428571,0.4605861904761904,0.4735139761167625,0.40810705679862314,0.43989193277310923,0.4004923927465723,0.040407510288065836,0.05325253623188406,0.04311904761904762,0.1942692708333333,0.19369640261627907,0.19494829545454542,0.1910360152714932,0.17644963235294117,0.17264785539215688,0.16609730349971308,0.16507137085137089,0.17310779487179487,0.16779868945868948,,0.16255277777777777
band2,0.0733225,0.06751424242424243,0.08574772727272728,0.08070249750249749,,0.07508321678321678,0.016144365763546793,,0.0200620987654321,0.07860371057513915,0.06315875402792695,0.08965888888888889,0.06963214444444445,0.07300372222222222,0.0714628148148148,0.07429866071428572,0.07084392097264439,0.079918671875,0.07531498325892858,0.07747392578125001,0.07814474158653846,0.08367306122448978,0.0828356893977103,0.08298078717201166,0.08182121745249823,0.08513073229291716,0.08713871548619445,0.0332279532967033,0.032983270676691726,0.03564661728395061,0.034732259259259254,0.0341542962962963,0.032565343915343915,0.10516539682539681,0.11643437499999999,0.09026419270833333,0.5114446428571429,0.45208255952380955,0.4706459531180893,0.40944762073504126,0.4507528151260504,0.41557868199911546,0.0388215706447188,0.04559596273291926,0.044072321428571426,0.2254453125,0.22680385174418602,0.23717326203208555,0.2327476102941177,0.22735606617647058,0.22196709558823532,0.18486055651176136,0.1833426262626262,0.20495702564102566,0.19599527065527067,,0.19336055555555556
band3,0.10102458333333333,0.09616610389610385,0.11048094405594405,0.10414270729270728,,0.10108593628593629,0.03231376231527094,,0.03181950617283951,0.130325974025974,0.10109716433941995,0.1279468888888889,0.10171394444444441,0.11005433333333334,0.11061290534979423,0.13723683035714285,0.1319389817629179,0.1386303125,0.13200772879464287,0.13807373046875002,0.1356723858173077,0.12699576138147564,0.12440024888003978,0.115841195335277,0.1160217745718977,0.11570528211284514,0.11972382953181271,0.05279842032967033,0.05265249060150377,0.05061246913580247,0.049816925925925924,0.04976659259259259,0.048979947089947094,0.1302249206349206,0.13792890625,0.10273294270833333,0.5495425,0.5119475595238095,0.4985000663423264,0.4501500860585199,0.47768676470588234,0.45627544228217615,0.0706338134430727,0.07317065217391304,0.07245553571428572,0.39630091145833335,0.4071006177325581,0.3848316176470588,0.38551664309954753,0.38197591911764706,0.37106666666666666,0.28995516351118755,0.2851335642135642,0.2980398974358974,0.28061019943019944,,0.27360264957264957
band4,0.13432666666666665,0.12464632034632035,0.15393164335664336,0.14435419580419578,,0.1382113442113442,0.02998011083743843,,0.02955938271604938,0.17913729128014844,0.13281508055853924,0.19522711111111113,0.14865915555555553,0.15627099999999997,0.15051502880658438,0.23413839285714286,0.22204779635258354,0.25971796875,0.24403292410714286,0.26459072265624994,0.2568888221153846,0.16410784929356353,0.15867333250373322,0.1569700728862974,0.15209327938071776,0.15633211284513807,0.15924863945578227,0.06757369505494505,0.06423294172932334,0.06498345679012346,0.06234614814814815,0.06658674074074075,0.06033100529100529,0.1429115873015873,0.1553787109375,0.11873606770833334,0.5894542857142857,0.5654742857142857,0.5508495134896064,0.515403553710641,0.5381411764705881,0.5265614108801414,0.06320209190672152,0.06541746894409937,0.06810863095238096,0.5080944010416667,0.5213511627906976,0.5033090909090909,0.5070835548642533,0.5029755514705883,0.49053915441176477,0.4196795467584624,0.41211826839826865,0.44776410256410254,0.4174847863247863,,0.40549987179487174
band5,0.22574,0.23071761904761912,0.17948968531468534,0.17211068931068935,,0.16815881895881896,0.2269632697044334,,0.06623481481481482,0.29941168831168835,0.276288528464017,0.22262677777777778,0.17927404444444442,0.18867600000000004,0.18992312757201646,0.3139424107142857,0.30227807750759883,0.295487734375,0.28197787388392864,0.29468232421874996,0.2882675180288462,0.2250791522762951,0.23274540816326536,0.1817228134110787,0.1794089197748065,0.1764328331332533,0.18103836534613843,0.20486387362637362,0.20802316729323306,0.10113160493827161,0.09916188888888891,0.10099977777777777,0.09772063492063492,0.15689666666666663,0.17758736979166664,0.13592356770833333,0.568675,0.5323968452380953,0.5737282176028305,0.5400789915966387,0.5665489495798319,0.5545247125165855,0.41924763374485585,0.12588506728778467,0.12664261904761903,0.6189079427083332,0.6297764898255815,0.5534307820855614,0.5590315893665159,0.552230606617647,0.5392402573529412,0.48505989672977623,0.4796409668109667,0.504892923076923,0.4732597150997151,,0.4528529059829059
band6,0.31722125,0.305110606060606,0.19486066433566435,0.18988986013986014,,0.20379580419580423,0.10541351600985222,,0.15329160493827163,0.34266586270871985,0.281560537056928,0.2348791111111111,0.21168286666666664,0.2441292777777778,0.2573139423868313,0.4218421875000001,0.4085899316109422,0.306669609375,0.29662179129464283,0.309697265625,0.3026282151442307,0.3132510204081632,0.3057360004977601,0.19598998542274057,0.20162335796387518,0.18685390156062429,0.19636796718687483,0.19001765109890115,0.1843088815789474,0.1520280740740741,0.1526162962962963,0.14824562962962964,0.15515216931216932,0.07740666666666667,0.17043776041666664,0.143968359375,0.10602857142857144,0.10082803571428572,0.5475572534276869,0.5108993317809052,0.5523678571428571,0.5317928350287484,0.2364819958847737,0.3026138975155279,0.3007120238095239,0.6738263020833334,0.6711678415697675,0.5687546457219251,0.5755810803167422,0.5735438419117647,0.5609716299019608,0.6231636546184739,0.6131866522366521,0.516823282051282,0.4869490313390313,,0.47374504273504264
band7,0.2392425,0.2262227705627705,0.20873006993006993,0.20384395604395603,,0.21628896658896657,0.049291009852216745,,0.16718333333333332,0.26439999999999997,0.21006496240601494,0.25001588888888887,0.22958791111111115,0.26545922222222224,0.28057032098765433,0.34658482142857144,0.3318075227963525,0.31629296874999996,0.3063294084821429,0.31481533203125,0.3081232271634615,0.25714417582417587,0.24629160029865585,0.206612361516035,0.21555604034717332,0.1936184573829532,0.20562706082432974,0.11977390109890108,0.11410695488721806,0.17167365432098766,0.1730415925925926,0.1639877037037037,0.17305772486772483,0.06496873015873017,0.178746875,0.14623020833333333,0.057527857142857144,0.05123476190476191,0.5506544007076514,0.5069457274476054,0.549083361344538,0.5219096638655462,0.12736183127572012,0.36712424948240174,0.34834136904761903,0.5049048177083333,0.5006272529069767,0.5897104278074866,0.5893507070135746,0.5787229779411764,0.5701886642156863,0.5263772805507745,0.5146322366522367,0.5064968205128204,0.4876156125356125,,0.47131683760683757
band8,,,0.229256993006993,0.2249989010989011,,0.23790372960372957,,,0.19042987654320986,,,0.27097099999999996,0.24746422222222225,0.2871046666666667,0.3023587654320987,,,0.331644765625,0.32184921875,0.32688330078125,0.32206225961538454,,,0.21848164723032065,0.22766674876847293,0.20681776710684274,0.22025748299319733,,,0.19565056790123458,0.1977592962962963,0.18986481481481482,0.20075502645502644,,0.18285234375000003,0.16076901041666666,,,0.5588160548429898,0.5145179710438393,0.566673949579832,0.5375198474126491,,0.3983860766045549,0.38801892857142856,,,0.6119622994652407,0.6100361708144797,0.6062644301470588,0.597663786764706,,,0.5210228717948718,0.502517150997151,,0.48610414529914525
band8a,,,0.23916468531468532,0.23469440559440563,,0.2493157731157731,,,0.2013993827160494,,,0.28401855555555555,0.25964395555555553,0.2977077777777778,0.31336367078189303,,,0.3342278125,0.3239840680803571,0.33427451171875,0.32712554086538465,,,0.22923948979591838,0.23800833333333335,0.21479636854741896,0.22748368347338935,,,0.20266441975308647,0.20457844444444445,0.19510192592592593,0.20514862433862432,,0.177999609375,0.16215768229166666,,,0.5468736620964175,0.5007725523944517,0.5538980672268907,0.5209607806280407,,0.4143356107660456,0.3961354166666667,,,0.6138796457219252,0.6139189338235292,0.6045934742647059,0.5973464460784313,,,0.5149235897435898,0.495817094017094,,0.4797722649572649
band11,,,0.36557762237762237,0.35074835164835166,,0.34398414918414916,,,0.11891987654320986,,,0.41047399999999995,0.32430707777777784,0.3344991666666667,0.3191055473251029,,,0.473930078125,0.45117826450892856,0.4762671875,0.46860369591346157,,,0.3221128862973761,0.3114889631714755,0.31958949579831925,0.32806522609043615,,,0.19722358024691353,0.198027537037037,0.2021768888888889,0.1950995767195767,,0.05110611979166667,0.17446640624999998,,,0.12703726227333034,0.09642127670345246,0.1442222268907563,0.11742979876160989,,0.2530975414078675,0.26831809523809524,,,0.6977441176470588,0.6912211962669682,0.6967138786764706,0.6652142156862745,,,0.6893808205128205,0.6518609116809118,,0.637234829059829
