,filename,date_saved,Latitude,Longitude,Line,Spec_number,Inst_number,Solar_angle,band1,band2,band3,band4,band5,band6,band7,band8,band8a,band11,band12
0,mul_ln100004.asd.rad,2021-09-05 00:04:46,-35.12317,148.86273166666666,1,4,18179/3,50.3825566021652,0.023645056400505467,0.03134917941540857,0.05939078438166183,0.04953945106004071,0.10126631351105225,0.24679692368338665,0.29738799748042444,0.32246709134122364,0.3375454683088549,0.19282939234643037,0.09392336546518444
1,mul_ln100005.asd.rad,2021-09-05 00:04:50,-35.123165,148.8627705,1,5,18179/3,50.37382689694546,0.024467447483807078,0.03210403162051646,0.06397775757418947,0.04630803829211485,0.10664361880749251,0.30664304784232765,0.37108748300669664,0.3990502757497207,0.4164310966473701,0.2305893393646548,0.11170447929777415
2,mul_ln100006.asd.rad,2021-09-05 00:04:53,-35.123158333333336,148.86281683333334,1,6,18179/3,50.36727061037603,0.020956156275327167,0.027699461756365715,0.05791047789121647,0.03781134197038649,0.09718452237646691,0.30568114994490475,0.3731236065085383,0.39925636334460685,0.41547882330249153,0.21491298068001388,0.10009111916308967
3,mul_ln100007.asd.rad,2021-09-05 00:04:57,-35.123151666666665,148.8628575,1,7,18179/3,50.35854455652586,0.02287270739419284,0.029153142872871494,0.058139416003931986,0.03797771344250348,0.09489972395873135,0.3065093967482877,0.37842355272503364,0.40337935716415924,0.41882928715755646,0.20735927841257018,0.0942930027166699
4,mul_ln100008.asd.rad,2021-09-05 00:05:00,-35.123145,148.86290216666666,1,8,18179/3,50.35199356351825,0.02029016822335948,0.02621309194731418,0.05644959815414869,0.03383459171419147,0.0938483333932133,0.32781981391930776,0.40223620915217473,0.42810082145072326,0.44406026519406416,0.23164426897202336,0.1082875413364888
5,mul_ln100009.asd.rad,2021-09-05 00:05:04,-35.12314333333333,148.86294583333333,1,9,18179/3,50.343275701655095,0.018002677734291553,0.024045483989865887,0.05242865555076245,0.034183378237593404,0.0895326082450764,0.27840100821458985,0.33661377102873213,0.36216160480982484,0.3776437041303807,0.2152163624544606,0.10131925397892871
6,mul_ln100010.asd.rad,2021-09-05 00:05:08,-35.12313833333333,148.86299116666666,1,10,18179/3,50.33455777445777,0.02004703188546706,0.026608365090029035,0.05509541007517078,0.03910812085231665,0.09385056417489347,0.2605106716675494,0.31268159024041714,0.3386754549123077,0.35464385353177486,0.22461711888032407,0.10866054646613658
7,mul_ln100011.asd.rad,2021-09-05 00:05:11,-35.123133333333335,148.8630305,1,11,18179/3,50.3280178048163,0.022425409607804307,0.029865493257388888,0.06125416535605234,0.04496450581758491,0.10355906350136503,0.2799550621188338,0.33638047099423146,0.36323703157636855,0.3797338858369895,0.21453204785810087,0.10391463829892537
8,mul_ln100012.asd.rad,2021-09-05 00:05:15,-35.123128333333334,148.8630775,1,12,18179/3,50.31930491919871,0.021947298243215396,0.029593302411256368,0.05939390143415462,0.04658837767745818,0.10193731624595581,0.2703059193324081,0.32724324536888777,0.35460959503234224,0.37106755588477625,0.21010469096012316,0.09478812339865214
9,mul_ln100013.asd.rad,2021-09-05 00:05:18,-35.123126666666664,148.86311733333332,1,13,18179/3,50.31277169823971,0.02490965978482924,0.03268488190308069,0.06137917174111915,0.051417333767808486,0.10380956638194472,0.256438832796003,0.31052345092659656,0.3376136216730958,0.35393263138256925,0.21280366364951467,0.10655940686277647
10,mul_ln100014.asd.rad,2021-09-05 00:05:22,-35.123125,148.8631585,1,14,18179/3,50.30407033357735,0.027373682451539816,0.037438960045171936,0.06724706710610222,0.06802546821217295,0.1203785429304684,0.23708542489279913,0.28331705843560995,0.31494889620108624,0.3333890326822336,0.23178556589810825,0.11466230034970544
11,mul_ln100015.asd.rad,2021-09-05 00:05:25,-35.12312166666667,148.86320383333333,1,15,18179/3,50.29753740880125,0.025226581039825283,0.03484919986073105,0.06396234049307295,0.06438462794085525,0.11584044661039362,0.22989486176058366,0.2744591439333495,0.3041107067225984,0.3213547335429443,0.22456319611891326,0.10928542990480203
12,mul_ln100016.asd.rad,2021-09-05 00:05:29,-35.12312333333333,148.863252,1,16,18179/3,50.28884090523334,0.025404134415640524,0.03495916368653896,0.06415159487655367,0.062330105725027014,0.11449345877397499,0.24420698991271667,0.2933486307871103,0.3243656337603287,0.3426287437900901,0.22425520798492365,0.1146652464816526
13,mul_ln100017.asd.rad,2021-09-05 00:05:32,-35.12311833333333,148.86329233333333,1,17,18179/3,50.28231373641336,0.022288847822270513,0.030614165617976526,0.06046893979372701,0.05242980305701536,0.10763756947126601,0.2592967411300446,0.31353986792313226,0.3447062226838439,0.36317356906888615,0.2228713989485601,0.10358954231818372
14,mul_ln100018.asd.rad,2021-09-05 00:05:36,-35.12311833333333,148.863339,1,18,18179/3,50.27362265330613,0.022082435607688536,0.029609143362376186,0.05926787496629404,0.046556601714633,0.10335803691132768,0.27590399476576116,0.33600640116108904,0.3675135059763342,0.38632716680419427,0.20915402856466953,0.09837331569020255
15,mul_ln100019.asd.rad,2021-09-05 00:05:40,-35.12311666666667,148.86338333333333,1,19,18179/3,50.26493488211099,0.019877255666607523,0.026931915744163336,0.05570683995681657,0.04161775320540343,0.09491784612761248,0.2596237888912925,0.31597818139272743,0.3421823028956488,0.3577637969924121,0.18661784837453405,0.08768272251335596
16,mul_ln100020.asd.rad,2021-09-05 00:05:43,-35.123115,148.8634255,1,20,18179/3,50.25841633256828,0.026256982517287482,0.035087973720145195,0.06864828349135553,0.05451432852549557,0.1163738800434257,0.29052813584506976,0.3489916270394262,0.37795248990546293,0.39515974088478917,0.224497777051181,0.11479142561088054
17,mul_ln100021.asd.rad,2021-09-05 00:05:47,-35.123113333333336,148.86346433333333,1,21,18179/3,50.24973734858324,0.023098392861892594,0.031247848106370792,0.05592455038481887,0.05495865974701495,0.0975705449284545,0.20095537198947203,0.23812135308946838,0.2615577240191744,0.27542504224353265,0.20216781467800965,0.09996226970587378
18,mul_ln100022.asd.rad,2021-09-05 00:05:50,-35.123115,148.8635075,1,22,18179/3,50.24322531638979,0.020868154362516045,0.027902398118714068,0.05480851959929358,0.04335319314574019,0.09377407697012893,0.24532318686381763,0.297782862144519,0.3236587655533125,0.3390493119818314,0.18984139189983962,0.09560802292511379
19,mul_ln100023.asd.rad,2021-09-05 00:05:54,-35.123108333333334,148.86354866666667,1,23,18179/3,50.23454719374081,0.022794863757156218,0.02940365751299315,0.0551299841774226,0.04249062320345444,0.09108431987185503,0.25536411975190043,0.31168999765376926,0.3375193868079979,0.3529007031667263,0.19024269098845875,0.09583077179437648
20,mul_ln100024.asd.rad,2021-09-05 00:05:58,-35.12310333333333,148.86359083333332,1,24,18179/3,50.22587323704761,0.020102477557841815,0.028168043402760825,0.056084128021232645,0.04752350001888003,0.09822464242642927,0.23414639775541574,0.2808405840860278,0.30683927339108574,0.3221140510044628,0.20455442287990439,0.10318037280299854
21,mul_ln100025.asd.rad,2021-09-05 00:06:01,-35.1231,148.86362733333334,1,25,18179/3,50.21936779745019,0.016530071983141107,0.024060569624292965,0.052104680526356445,0.04195149649112462,0.09280750060384466,0.22742343682354066,0.2730391898703342,0.29849656662555524,0.31355174624152005,0.18894896978351133,0.09112147399872327
22,mul_ln100026.asd.rad,2021-09-05 00:06:05,-35.123095,148.863665,1,26,18179/3,50.210702115278075,0.022514996050412007,0.029695998682287936,0.06059957395580385,0.042052454294151484,0.10070473096785376,0.28893489149525325,0.3465396898759702,0.3705561008550644,0.3852688568841452,0.22630881560435118,0.10542694806524833
23,mul_ln100027.asd.rad,2021-09-05 00:06:08,-35.12309,148.863702,1,27,18179/3,50.20419958879284,0.025477478466141536,0.033221106303965464,0.06207444844966884,0.04895687354773204,0.10137901510880926,0.26850246573536507,0.3235577905576382,0.34756194665292356,0.3619330059499199,0.21004236254638475,0.1087531817121666
24,mul_ln100028.asd.rad,2021-09-05 00:06:11,-35.123083333333334,148.86374766666665,1,28,18179/3,50.19769320348141,0.021727891907569744,0.02830037735947568,0.05600939330880579,0.04051425197395868,0.09250266826225788,0.2767443479011074,0.3403886188544425,0.36560598289001595,0.3804891595754578,0.18309829657608648,0.08570098466430888
