,Sat_inner_mean,Sat_SD,Field_inner_mean,Field_SD
Band1,0.10684736842105262,0.0038587383295378913,0.09486281391937734,0.012471781614092625
Band2,0.12269473684210527,0.004517739733447355,0.11020003614591976,0.014793476190911321
Band3,0.15980526315789473,0.005425230888534221,0.14785938526928327,0.019459351589079372
Band4,0.18886842105263157,0.006660413503172382,0.17394806504678778,0.024248179081666505
Band5,0.27,0.007207160182397561,0.25529570431794085,0.02588084923593861
Band6,0.3025157894736842,0.008022420107220221,0.2917227556598287,0.031348763150035264
Band7,0.2678473684210526,0.007374520032271335,0.26180142680063284,0.030595825201660667
