,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.15842102564102564,0.00889089531267133,0.1861027344480451,0.01619160001221438,5.612194010672338,8.700355779422813,0.8512557653216672
Band2,0.18867948717948718,0.01714843163176513,0.2285488817580467,0.01791952499404943,9.088657112711015,7.840565596387357,0.8255541909814844
Band3,0.2755846153846154,0.019028900266828127,0.33191729777980367,0.021225887457770546,6.9049211039124,6.394932593073818,0.8302809682652942
Band4,0.41510923076923073,0.023020296884250932,0.49101362744070526,0.027842118219545384,5.545599851295157,5.670335131973012,0.8454128512336642
Band5,0.4659871794871795,0.025293641437580963,0.5275277385902946,0.03036799697236238,5.4279693843544585,5.756663536502247,0.8833415674641696
Band6,0.4878241025641026,0.027241007617000525,0.5531340437874098,0.032125427085566025,5.584186487263802,5.807891856664138,0.881927460519121
Band7,0.47489128205128206,0.02629887149567616,0.5493054692318685,0.031050398124975877,5.53787203295853,5.652665022322784,0.8645304091280123
Band8,0.4899717948717948,0.02921193072664721,0.5466126522566143,0.03166879346706599,5.961961695017721,5.7936444274251215,0.8963784369955845
Band8a,0.4850758974358974,0.027795620086435928,0.5456836349802529,0.03207220893994674,5.730158977876057,5.877436463915098,0.8889324625860391
Band11,0.6530220512820514,0.0284388967274452,0.6997682463251529,0.03263730230313766,4.354967289636281,4.664015904484537,0.93319760465184
Band12,0.5582528205128204,0.021433499534633107,0.6125119029421836,0.026945544974771918,3.839389385430052,4.3991871578886474,0.9114154644689659
