,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.0316515625,0.0007982387228102568,0.029991843754395276,0.004931766920216453,2.5219567685173736,16.443693694202135,1.055339003470285
Band2,0.0287359375,0.0009269181442251252,0.03500065917838438,0.006102972981041108,3.225640869469198,17.436737262394665,0.8210113230595002
Band3,0.0480390625,0.0017161564238418797,0.05449359513123004,0.009796052516398398,3.5724186412711108,17.976520897194987,0.8815542887987771
Band4,0.06536875,0.0026233253586812294,0.07083258952649928,0.013908543416462062,4.0131184376039455,19.63579689721596,0.9228626319745773
Band5,0.1959875,0.013798465720869115,,,7.040482541421833,,
Band6,0.1910203125,0.011228106191711216,,,5.877964518412782,,
Band7,0.1244359375,0.006502075802856635,,,5.225239535690109,,
