,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.080275,0.0043146552585345685,0.07483282345105316,0.005816920528792639,5.374843050183205,7.77322070788547,1.0727244583054716
Band2,0.0818140625,0.004845064085860345,0.0821776017489846,0.006521801887795295,5.922043152251907,7.936228058487822,0.9955761759743849
Band3,0.0957046875,0.006102981589136883,0.09366099792677467,0.007576768621507497,6.3768888949529074,8.08956640354303,1.021820070450489
Band4,0.108365625,0.006946766755791863,0.10315882921009091,0.00857148806441506,6.410489263354374,8.309020303980539,1.0504735835970476
Band5,0.1435625,0.008840946993959415,0.13727023192420015,0.012344558239544027,6.1582565042817,8.992888018401997,1.0458385477142227
Band6,0.2158546875,0.010378296610106292,0.21363372291964502,0.014816703640474674,4.808001498742663,6.935564028928028,1.01039613292322
Band7,0.1837625,0.01066761307650404,0.17894365547997007,0.015072606375183793,5.805108809743033,8.423101861172682,1.0269293957760315
