,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.5053339285714286,0.04292993160282776,0.08191299833477919,0.010093876071546397,8.495359043907863,12.322679277704658,6.169154332577646
Band2,0.4826303571428572,0.043508656444283984,0.0913379958347313,0.01135731019209648,9.014902564739737,12.434376393200713,5.284004238675629
Band3,0.4723625,0.04566655372878805,0.1070411668617071,0.013340489917232164,9.667692445693307,12.462952626878163,4.412904995797303
Band4,0.4818357142857143,0.04787963117686532,0.11980073577123343,0.014882282769447992,9.936920356317572,12.422530357298129,4.021976252347966
Band5,0.4837053571428572,0.04501340443072349,0.15514500535893766,0.01674463446055775,9.305955323010672,10.79289302405707,3.117762998710623
Band6,0.33347321428571425,0.03037074773922756,0.22303797451983084,0.02472035753559737,9.107402465376548,11.08347472613881,1.495140973207073
Band7,0.24103214285714283,0.024208691673674152,0.18231835269525873,0.024720340385176308,10.043760714529425,13.558887528177612,1.3220399334126443
