,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.04991333333333333,0.0006443256595507861,0.044557649037529616,0.007650078190276227,1.2908888597918782,17.16894485127074,1.1201967431291713
Band2,0.053508571428571426,0.0020969644403149943,0.05681491176508496,0.009024633530080348,3.918931835274712,15.88426919924629,0.9418050607878368
Band3,0.08334190476190477,0.0027839431080797865,0.08801329098871899,0.01030020352550106,3.340388146914918,11.703009181671524,0.9469240818706237
Band4,0.13457952380952382,0.005010504181636316,0.13347799880180009,0.013124954090579843,3.7230806290620393,9.833046800520986,1.0082524836872881
Band5,0.15774333333333335,0.005202012278535274,0.14667019793603583,0.013604887179410684,3.29776997138935,9.275836107716916,1.0754968327112138
Band6,0.1701695238095238,0.005007568059295922,0.1587861836665873,0.013813339608530695,2.9426938191947065,8.699333461868052,1.0716897394979827
Band7,0.16942333333333334,0.0048386615950845365,0.16077408644048663,0.013727123647599532,2.855959388760621,8.538144393487734,1.0537975185201776
Band8,0.1805447619047619,0.005875023500700814,0.17113916091935205,0.014724646032553421,3.2540536976641357,8.60390220067299,1.0549587887125504
Band8a,0.19145047619047617,0.005079147356444852,0.17744095527162498,0.01535506614192959,2.6529823573755715,8.653620083607077,1.07895314189109
Band11,0.2970295238095238,0.010205534668427753,0.2835969095174001,0.027901875168573415,3.435865410797433,9.838568133924428,1.047365164574544
Band12,0.27516761904761905,0.008392428506447204,0.26273843385699436,0.026005314204822074,3.0499331772736147,9.89779600306839,1.047306307677048
