,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.079425,0.0032151468267634462,0.07478019177579655,0.005897295185378533,4.048028740023225,7.8861728558541335,1.062112815090517
Band2,0.08650441176470589,0.004262910626194317,0.0838540509100352,0.006773580288482338,4.927969035601951,8.077821184512045,1.0316068314638036
Band3,0.09568088235294117,0.0051066135709127,0.09362077437582704,0.007667698073905578,5.337130516915353,8.190167326671231,1.0220048166750269
Band4,0.11029779411764705,0.0058693679751912545,0.10445216596209805,0.008785623655420129,5.321382918076135,8.4111454985128,1.055964642778879
Band5,0.12316360294117647,0.006033963209932164,0.11071329947136503,0.009212803203419608,4.899144768291663,8.321315729373971,1.1124553556732504
Band6,0.13130735294117646,0.0071337601704536,0.11819159223246686,0.011348536014618884,5.432871816134629,9.6018132933668,1.1109703360532843
Band7,0.1322466911764706,0.006626072893717915,0.12508009824557662,0.012083331883887275,5.010388414842117,9.660475210183645,1.0572960289559687
Band8,0.14442610294117647,0.008212178158506438,0.1333372255044405,0.01246399809194041,5.68607612562335,9.347725696846247,1.0831641531071659
Band8a,0.14706985294117647,0.007259297485182274,0.1378129889762672,0.01267207216261407,4.935952093516933,9.195121778250037,1.0671697496271806
Band11,0.22865992647058825,0.008591872270479846,0.21398961453717888,0.015087959411019572,3.7574892999823426,7.050790499180121,1.068556186547364
Band12,0.19511985294117645,0.008649620187623176,0.18158356055233557,0.015389236867669132,4.432978016968274,8.475016582370452,1.0745458033076705
