,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.16758095238095239,0.013938645115806596,0.1869549787857027,0.016228821943030013,8.317559315524509,8.680604308287672,0.8963706314183919
Band2,0.18743809523809524,0.01506436906808583,0.220095277019349,0.017651279825913867,8.036983649961954,8.019835802456639,0.8516225235565468
Band3,0.2973,0.015862219264655246,0.3389684351334932,0.021506659457863734,5.335425248790866,6.344738102057774,0.8770728161839517
Band4,0.4324714285714285,0.01904622554426449,0.4857337231316459,0.027932781588787342,4.404042506849386,5.750636667492996,0.8903467228570786
Band5,0.5037785714285715,0.023790139371019182,0.5458598205678784,0.03208653294213066,4.722340472632087,5.878163538168066,0.9229083226980725
Band6,0.6434428571428572,0.024530225697883736,0.6996342989631779,0.0326294823035776,3.8123394215311857,4.663791119436657,0.9196845524817844
Band7,0.5427285714285714,0.017244658050901356,0.6078314412148385,0.026739761481213865,3.1774000778160483,4.399206699108984,0.8928932178036898
