,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.10975510204081634,0.004514695335144943,0.10727699634075524,0.00670541572042591,4.113426393122019,6.250562514937304,1.0231000660401568
Band2,0.11255102040816328,0.004991426218372967,0.1183800320013832,0.007496985963482697,4.434812052588855,6.332981869269219,0.9507601789366655
Band3,0.12940204081632653,0.005816847094499133,0.1360282452616038,0.00881217769383415,4.4951741547535375,6.478196992754661,0.9512880252734716
Band4,0.1446408163265306,0.00662210023923747,0.15263628607610433,0.01001649290794695,4.578306737627846,6.562327455316054,0.9476175033138111
Band5,0.20451020408163265,0.00792047836367041,0.20804962109923933,0.013099579279657873,3.872901305457041,6.296372572295816,0.9829876305522403
Band6,0.2926326530612245,0.010179178182518971,0.3201375655379386,0.017522101850661127,3.478483373620403,5.473303897097522,0.9140840831019108
Band7,0.24360204081632655,0.009713854818088721,0.2810847525197569,0.017618554679589202,3.9875917235902256,6.268057773198078,0.8666497867016256
