,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.16799666666666668,0.008045864855305567,0.1540111619634059,0.004522111867171207,4.789300296814758,2.936223459079993,1.0908083837883376
Band2,0.21888238095238094,0.012066463720246216,0.2140273979490587,0.006286895693341269,5.512761542406349,2.9374256537182366,1.022683932290191
Band3,0.38317238095238093,0.011330174589821097,0.3981887119377851,0.012046864697534984,2.956939266253943,3.0254159237485476,0.962288406137062
Band4,0.5114785714285714,0.016617585861488593,0.5189216982812701,0.017096086725684786,3.248930999215723,3.294540733661561,0.9856565511186925
Band5,0.5711709523809524,0.017551270854749525,0.5458942345499789,0.018074002582224774,3.072857746281782,3.310898236015355,1.0463033244009454
Band6,0.5907585714285714,0.018454650926428454,0.57337871920498,0.019150635085521686,3.1238905060321764,3.339962653667206,1.0303112962540526
Band7,0.5886695238095238,0.017914110553306845,0.5933173317526791,0.020902451493614155,3.0431523679665347,3.5229800942891085,0.9921664045622508
Band8,0.6257095238095238,0.020725349207510176,0.5978734427159276,0.020779317078824626,3.3122956290208734,3.47553772993019,1.0465584839613327
Band8a,0.6116061904761905,0.019435017727261195,0.5978408370930604,0.020760365780658638,3.177701277374136,3.4725573250572483,1.0230251139250752
Band11,0.720322380952381,0.02261108501951282,0.6982643200467755,0.02457282469121805,3.139022973243919,3.5191293591475445,1.0315898439492481
Band12,0.5775523809523809,0.022103018950180044,0.585325443735569,0.020445081052566563,3.8270154671914396,3.492942476938177,0.986720100985906
