GA Labsphere Panel 	
Serial # Serial Number : 99AA10-0813-7055	
Comments : Lab cal CSIRO Jan 2018	
	

Wavelength	K-factor
350	0.910152828
351	0.911868715
352	0.909408104
353	0.904866511
354	0.914517989
355	0.915480096
356	0.915144189
357	0.914489024
358	0.912419148
359	0.910916012
360	0.913273939
361	0.915668888
362	0.917420858
363	0.917014554
364	0.919694596
365	0.921130532
366	0.919911276
367	0.920682855
368	0.922455074
369	0.924639627
370	0.924667525
371	0.92500249
372	0.9252246
373	0.926064508
374	0.928654744
375	0.930943684
376	0.932437029
377	0.933781305
378	0.93349123
379	0.935611098
380	0.936833166
381	0.93603539
382	0.939302068
383	0.940767672
384	0.941003886
385	0.94055157
386	0.941337232
387	0.943064443
388	0.943945929
389	0.94564004
390	0.946283426
391	0.946155417
392	0.945898786
393	0.946386078
394	0.947361411
395	0.949228144
396	0.950727531
397	0.950795312
398	0.950924624
399	0.951086254
400	0.952070493
401	0.952675038
402	0.953437764
403	0.953495485
404	0.95383679
405	0.95393947
406	0.954525373
407	0.95524269
408	0.955427864
409	0.955914243
410	0.956208755
411	0.955784537
412	0.95578668
413	0.956503309
414	0.95746466
415	0.957165446
416	0.957093972
417	0.957093393
418	0.957045548
419	0.95752922
420	0.957618077
421	0.957727375
422	0.957891958
423	0.957539543
424	0.957450303
425	0.957389176
426	0.95727662
427	0.957221384
428	0.957468816
429	0.957503602
430	0.957615138
431	0.957448057
432	0.956978134
433	0.956795286
434	0.956680013
435	0.956928684
436	0.957212284
437	0.95743392
438	0.957008454
439	0.956555787
440	0.956225085
441	0.956220625
442	0.956112063
443	0.956075361
444	0.955837632
445	0.955693516
446	0.955641177
447	0.95554761
448	0.955492272
449	0.955445078
450	0.955509309
451	0.955365762
452	0.955182092
453	0.955179676
454	0.955117491
455	0.955200062
456	0.955262962
457	0.955101413
458	0.955008669
459	0.954970219
460	0.955005235
461	0.954830357
462	0.954834255
463	0.955022736
464	0.9550911
465	0.955341553
466	0.955358594
467	0.955279446
468	0.955234635
469	0.955125267
470	0.955102995
471	0.955130354
472	0.955297529
473	0.955419481
474	0.95546146
475	0.95547853
476	0.955652153
477	0.95568417
478	0.955708563
479	0.955774102
480	0.955806123
481	0.955847789
482	0.955905689
483	0.956190063
484	0.956271791
485	0.956248189
486	0.956308131
487	0.956253575
488	0.956340517
489	0.956458586
490	0.95656341
491	0.956687326
492	0.956791009
493	0.956749283
494	0.956755924
495	0.956903465
496	0.957083775
497	0.957214255
498	0.957209191
499	0.957095056
500	0.957082422
501	0.957207716
502	0.957326298
503	0.957385845
504	0.957412479
505	0.957603664
506	0.957771993
507	0.957659377
508	0.957609189
509	0.957563733
510	0.957602099
511	0.957610802
512	0.957702512
513	0.957803319
514	0.957746148
515	0.957731283
516	0.957765796
517	0.957755054
518	0.957826179
519	0.957823181
520	0.957876983
521	0.957889496
522	0.957871744
523	0.957856559
524	0.957913803
525	0.957992966
526	0.957924967
527	0.95790373
528	0.957883332
529	0.957947562
530	0.95803257
531	0.957996815
532	0.957958642
533	0.957953357
534	0.957960914
535	0.957959912
536	0.957999513
537	0.957972204
538	0.957901009
539	0.957917117
540	0.957916958
541	0.957861201
542	0.957818289
543	0.957813334
544	0.957877218
545	0.957846888
546	0.957825589
547	0.957851155
548	0.957877301
549	0.957835827
550	0.957797011
551	0.957760437
552	0.957739774
553	0.95779514
554	0.957809543
555	0.957790658
556	0.957763384
557	0.957741558
558	0.957691203
559	0.957656697
560	0.957651864
561	0.957638223
562	0.957604102
563	0.957582842
564	0.957597945
565	0.957559887
566	0.957556169
567	0.957592316
568	0.957577454
569	0.95754088
570	0.957510143
571	0.957503184
572	0.957484962
573	0.957478438
574	0.957451398
575	0.957444563
576	0.957433185
577	0.957408512
578	0.957433754
579	0.957431289
580	0.957369949
581	0.957374926
582	0.957387341
583	0.957343329
584	0.957320957
585	0.957289262
586	0.957273399
587	0.957228798
588	0.957237599
589	0.957226012
590	0.957223524
591	0.957222397
592	0.957179428
593	0.957207273
594	0.957210053
595	0.957194619
596	0.957183606
597	0.957141496
598	0.957110956
599	0.957071508
600	0.957109374
601	0.957141585
602	0.957115262
603	0.957080374
604	0.957088738
605	0.95706575
606	0.957079705
607	0.957114479
608	0.957108736
609	0.957075015
610	0.957086633
611	0.957097934
612	0.95708341
613	0.957069483
614	0.95707187
615	0.957086762
616	0.957096673
617	0.957107426
618	0.957117912
619	0.957128342
620	0.95714003
621	0.957143677
622	0.957127472
623	0.957144417
624	0.957132828
625	0.957130068
626	0.957136474
627	0.957165603
628	0.95717807
629	0.957143481
630	0.957173431
631	0.957184238
632	0.957157635
633	0.957152788
634	0.95717295
635	0.95717307
636	0.957157226
637	0.957139317
638	0.957168095
639	0.957195526
640	0.95721946
641	0.957248743
642	0.957224646
643	0.95720296
644	0.95721305
645	0.957232062
646	0.95725097
647	0.957241367
648	0.957214843
649	0.957195806
650	0.957174464
651	0.957185354
652	0.957165632
653	0.957153283
654	0.957147926
655	0.957125212
656	0.957104697
657	0.957099568
658	0.957091224
659	0.95710863
660	0.957086735
661	0.957061577
662	0.957043099
663	0.957046587
664	0.957025719
665	0.956997708
666	0.957010285
667	0.956982688
668	0.95694036
669	0.956912498
670	0.956888541
671	0.956900746
672	0.956871098
673	0.956833807
674	0.956807693
675	0.956804537
676	0.956808592
677	0.956781706
678	0.956753598
679	0.956718893
680	0.956716672
681	0.956685954
682	0.956664097
683	0.956653097
684	0.956623274
685	0.956591641
686	0.956561574
687	0.95652724
688	0.956515361
689	0.956501861
690	0.956475809
691	0.956450875
692	0.956403857
693	0.95636472
694	0.956336969
695	0.956310921
696	0.956270821
697	0.956231737
698	0.95617447
699	0.956121391
700	0.956114271
701	0.956091377
702	0.956064695
703	0.95604268
704	0.955980912
705	0.955926559
706	0.955899768
707	0.955879448
708	0.955857388
709	0.955833048
710	0.955808911
711	0.955753089
712	0.955700268
713	0.955671254
714	0.955649149
715	0.955607769
716	0.955601806
717	0.955566395
718	0.955522085
719	0.955484249
720	0.955438756
721	0.955378111
722	0.95533097
723	0.955296158
724	0.955246438
725	0.955199594
726	0.955175182
727	0.955119896
728	0.955071636
729	0.955048062
730	0.955012274
731	0.95496365
732	0.954922646
733	0.954917068
734	0.954863141
735	0.954811033
736	0.954777359
737	0.954734257
738	0.954700689
739	0.95467197
740	0.954641457
741	0.954607426
742	0.954575285
743	0.954545342
744	0.954504313
745	0.954468893
746	0.954446504
747	0.954401647
748	0.954353975
749	0.95431769
750	0.954316041
751	0.954303204
752	0.954271344
753	0.954242634
754	0.954236583
755	0.954209952
756	0.954170206
757	0.95411835
758	0.954091615
759	0.954060426
760	0.954022761
761	0.95398741
762	0.953976997
763	0.953966539
764	0.953955999
765	0.953934738
766	0.95391423
767	0.953882496
768	0.953855364
769	0.953855834
770	0.953835309
771	0.953809206
772	0.95377784
