GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
495	0.9933
496	0.9935
497	0.9935
498	0.9934
499	0.9936
500	0.9937
501	0.9938
502	0.9937
503	0.9935
504	0.9933
505	0.9935
506	0.9936
507	0.9934
508	0.9935
509	0.9938
510	0.9938
511	0.9936
512	0.9934
513	0.9936
514	0.9937
515	0.9936
516	0.9933
517	0.9933
518	0.9936
519	0.9936
520	0.9936
521	0.9934
522	0.9936
523	0.9934
524	0.9934
525	0.9935
526	0.9932
527	0.9932
528	0.9931
529	0.9932
530	0.9932
531	0.9934
532	0.9936
533	0.9935
534	0.9934
535	0.9933
536	0.9933
537	0.9934
538	0.9932
539	0.9936
540	0.9935
541	0.9932
542	0.9936
543	0.9935
544	0.9935
545	0.9935
546	0.9937
547	0.9933
548	0.9932
549	0.9934
550	0.9935
551	0.9928
552	0.9931
553	0.9931
554	0.9932
555	0.9934
556	0.9933
557	0.9933
558	0.9935
559	0.9931
560	0.9931
561	0.9928
562	0.9931
563	0.9933
564	0.9932
565	0.9935
566	0.9930
567	0.9930
568	0.9933
569	0.9931
570	0.9932
571	0.9934
572	0.9933
573	0.9930
574	0.9934
575	0.9933
576	0.9931
577	0.9934
578	0.9930
579	0.9932
580	0.9932
581	0.9927
582	0.9930
583	0.9929
584	0.9931
585	0.9936
586	0.9933
587	0.9933
588	0.9932
589	0.9932
590	0.9932
591	0.9933
592	0.9931
593	0.9933
594	0.9931
595	0.9929
596	0.9934
597	0.9935
598	0.9930
599	0.9929
600	0.9934
601	0.9935
602	0.9930
603	0.9933
604	0.9930
605	0.9932
606	0.9938
607	0.9930
608	0.9933
609	0.9931
610	0.9927
611	0.9925
612	0.9933
613	0.9929
614	0.9934
615	0.9932
616	0.9935
617	0.9936
618	0.9932
619	0.9931
620	0.9931
621	0.9931
622	0.9932
623	0.9930
624	0.9931
625	0.9939
626	0.9937
627	0.9930
628	0.9930
629	0.9931
630	0.9928
631	0.9935
632	0.9931
633	0.9931
634	0.9931
635	0.9931
636	0.9930
637	0.9926
638	0.9932
639	0.9930
640	0.9936
641	0.9929
642	0.9932
643	0.9933
644	0.9936
645	0.9930
646	0.9928
647	0.9926
648	0.9932
649	0.9928
650	0.9931
651	0.9939
652	0.9935
653	0.9932
654	0.9927
655	0.9935
656	0.9936
657	0.9929
658	0.9939
659	0.9931
660	0.9928
661	0.9926
662	0.9929
663	0.9937
664	0.9934
665	0.9935
666	0.9935
667	0.9933
668	0.9927
669	0.9933
670	0.9937
671	0.9935
672	0.9934
673	0.9934
674	0.9934
675	0.9931
676	0.9939
677	0.9938
678	0.9933
679	0.9935
680	0.9928
681	0.9933
682	0.9927
683	0.9926
684	0.9927
685	0.9930
686	0.9933
687	0.9932
688	0.9932
689	0.9926
690	0.9929
691	0.9930
692	0.9927
693	0.9927
694	0.9932
695	0.9937
696	0.9931
697	0.9930
698	0.9929
699	0.9931
700	0.9926
701	0.9925
702	0.9928
703	0.9936
704	0.9930
705	0.9924
706	0.9930
707	0.9931
708	0.9931
709	0.9932
710	0.9927
711	0.9932
712	0.9930
713	0.9931
714	0.9928
715	0.9926
716	0.9930
717	0.9931
718	0.9925
719	0.9926
720	0.9935
721	0.9930
722	0.9932
723	0.9935
724	0.9933
725	0.9932
726	0.9930
727	0.9928
728	0.9931
729	0.9928
730	0.9930
731	0.9930
732	0.9931
733	0.9931
734	0.9930
735	0.9932
736	0.9927
737	0.9927
738	0.9925
739	0.9930
740	0.9931
741	0.9931
742	0.9935
743	0.9930
744	0.9928
745	0.9932
746	0.9929
747	0.9926
748	0.9930
749	0.9928
750	0.9925
751	0.9926
752	0.9929
753	0.9928
754	0.9927
755	0.9929
756	0.9927
757	0.9929
758	0.9929
759	0.9926
760	0.9930
761	0.9935
762	0.9936
763	0.9934
764	0.9928
765	0.9926
766	0.9925
767	0.9929
768	0.9927
769	0.9931
770	0.9929
771	0.9926
772	0.9929
773	0.9933
774	0.9936
775	0.9929
776	0.9927
777	0.9928
778	0.9924
779	0.9922
780	0.9921
781	0.9926
782	0.9936
783	0.9933
784	0.9926
785	0.9928
786	0.9933
787	0.9926
788	0.9927
789	0.9930
790	0.9928
791	0.9926
792	0.9928
793	0.9931
794	0.9932
795	0.9927
796	0.9930
797	0.9931
798	0.9930
799	0.9926
800	0.9930
801	0.9935
802	0.9928
803	0.9924
804	0.9922
805	0.9921
806	0.9933
807	0.9938
808	0.9933
809	0.9930
810	0.9928
811	0.9922
812	0.9920
813	0.9929
814	0.9927
815	0.9924
816	0.9931
817	0.9935
818	0.9924
819	0.9924
820	0.9926
821	0.9930
822	0.9935
823	0.9934
824	0.9926
825	0.9926
826	0.9932
827	0.9937
828	0.9936
829	0.9932
830	0.9929
831	0.9927
832	0.9925
833	0.9924
834	0.9926
835	0.9924
836	0.9925
837	0.9925
838	0.9932
839	0.9937
840	0.9932
841	0.9930
842	0.9929
843	0.9927
844	0.9922
