GA 10" Labsphere panel
Serial # Serial Number : 99AA03-0319-1952	
Comments : Labsphere cal only - This data is for reference only	


Wavelength	K-factor
2041	0.9652
2042	0.9654
2043	0.9648
2044	0.9645
2045	0.9643
2046	0.9642
2047	0.9639
2048	0.9636
2049	0.9635
2050	0.9637
2051	0.9632
2052	0.9631
2053	0.9625
2054	0.9628
2055	0.9624
2056	0.9622
2057	0.9621
2058	0.9618
2059	0.9617
2060	0.9617
2061	0.9614
2062	0.9612
2063	0.9608
2064	0.9608
2065	0.9606
2066	0.9604
2067	0.9600
2068	0.9602
2069	0.9600
2070	0.9599
2071	0.9597
2072	0.9594
2073	0.9597
2074	0.9595
2075	0.9592
2076	0.9590
2077	0.9586
2078	0.9585
2079	0.9584
2080	0.9582
2081	0.9582
2082	0.9580
2083	0.9582
2084	0.9578
2085	0.9574
2086	0.9573
2087	0.9570
2088	0.9571
2089	0.9570
2090	0.9569
2091	0.9566
2092	0.9564
2093	0.9563
2094	0.9561
2095	0.9560
2096	0.9558
2097	0.9559
2098	0.9557
2099	0.9555
2100	0.9552
2101	0.9553
2102	0.9553
2103	0.9552
2104	0.9550
2105	0.9548
2106	0.9544
2107	0.9543
2108	0.9543
2109	0.9540
2110	0.9535
2111	0.9533
2112	0.9530
2113	0.9531
2114	0.9531
2115	0.9528
2116	0.9526
2117	0.9523
2118	0.9521
2119	0.9521
2120	0.9520
2121	0.9519
2122	0.9516
2123	0.9514
2124	0.9513
2125	0.9512
2126	0.9508
2127	0.9508
2128	0.9506
2129	0.9503
2130	0.9500
2131	0.9500
2132	0.9500
2133	0.9501
2134	0.9496
2135	0.9496
2136	0.9499
2137	0.9499
2138	0.9498
2139	0.9499
2140	0.9499
2141	0.9500
2142	0.9500
2143	0.9503
2144	0.9503
2145	0.9504
2146	0.9504
2147	0.9506
2148	0.9508
2149	0.9511
2150	0.9511
2151	0.9515
2152	0.9518
2153	0.9521
2154	0.9522
2155	0.9523
2156	0.9527
2157	0.9530
2158	0.9535
2159	0.9540
2160	0.9542
2161	0.9543
2162	0.9547
2163	0.9548
2164	0.9553
2165	0.9557
2166	0.9561
2167	0.9567
2168	0.9572
2169	0.9574
2170	0.9577
2171	0.9583
2172	0.9588
2173	0.9591
2174	0.9591
2175	0.9595
2176	0.9599
2177	0.9604
2178	0.9610
2179	0.9613
2180	0.9613
2181	0.9618
2182	0.9616
2183	0.9620
2184	0.9625
2185	0.9631
2186	0.9634
2187	0.9636
2188	0.9637
2189	0.9641
2190	0.9643
2191	0.9647
2192	0.9650
2193	0.9652
2194	0.9655
2195	0.9656
2196	0.9658
2197	0.9660
2198	0.9663
2199	0.9665
2200	0.9670
2201	0.9673
2202	0.9673
2203	0.9675
2204	0.9675
2205	0.9675
2206	0.9677
2207	0.9679
2208	0.9681
2209	0.9683
2210	0.9683
2211	0.9681
2212	0.9682
2213	0.9687
2214	0.9688
2215	0.9689
2216	0.9689
2217	0.9690
2218	0.9691
2219	0.9690
2220	0.9689
2221	0.9690
2222	0.9691
2223	0.9689
2224	0.9688
2225	0.9691
2226	0.9692
2227	0.9694
2228	0.9695
2229	0.9694
2230	0.9695
2231	0.9695
2232	0.9692
2233	0.9692
2234	0.9693
2235	0.9693
2236	0.9693
2237	0.9693
2238	0.9690
2239	0.9687
2240	0.9687
2241	0.9687
2242	0.9685
2243	0.9686
2244	0.9686
2245	0.9684
2246	0.9684
2247	0.9684
2248	0.9681
2249	0.9681
2250	0.9682
2251	0.9682
2252	0.9681
2253	0.9680
2254	0.9680
2255	0.9681
2256	0.9679
2257	0.9677
2258	0.9675
2259	0.9675
2260	0.9675
2261	0.9675
2262	0.9672
2263	0.9671
2264	0.9673
2265	0.9672
2266	0.9668
2267	0.9666
2268	0.9666
2269	0.9666
2270	0.9665
2271	0.9663
2272	0.9661
2273	0.9661
2274	0.9663
2275	0.9661
2276	0.9656
2277	0.9656
2278	0.9657
2279	0.9656
2280	0.9654
2281	0.9654
2282	0.9652
2283	0.9647
2284	0.9644
2285	0.9643
2286	0.9643
2287	0.9641
2288	0.9639
2289	0.9637
2290	0.9637
2291	0.9636
2292	0.9634
2293	0.9631
2294	0.9627
2295	0.9625
2296	0.9626
2297	0.9625
2298	0.9623
2299	0.9619
2300	0.9618
2301	0.9618
2302	0.9615
2303	0.9612
2304	0.9607
2305	0.9607
2306	0.9608
2307	0.9605
2308	0.9603
2309	0.9600
2310	0.9597
2311	0.9598
2312	0.9595
2313	0.9595
2314	0.9591
2315	0.9587
2316	0.9588
2317	0.9586
2318	0.9583
2319	0.9578
2320	0.9576
2321	0.9578
2322	0.9577
2323	0.9574
2324	0.9571
2325	0.9568
2326	0.9567
2327	0.9565
2328	0.9565
2329	0.9558
2330	0.9555
2331	0.9556
2332	0.9552
2333	0.9546
2334	0.9548
2335	0.9544
2336	0.9544
2337	0.9544
2338	0.9540
2339	0.9541
2340	0.9536
2341	0.9529
2342	0.9530
2343	0.9529
2344	0.9525
2345	0.9521
2346	0.9519
2347	0.9521
2348	0.9521
2349	0.9519
2350	0.9518
2351	0.9515
2352	0.9514
2353	0.9514
2354	0.9513
2355	0.9510
2356	0.9510
2357	0.9506
2358	0.9508
2359	0.9504
2360	0.9503
2361	0.9503
2362	0.9502
2363	0.9500
2364	0.9503
2365	0.9496
2366	0.9497
2367	0.9496
2368	0.9494
2369	0.9489
2370	0.9489
2371	0.9491
2372	0.9489
2373	0.9488
2374	0.9495
2375	0.9491
2376	0.9486
2377	0.9485
2378	0.9484
2379	0.9485
2380	0.9483
2381	0.9485
2382	0.9483
2383	0.9480
2384	0.9478
2385	0.9479
2386	0.9486
2387	0.9481
2388	0.9480
2389	0.9478
2390	0.9481
2391	0.9479
2392	0.9476
2393	0.9475
2394	0.9478
2395	0.9475
2396	0.9476
2397	0.9478
2398	0.9474
2399	0.9473
2400	0.9475
2401	0.9476
2402	0.9471
2403	0.9469
2404	0.9470
2405	0.9469
2406	0.9473
2407	0.9472
2408	0.9474
2409	0.9476
2410	0.9471
2411	0.9465
2412	0.9469
2413	0.9467
2414	0.9465
2415	0.9468
2416	0.9473
2417	0.9478
2418	0.9471
2419	0.9466
2420	0.9466
2421	0.9468
2422	0.9466
2423	0.9468
2424	0.9471
2425	0.9466
2426	0.9466
2427	0.9461
2428	0.9468
2429	0.9469
2430	0.9464
2431	0.9462
2432	0.9462
2433	0.9470
2434	0.9461
2435	0.9463
2436	0.9469
2437	0.9466
2438	0.9468
2439	0.9462
2440	0.9459
2441	0.9468
2442	0.9469
2443	0.9472
2444	0.9468
2445	0.9469
2446	0.9463
2447	0.9457
2448	0.9476
2449	0.9469
2450	0.9466
2451	0.9459
2452	0.9465
2453	0.9470
2454	0.9456
2455	0.9463
2456	0.9471
2457	0.9467
2458	0.9468
2459	0.9468
2460	0.9455
2461	0.9461
2462	0.9472
2463	0.9465
2464	0.9460
2465	0.9468
2466	0.9462
2467	0.9454
2468	0.9456
2469	0.9460
2470	0.9474
2471	0.9464
2472	0.9454
2473	0.9467
2474	0.9471
2475	0.9473
2476	0.9463
2477	0.9461
2478	0.9485
2479	0.9476
2480	0.9458
2481	0.9449
2482	0.9489
2483	0.9447
2484	0.9471
2485	0.9486
2486	0.9450
2487	0.9480
2488	0.9466
2489	0.9453
2490	0.9439
2491	0.9472
2492	0.9460
2493	0.9439
2494	0.9455
2495	0.9448
2496	0.9476
2497	0.9449
2498	0.9490
2499	0.9432
2500	0.9441
