CSIRO Aspendale	
Serial Number : 10" panel new	
Comments : Lab Cal CSIRO March 2018	
	

Wavelength	K-factor
350	1.008813372
351	1.005814843
352	0.995306882
353	0.987075813
354	0.995920565
355	0.994426717
356	0.993598218
357	0.990577061
358	0.98274458
359	0.984866713
360	0.985071567
361	0.982174071
362	0.985798077
363	0.982704827
364	0.984059765
365	0.985941464
366	0.984907339
367	0.984080697
368	0.982102161
369	0.984695622
370	0.984924162
371	0.983834855
372	0.984356349
373	0.983962972
374	0.985361139
375	0.986181776
376	0.988335224
377	0.988217984
378	0.987089186
379	0.987757862
380	0.988982673
381	0.986482956
382	0.990060918
383	0.990719159
384	0.989802617
385	0.988357636
386	0.988901421
387	0.990050203
388	0.991050155
389	0.991785366
390	0.991564083
391	0.990807846
392	0.989533455
393	0.989611463
394	0.990521751
395	0.99188637
396	0.99249756
397	0.992439728
398	0.992215009
399	0.991316313
400	0.992632198
401	0.992851461
402	0.992824735
403	0.992842417
404	0.993647423
405	0.9933547
406	0.993879791
407	0.994314932
408	0.993972997
409	0.994115542
410	0.99472408
411	0.994369757
412	0.994086778
413	0.995037487
414	0.996220112
415	0.995957726
416	0.996122585
417	0.996031006
418	0.995798108
419	0.996389009
420	0.996583811
421	0.996844725
422	0.997021685
423	0.996805035
424	0.99670578
425	0.996859728
426	0.997101368
427	0.997299755
428	0.997773839
429	0.997911237
430	0.998219696
431	0.998306458
432	0.998029618
433	0.998130783
434	0.998183698
435	0.998667365
436	0.999270335
437	0.999774382
438	0.999703631
439	0.999387355
440	0.999221367
441	0.999520818
442	0.999697225
443	0.999813559
444	0.999782048
445	0.999925615
446	0.999973024
447	0.999995621
448	1.000399646
449	1.000607648
450	1.000777307
451	1.000868505
452	1.000886717
453	1.001177838
454	1.001233509
455	1.001396397
456	1.00171131
457	1.001781013
458	1.00179275
459	1.001911211
460	1.002057732
461	1.001884379
462	1.001896755
463	1.002205911
464	1.002467165
465	1.002957984
466	1.003060806
467	1.003031692
468	1.002992392
469	1.002932122
470	1.003077214
471	1.003212127
472	1.00337838
473	1.003585003
474	1.003627837
475	1.003662175
476	1.003924734
477	1.003928295
478	1.003957203
479	1.004154651
480	1.004248576
481	1.004246635
482	1.004285315
483	1.004615698
484	1.004820546
485	1.004789006
486	1.004866544
487	1.004926929
488	1.005028591
489	1.005018889
490	1.005156952
491	1.005407817
492	1.0055799
493	1.005670988
494	1.005662729
495	1.005771585
496	1.006027153
497	1.00618224
498	1.006274684
499	1.006213952
500	1.006202111
501	1.006285229
502	1.006482406
503	1.006671407
504	1.006687732
505	1.006893976
506	1.007141192
507	1.006954319
508	1.007106883
509	1.007186362
510	1.007205129
511	1.007132431
512	1.007317668
513	1.007486023
514	1.007413038
515	1.007516389
516	1.007598238
517	1.007651821
518	1.007810676
519	1.007828179
520	1.007986989
521	1.008037939
522	1.00807145
523	1.008109477
524	1.008234955
525	1.008420056
526	1.008407082
527	1.00844044
528	1.008483386
529	1.008661206
530	1.00876958
531	1.00877711
532	1.00882986
533	1.00895915
534	1.009009234
535	1.009036973
536	1.00913016
537	1.0092109
538	1.009210015
539	1.009302433
540	1.009371219
541	1.009328874
542	1.009374801
543	1.009509958
544	1.009642788
545	1.009692106
546	1.009757408
547	1.009846147
548	1.009912203
549	1.009923289
550	1.009940663
551	1.009980533
552	1.010048884
553	1.010188339
554	1.010233974
555	1.010263847
556	1.010314069
557	1.010389133
558	1.010417105
559	1.010468843
560	1.010543137
561	1.010603566
562	1.010639488
563	1.010704141
564	1.010788044
565	1.010845283
566	1.010914315
567	1.011033851
568	1.011075778
569	1.011112106
570	1.011142499
571	1.011230585
572	1.011287247
573	1.011305139
574	1.011338387
575	1.011423981
576	1.011444304
577	1.011473708
578	1.01158022
579	1.011659384
580	1.011656591
581	1.011734366
582	1.011784518
583	1.011788336
584	1.011844969
585	1.011854939
586	1.011899129
587	1.011928496
588	1.011986266
589	1.012019202
590	1.01206981
591	1.012118019
592	1.012144161
593	1.012249993
594	1.01227815
595	1.012296901
596	1.012331408
597	1.012312223
598	1.012340475
599	1.012355331
600	1.0124459
601	1.01251739
602	1.012545527
603	1.012530688
604	1.012550709
605	1.012581628
606	1.012615053
607	1.012681023
608	1.012712243
609	1.012734653
610	1.012806308
611	1.012849453
612	1.012835893
613	1.012872698
614	1.012913602
615	1.012940315
616	1.013006462
617	1.013011759
618	1.013024576
619	1.013105837
620	1.013107383
621	1.013106414
622	1.013120002
623	1.013182724
624	1.01322283
625	1.013222517
626	1.013235414
627	1.013323052
628	1.013385462
629	1.01338491
630	1.013450571
631	1.013483543
632	1.013471796
633	1.01349594
634	1.013542199
635	1.01356875
636	1.013592057
637	1.01358651
638	1.013633201
639	1.013683645
640	1.013708284
641	1.01374977
642	1.013762753
643	1.013789583
644	1.013834217
645	1.01385307
646	1.013881914
647	1.013905612
648	1.013959378
649	1.013952662
650	1.013958546
651	1.014041233
652	1.01404924
653	1.014062062
654	1.014083721
655	1.0141036
656	1.014117135
657	1.014177874
658	1.014196346
659	1.014227202
660	1.014218898
661	1.014218481
662	1.014249049
663	1.014284779
664	1.014279343
665	1.014264738
666	1.014299519
667	1.014319171
668	1.014370249
669	1.014399871
670	1.014388491
671	1.014469167
672	1.014494495
673	1.014481937
674	1.014496444
675	1.014527715
676	1.014586199
677	1.014631388
678	1.014628457
679	1.01465982
680	1.014703045
681	1.014698392
682	1.014696949
683	1.014693995
684	1.014714717
685	1.014732804
686	1.014771957
687	1.014773384
688	1.014808577
689	1.01488019
690	1.014927672
