New GA 10" Labsphere panel
Serial # Serial Number : 99aa03-0319-1952
Comments : Labsphere cal only (50nm steps & manually interpolated)


Wavelength	K-factor
350	0.9928
351	0.992824
352	0.9928480000000001
353	0.992872
354	0.992896
355	0.99292
356	0.992944
357	0.9929680000000001
358	0.992992
359	0.993016
360	0.99304
361	0.9930640000000001
362	0.9930880000000001
363	0.993112
364	0.993136
365	0.99316
366	0.9931840000000001
367	0.9932080000000001
368	0.993232
369	0.993256
370	0.99328
371	0.9933040000000001
372	0.9933280000000001
373	0.993352
374	0.993376
375	0.9934000000000001
376	0.9934240000000001
377	0.9934480000000001
378	0.993472
379	0.993496
380	0.9935200000000001
381	0.9935440000000001
382	0.9935680000000001
383	0.993592
384	0.993616
385	0.9936400000000001
386	0.9936640000000001
387	0.9936880000000001
388	0.993712
389	0.9937360000000001
390	0.9937600000000001
391	0.9937840000000001
392	0.9938080000000001
393	0.993832
394	0.9938560000000001
395	0.9938800000000001
396	0.9939040000000001
397	0.9939280000000001
398	0.9939520000000001
399	0.9939760000000001
400	0.9940000000000001
401	0.9939740000000001
402	0.993948
403	0.9939220000000001
404	0.9938960000000001
405	0.9938700000000001
406	0.9938440000000001
407	0.9938180000000001
408	0.9937920000000001
409	0.993766
410	0.9937400000000001
411	0.9937140000000001
412	0.9936880000000001
413	0.993662
414	0.9936360000000001
415	0.9936100000000001
416	0.9935840000000001
417	0.993558
418	0.9935320000000001
419	0.9935060000000001
420	0.99348
421	0.9934540000000001
422	0.9934280000000001
423	0.9934020000000001
424	0.993376
425	0.9933500000000001
426	0.9933240000000001
427	0.993298
428	0.993272
429	0.9932460000000001
430	0.9932200000000001
431	0.993194
432	0.993168
433	0.9931420000000001
434	0.993116
435	0.99309
436	0.9930640000000001
437	0.9930380000000001
438	0.993012
439	0.992986
440	0.9929600000000001
441	0.9929340000000001
442	0.992908
443	0.992882
444	0.9928560000000001
445	0.99283
446	0.992804
447	0.992778
448	0.9927520000000001
449	0.992726
450	0.9927
451	0.99272
452	0.9927400000000001
453	0.99276
454	0.99278
455	0.9928
456	0.99282
457	0.9928400000000001
458	0.9928600000000001
459	0.99288
460	0.9929
461	0.99292
462	0.99294
463	0.9929600000000001
464	0.99298
465	0.993
466	0.99302
467	0.99304
468	0.99306
469	0.9930800000000001
470	0.9931
471	0.99312
472	0.99314
473	0.99316
474	0.9931800000000001
475	0.9932000000000001
476	0.99322
477	0.99324
478	0.99326
479	0.99328
480	0.9933000000000001
481	0.99332
482	0.99334
483	0.99336
484	0.99338
485	0.9934000000000001
486	0.9934200000000001
487	0.99344
488	0.99346
489	0.99348
490	0.9935
491	0.9935200000000001
492	0.99354
493	0.99356
494	0.99358
495	0.9936
496	0.9936200000000001
497	0.9936400000000001
498	0.99366
499	0.99368
500	0.9937
501	0.993696
502	0.993692
