Curin University (CUT2)	
Serial Number :  10" new	
Performed by : Ian Lau	
Date : January 2018	

Wavelength	K-factor
350	1.010938014
351	1.007854092
352	0.997246619
353	0.988922025
354	0.997705256
355	0.996130933
356	0.995223466
357	0.992120273
358	0.984199359
359	0.986248525
360	0.986377866
361	0.983401306
362	0.986954735
363	0.983783414
364	0.985065756
365	0.986875653
366	0.985767433
367	0.984867582
368	0.982815724
369	0.985339779
370	0.985497833
371	0.984338041
372	0.984790656
373	0.984328764
374	0.985659825
375	0.986413878
376	0.988501737
377	0.988319311
378	0.987126258
379	0.987731766
380	0.988894299
381	0.986333774
382	0.989851039
383	0.990450077
384	0.989475941
385	0.987974878
386	0.988463096
387	0.989557221
388	0.99050378
389	0.991186995
390	0.990915645
391	0.990111152
392	0.988790415
393	0.988822599
394	0.989687871
395	0.991008543
396	0.991577958
397	0.991480572
398	0.991218132
399	0.990284128
400	0.991564114
401	0.991750357
402	0.991692598
403	0.991680871
404	0.992457153
405	0.992138591
406	0.992638375
407	0.993049791
408	0.992686568
409	0.992808604
410	0.993397363
411	0.993025853
412	0.992726868
413	0.993661095
414	0.994828063
415	0.994553156
416	0.994705981
417	0.994603772
418	0.994361444
419	0.994942674
420	0.995129277
421	0.995382751
422	0.995553205
423	0.995331398
424	0.995227535
425	0.995377176
426	0.995615008
427	0.995810236
428	0.996281288
429	0.99641665
430	0.996723266
431	0.996808921
432	0.996531877
433	0.996632583
434	0.996685377
435	0.997168499
436	0.99777092
437	0.998274696
438	0.998204621
439	0.997889428
440	0.997724289
441	0.998023838
442	0.998200429
443	0.998316892
444	0.998285541
445	0.99842877
446	0.998475704
447	0.998497534
448	0.998899846
449	0.99910601
450	0.999273422
451	0.99936199
452	0.999377191
453	0.999664419
454	0.999716102
455	0.999874411
456	1.000184104
457	1.000248571
458	1.000254793
459	1.00036723
460	1.000507357
461	1.0003278
462	1.000333402
463	1.000635055
464	1.000888635
465	1.001371193
466	1.001466161
467	1.001429223
468	1.001381956
469	1.001313616
470	1.001450186
471	1.001576496
472	1.001734017
473	1.001931781
474	1.00196599
475	1.001991703
476	1.002245261
477	1.002240279
478	1.002260651
479	1.002449343
480	1.002534777
481	1.002524617
482	1.002555141
483	1.002877012
484	1.003073736
485	1.003034675
486	1.003104715
487	1.003157867
488	1.003252477
489	1.003236197
490	1.003367715
491	1.003612151
492	1.003778283
493	1.003863923
494	1.003850774
495	1.00395493
496	1.004205953
497	1.004357119
498	1.004446219
499	1.004382905
500	1.0043689
501	1.004450199
502	1.004645855
503	1.004833838
504	1.004849928
505	1.005056039
506	1.005303477
507	1.005118028
508	1.005271789
509	1.005352969
510	1.0053739
511	1.005303866
512	1.005491611
513	1.005662801
514	1.005593362
515	1.005700196
516	1.005785804
517	1.005843414
518	1.006006306
519	1.006028277
520	1.006191463
521	1.006247121
522	1.006285491
523	1.00632847
524	1.006458828
525	1.006648768
526	1.006641024
527	1.006679553
