,0,1,2,3,4,5,Sat_mean
band1,0.1951781339110451,0.1886157260546822,0.17911049134443563,0.18417240241000457,0.1868238657088605,0.185031477060185,0.1847404411764706
band2,0.2683630974615001,0.26022558181770616,0.24672948347433582,0.2519233946790814,0.25351179226268544,0.25002456803955225,0.23818529411764708
band3,0.4898151407805527,0.47885257968860934,0.4554613002488118,0.45457768414443134,0.4464156099883672,0.43385485707353577,0.41463198529411766
band4,0.6212043077985728,0.6110752561277543,0.5804011084272652,0.5772976563560561,0.5676154652538847,0.552223623374621,0.5507886029411765
band5,0.6552648245969513,0.6429222055814883,0.6107394405087235,0.6073563251323596,0.5986356486577642,0.5825746083059744,0.6049485294117647
band6,0.6885606818438426,0.6751302116359376,0.6412646529117707,0.6375219046876579,0.6285572604172056,0.6117104037682808,0.6236297794117647
band7,0.6852268575340861,0.6738173040088627,0.6403778337228585,0.6380369090919297,0.630110494283421,0.6145835973540351,0.6182856617647059
band8,0.6886265195733682,0.677287700221588,0.6427738646686622,0.6417007486076647,0.6350183049052197,0.6208678885268787,0.6353209558823529
band8a,0.6887210090766066,0.6772632926353026,0.6421990368159404,0.6420338663990329,0.6362422182095201,0.6230109387307131,0.6430294117647058
band11,0.7872518377150864,0.783665618005357,0.7429099796209719,0.7401478305709189,0.7242179886096369,0.7087038595594686,0.7631408088235294
band12,0.6462254958469777,0.6497231431183357,0.6187665016324134,0.6075076652248589,0.5868193652226359,0.5676428695867138,0.61255625
