BAND,satmean,satstd,fieldmean,fieldstd,other,other2,other3,ther4
CA,0.064,0.00516,0.0855,0.0106,8.05,12.4,0.749,6.44
blue,0.0771,0.00726,0.0978,0.0122,9.42,12.5,0.789,8.16
green,0.0925,0.0085,0.11,0.0138,9.19,12.5,0.839,7.73
red,0.113,0.0103,0.125,0.0156,9.09,12.5,0.905,7.83
RE1,0.13,0.0115,0.134,0.0161,8.79,12,0.97,7.23
RE2,0.14,0.0121,0.143,0.0164,8.63,11.5,0.979,7.44
RE3,0.136,0.0111,0.147,0.0164,8.18,11.2,0.924,6.75
nir_1,0.15,0.0131,0.157,0.0173,8.73,11,0.953,7.41
nir_2,0.153,0.0131,0.163,0.0178,8.55,10.9,0.943,7.24
swir_2,0.228,0.0192,0.233,0.0261,8.44,11.2,0.977,7.26
swir_3,0.186,0.0189,0.194,0.0266,10.2,13.7,0.957,8.79
CA,0.0794,0.00322,0.0748,0.0059,4.05,7.89,1.06,2.91
blue,0.0865,0.00426,0.0839,0.00677,4.93,8.08,1.03,4.19
green,0.0957,0.00511,0.0936,0.00767,5.34,8.19,1.02,4.5
red,0.11,0.00587,0.104,0.00879,5.32,8.41,1.06,4.47
RE1,0.123,0.00603,0.111,0.00921,4.9,8.32,1.11,3.88
RE2,0.131,0.00713,0.118,0.0113,5.43,9.6,1.11,4.41
RE3,0.132,0.00663,0.125,0.0121,5.01,9.66,1.06,3.96
nir_1,0.144,0.00821,0.133,0.0125,5.69,9.35,1.08,4.89
nir_2,0.147,0.00726,0.138,0.0127,4.94,9.2,1.07,4.14
swir_2,0.229,0.00859,0.214,0.0151,3.76,7.05,1.07,2.86
swir_3,0.195,0.00865,0.182,0.0154,4.43,8.48,1.07,3.37
CA,0.0495,0.0033,0.0505,0.00484,6.67,9.59,0.98,4.77
blue,0.0539,0.00475,0.0566,0.00559,8.81,9.87,0.952,6.9
green,0.0609,0.00531,0.0637,0.00646,8.73,10.1,0.956,6.52
red,0.073,0.00645,0.0718,0.00745,8.84,10.4,1.02,6.7
RE1,0.0862,0.00723,0.0764,0.00794,8.39,10.4,1.13,6.04
RE2,0.0918,0.00739,0.0812,0.00885,8.05,10.9,1.13,5.84
RE3,0.0917,0.00709,0.087,0.00934,7.73,10.7,1.05,5.7
nir_1,0.105,0.00863,0.0935,0.00986,8.2,10.5,1.13,6.38
nir_2,0.103,0.00767,0.097,0.0102,7.42,10.5,1.07,5.56
swir_2,0.172,0.00999,0.161,0.0139,5.8,8.59,1.07,4
swir_3,0.144,0.0104,0.13,0.0133,7.19,10.2,1.11,5.06
CA,0.3,0.0645,0.345,0.0207,21.5,6,0.868,4.69
blue,0.307,0.0714,0.367,0.0213,23.3,5.81,0.836,2.65
green,0.37,0.0817,0.443,0.0244,22.1,5.52,0.834,2.42
red,0.462,0.0836,0.534,0.0263,18.1,4.92,0.864,2.62
RE1,0.485,0.0829,0.546,0.026,17.1,4.76,0.889,2.54
RE2,0.448,0.0833,0.546,0.0261,18.6,4.79,0.821,2.33
RE3,0.428,0.0803,0.528,0.0238,18.8,4.51,0.81,2.43
nir_1,0.431,0.0869,0.528,0.0241,20.2,4.56,0.816,2.58
nir_2,0.415,0.0907,0.524,0.0244,21.9,4.66,0.793,2.53
swir_2,0.029,0.0461,0.136,0.0271,159,19.9,0.213,15.6
swir_3,0.0123,0.0231,0.0644,0.0134,188,20.8,0.191,19.4
CA,0.0573,0.00358,0.0331,0.00566,6.25,17.1,1.73,3.84
blue,0.0521,0.00656,0.0429,0.00712,12.6,16.6,1.21,3.72
green,0.0797,0.007,0.0776,0.00846,8.78,10.9,1.03,2.78
red,0.0656,0.0112,0.057,0.0129,17,22.7,1.15,5.24
RE1,0.122,0.00615,0.113,0.0125,5.05,11,1.07,2.7
RE2,0.304,0.0151,0.321,0.0194,4.96,6.05,0.945,1.53
RE3,0.368,0.0209,0.38,0.0266,5.68,6.99,0.967,1.88
nir_1,0.394,0.0251,0.402,0.0276,6.38,6.86,0.98,2.33
nir_2,0.413,0.0243,0.415,0.0281,5.89,6.78,0.994,1.91
swir_2,0.301,0.0106,0.284,0.0248,3.52,8.73,1.06,1.57
swir_3,0.157,0.00919,0.143,0.022,5.87,15.3,1.09,2.87
CA,0.0589,0.00442,0.033,0.00564,7.5,17.1,1.78,5.08
blue,0.0554,0.00609,0.0428,0.00711,11,16.6,1.29,4.1
green,0.0838,0.00669,0.0777,0.00842,7.99,10.8,1.08,2.82
red,0.0707,0.0108,0.0569,0.0129,15.2,22.7,1.24,6.47
RE1,0.129,0.0064,0.112,0.0125,4.94,11.1,1.16,3.11
RE2,0.305,0.0128,0.315,0.0187,4.21,5.94,0.968,1.38
RE3,0.359,0.0176,0.379,0.0265,4.89,6.99,0.949,1.77
nir_1,0.4,0.0221,0.402,0.0276,5.51,6.86,0.995,2.24
nir_2,0.404,0.0207,0.415,0.0281,5.13,6.78,0.975,1.66
swir_2,0.31,0.0118,0.281,0.0248,3.8,8.81,1.1,2.35
swir_3,0.172,0.00995,0.142,0.0221,5.79,15.6,1.21,3.62
CA,0.048,0.00653,0.0326,0.00781,13.6,24,1.47,8.34
blue,0.0483,0.0127,0.043,0.0102,26.2,23.7,1.12,12.1
green,0.0828,0.0129,0.079,0.0111,15.5,14,1.05,8.63
red,0.0866,0.0218,0.0703,0.0221,25.2,31.4,1.23,11.5
RE1,0.164,0.015,0.139,0.0181,9.14,13,1.18,5.25
RE2,0.344,0.0366,0.341,0.0555,10.6,16.3,1.01,7.04
RE3,0.37,0.0422,0.399,0.0721,11.4,18.1,0.928,7.07
nir_1,0.405,0.0546,0.426,0.0725,13.5,17,0.951,8
nir_2,0.419,0.047,0.442,0.0724,11.2,16.4,0.948,6.61
swir_2,0.306,0.0233,0.288,0.0379,7.6,13.2,1.06,4.82
swir_3,0.195,0.0198,0.162,0.0396,10.2,24.4,1.2,5.81
CA,0.17,0.00992,0.164,0.00733,5.83,4.48,1.04,4.02
blue,0.216,0.0138,0.224,0.00973,6.37,4.34,0.965,3.78
green,0.385,0.0158,0.409,0.0168,4.12,4.12,0.941,3.3
red,0.512,0.0194,0.525,0.0213,3.79,4.04,0.974,3.2
RE1,0.563,0.0206,0.552,0.0224,3.66,4.06,1.02,3.12
RE2,0.578,0.0209,0.578,0.0235,3.62,4.07,0.999,3.09
RE3,0.588,0.0212,0.6,0.0236,3.6,3.92,0.979,3.13
nir_1,0.607,0.0243,0.603,0.0238,3.99,3.94,1.01,3.49
nir_2,0.608,0.0237,0.603,0.0237,3.9,3.93,1.01,3.25
swir_2,0.721,0.022,0.697,0.0277,3.05,3.98,1.03,2.76
swir_3,0.568,0.0154,0.581,0.0241,2.71,4.16,0.977,2.44
CA,0.175,0.00843,0.168,0.0139,4.82,8.24,1.04,3.67
blue,0.223,0.0124,0.23,0.0166,5.53,7.19,0.969,5.16
green,0.394,0.0151,0.413,0.0202,3.84,4.9,0.956,3.41
red,0.523,0.0197,0.53,0.0254,3.77,4.8,0.986,3.43
RE1,0.565,0.0211,0.558,0.0267,3.74,4.78,1.01,3.3
RE2,0.586,0.0217,0.586,0.0277,3.7,4.74,1,3.23
RE3,0.597,0.0218,0.603,0.0274,3.66,4.54,0.99,3.19
nir_1,0.605,0.0245,0.608,0.028,4.04,4.61,0.996,3.62
nir_2,0.62,0.0239,0.609,0.0284,3.86,4.67,1.02,3.32
swir_2,0.729,0.0247,0.696,0.0301,3.4,4.32,1.05,2.98
swir_3,0.565,0.0186,0.556,0.0274,3.3,4.93,1.02,3.27
CA,0.182,0.0113,0.19,0.0149,6.24,7.86,0.954,4.52
blue,0.231,0.0171,0.259,0.0188,7.41,7.26,0.894,6.02
green,0.403,0.0226,0.46,0.0295,5.61,6.43,0.876,4.56
red,0.534,0.03,0.583,0.0376,5.62,6.46,0.916,4.8
RE1,0.581,0.0322,0.61,0.0393,5.55,6.44,0.951,4.65
RE2,0.601,0.0327,0.638,0.0411,5.45,6.44,0.942,4.57
RE3,0.605,0.0336,0.645,0.0406,5.55,6.29,0.939,4.62
nir_1,0.618,0.036,0.65,0.0406,5.83,6.25,0.952,4.92
nir_2,0.632,0.0364,0.651,0.0405,5.77,6.23,0.971,4.77
swir_2,0.754,0.038,0.739,0.0462,5.04,6.25,1.02,4.32
swir_3,0.595,0.0279,0.603,0.0439,4.68,7.28,0.987,4.53
CA,0.218,0.00851,0.245,0.0201,3.9,8.22,0.891,2.94
blue,0.284,0.0148,0.321,0.0234,5.22,7.27,0.884,4.58
green,0.448,0.0226,0.503,0.0263,5.04,5.22,0.891,4.17
red,0.575,0.0326,0.619,0.0325,5.67,5.26,0.929,4.68
RE1,0.632,0.0353,0.647,0.0345,5.59,5.34,0.978,4.55
RE2,0.654,0.0374,0.673,0.0362,5.73,5.38,0.971,4.57
RE3,0.631,0.0368,0.672,0.0364,5.83,5.42,0.939,4.68
nir_1,0.665,0.0418,0.682,0.0378,6.28,5.55,0.975,5.17
nir_2,0.664,0.0399,0.686,0.0385,6,5.62,0.967,4.87
swir_2,0.75,0.0477,0.73,0.0465,6.36,6.37,1.03,5.07
swir_3,0.596,0.036,0.579,0.0391,6.05,6.76,1.03,4.72
CA,0.183,0.011,0.192,0.0142,6.03,7.42,0.955,4.23
blue,0.236,0.0166,0.261,0.0183,7.03,7.02,0.905,5.4
green,0.412,0.024,0.466,0.0311,5.82,6.67,0.884,4.91
red,0.547,0.032,0.587,0.0397,5.85,6.76,0.932,5.06
RE1,0.601,0.0344,0.615,0.0414,5.72,6.73,0.977,4.73
RE2,0.619,0.0362,0.646,0.0432,5.85,6.69,0.959,4.86
RE3,0.614,0.0362,0.648,0.0422,5.89,6.52,0.947,4.83
nir_1,0.631,0.0389,0.652,0.0424,6.17,6.49,0.967,5.14
nir_2,0.638,0.0392,0.653,0.0424,6.15,6.49,0.978,4.96
swir_2,0.758,0.0423,0.744,0.0492,5.57,6.62,1.02,4.66
swir_3,0.609,0.0316,0.611,0.0465,5.19,7.62,0.997,4.92
CA,0.183,0.00994,0.193,0.0134,5.43,6.93,0.948,3.79
blue,0.236,0.0152,0.265,0.0173,6.44,6.55,0.892,4.94
green,0.412,0.023,0.475,0.0307,5.57,6.46,0.868,4.66
red,0.547,0.031,0.603,0.0405,5.66,6.71,0.908,4.9
RE1,0.601,0.0326,0.634,0.0429,5.43,6.77,0.948,4.71
RE2,0.619,0.0345,0.664,0.0454,5.57,6.84,0.933,4.81
RE3,0.614,0.0342,0.667,0.0449,5.58,6.74,0.921,4.82
nir_1,0.631,0.037,0.67,0.0449,5.87,6.7,0.942,5
nir_2,0.638,0.037,0.67,0.0447,5.79,6.67,0.953,4.92
swir_2,0.759,0.0404,0.764,0.0523,5.33,6.85,0.993,4.7
swir_3,0.61,0.0314,0.626,0.0473,5.16,7.55,0.973,5.06
CA,0.168,0.00805,0.161,0.0118,4.79,7.37,1.05,3.52
blue,0.219,0.0121,0.221,0.0135,5.51,6.08,0.99,5.59
green,0.383,0.0113,0.4,0.0125,2.96,3.13,0.958,2.77
red,0.511,0.0166,0.519,0.0173,3.25,3.33,0.985,3.12
RE1,0.571,0.0176,0.547,0.019,3.07,3.48,1.04,2.95
RE2,0.591,0.0185,0.574,0.0203,3.12,3.53,1.03,2.97
RE3,0.589,0.0179,0.594,0.0207,3.04,3.48,0.991,2.91
nir_1,0.626,0.0207,0.602,0.0241,3.31,4,1.04,3.16
nir_2,0.612,0.0194,0.603,0.0244,3.18,4.05,1.01,3.03
swir_2,0.72,0.0226,0.699,0.0275,3.14,3.94,1.03,3.07
swir_3,0.578,0.0221,0.578,0.0281,3.83,4.86,0.999,4.04
CA,0.0495,0.0033,0.0502,0.00481,6.67,9.59,0.986,4.77
blue,0.0539,0.00475,0.056,0.00552,8.81,9.87,0.963,6.9
green,0.0609,0.00531,0.0626,0.00635,8.73,10.1,0.972,6.52
red,0.073,0.00645,0.0704,0.00731,8.84,10.4,1.04,6.7
RE1,0.0862,0.00723,0.075,0.0078,8.39,10.4,1.15,6.04
RE2,0.0918,0.00739,0.0798,0.00871,8.05,10.9,1.15,5.84
RE3,0.0917,0.00709,0.0856,0.00919,7.73,10.7,1.07,5.7
nir_1,0.105,0.00863,0.0921,0.00971,8.2,10.5,1.14,6.38
nir_2,0.103,0.00767,0.0957,0.0101,7.42,10.5,1.08,5.56
swir_2,0.172,0.00999,0.159,0.0137,5.8,8.59,1.08,4
swir_3,0.144,0.0104,0.128,0.0131,7.19,10.2,1.13,5.06
CA,0.158,0.00889,0.186,0.0162,5.61,8.7,0.851,4.54
blue,0.189,0.0171,0.229,0.0179,9.09,7.84,0.826,5.67
green,0.276,0.019,0.332,0.0212,6.9,6.39,0.83,4.3
red,0.415,0.023,0.491,0.0278,5.55,5.67,0.845,3.57
RE1,0.466,0.0253,0.528,0.0304,5.43,5.76,0.883,3.77
RE2,0.488,0.0272,0.553,0.0321,5.58,5.81,0.882,3.83
RE3,0.475,0.0263,0.549,0.0311,5.54,5.65,0.865,3.88
nir_1,0.49,0.0292,0.547,0.0317,5.96,5.79,0.896,4.08
nir_2,0.485,0.0278,0.546,0.0321,5.73,5.88,0.889,4.18
swir_2,0.653,0.0284,0.7,0.0326,4.35,4.66,0.933,3.18
swir_3,0.558,0.0214,0.613,0.0269,3.84,4.4,0.911,2.43
CA,0.18,0.00604,0.187,0.0128,3.35,6.84,0.962,2.63
blue,0.214,0.012,0.231,0.0147,5.63,6.36,0.926,4.36
green,0.312,0.0113,0.337,0.0176,3.63,5.21,0.925,2.97
red,0.461,0.0135,0.486,0.0207,2.93,4.25,0.95,2.59
RE1,0.52,0.0149,0.52,0.0222,2.86,4.28,1,2.29
RE2,0.532,0.0155,0.542,0.0232,2.91,4.28,0.982,2.31
RE3,0.514,0.0154,0.537,0.0231,3,4.31,0.958,2.42
nir_1,0.53,0.0174,0.534,0.0237,3.28,4.44,0.991,2.86
nir_2,0.522,0.016,0.533,0.0241,3.06,4.51,0.979,2.6
swir_2,0.701,0.0173,0.686,0.0225,2.46,3.28,1.02,1.88
swir_3,0.609,0.0139,0.6,0.0181,2.29,3.02,1.02,1.5
