Site,Platform,BAND,satmean,satstd,fieldmean,fieldstd,other,other2,other3,other4
LKG,S2B,nir_1,0.144,0.00821,0.133,0.0125,5.69,9.35,1.08,4.89
LKG,S2B,nir_2,0.147,0.00726,0.138,0.0127,4.94,9.2,1.07,4.14
LKG,S2B,swir_2,0.229,0.00859,0.214,0.0151,3.76,7.05,1.07,2.86
LKG,S2B,swir_3,0.195,0.00865,0.182,0.0154,4.43,8.48,1.07,3.37
LKG,S2B,CA,0.0495,0.0033,0.0505,0.00484,6.67,9.59,0.98,4.77
LKG,S2B,blue,0.0539,0.00475,0.0566,0.00559,8.81,9.87,0.952,6.9
LKG,S2B,green,0.0609,0.00531,0.0637,0.00646,8.73,10.1,0.956,6.52
LKG,S2B,red,0.073,0.00645,0.0718,0.00745,8.84,10.4,1.02,6.7
LKG,S2B,RE1,0.0862,0.00723,0.0764,0.00794,8.39,10.4,1.13,6.04
LKG,S2B,RE2,0.0918,0.00739,0.0812,0.00885,8.05,10.9,1.13,5.84
LKG,S2B,RE3,0.0917,0.00709,0.087,0.00934,7.73,10.7,1.05,5.7
LKG,S2B,nir_1,0.105,0.00863,0.0935,0.00986,8.2,10.5,1.13,6.38
LKG,S2B,nir_2,0.103,0.00767,0.097,0.0102,7.42,10.5,1.07,5.56
LKG,S2B,swir_2,0.172,0.00999,0.161,0.0139,5.8,8.59,1.07,4
LKG,S2B,swir_3,0.144,0.0104,0.13,0.0133,7.19,10.2,1.11,5.06
NRB,S2B,CA,0.0589,0.00442,0.033,0.00564,7.5,17.1,1.78,5.08
NRB,S2B,blue,0.0554,0.00609,0.0428,0.00711,11,16.6,1.29,4.1
NRB,S2B,green,0.0838,0.00669,0.0777,0.00842,7.99,10.8,1.08,2.82
NRB,S2B,red,0.0707,0.0108,0.0569,0.0129,15.2,22.7,1.24,6.47
NRB,S2B,RE1,0.129,0.0064,0.112,0.0125,4.94,11.1,1.16,3.11
NRB,S2B,RE2,0.305,0.0128,0.315,0.0187,4.21,5.94,0.968,1.38
NRB,S2B,RE3,0.359,0.0176,0.379,0.0265,4.89,6.99,0.949,1.77
NRB,S2B,nir_1,0.4,0.0221,0.402,0.0276,5.51,6.86,0.995,2.24
NRB,S2B,nir_2,0.404,0.0207,0.415,0.0281,5.13,6.78,0.975,1.66
NRB,S2B,swir_2,0.31,0.0118,0.281,0.0248,3.8,8.81,1.1,2.35
NRB,S2B,swir_3,0.172,0.00995,0.142,0.0221,5.79,15.6,1.21,3.62
PIN,S2B,CA,0.218,0.00851,0.245,0.0201,3.9,8.22,0.891,2.94
PIN,S2B,blue,0.284,0.0148,0.321,0.0234,5.22,7.27,0.884,4.58
PIN,S2B,green,0.448,0.0226,0.503,0.0263,5.04,5.22,0.891,4.17
PIN,S2B,red,0.575,0.0326,0.619,0.0325,5.67,5.26,0.929,4.68
PIN,S2B,RE1,0.632,0.0353,0.647,0.0345,5.59,5.34,0.978,4.55
PIN,S2B,RE2,0.654,0.0374,0.673,0.0362,5.73,5.38,0.971,4.57
PIN,S2B,RE3,0.631,0.0368,0.672,0.0364,5.83,5.42,0.939,4.68
PIN,S2B,nir_1,0.665,0.0418,0.682,0.0378,6.28,5.55,0.975,5.17
PIN,S2B,nir_2,0.664,0.0399,0.686,0.0385,6,5.62,0.967,4.87
PIN,S2B,swir_2,0.75,0.0477,0.73,0.0465,6.36,6.37,1.03,5.07
PIN,S2B,swir_3,0.596,0.036,0.579,0.0391,6.05,6.76,1.03,4.72
PIN,S2B,CA,0.168,0.00805,0.161,0.0118,4.79,7.37,1.05,3.52
PIN,S2B,blue,0.219,0.0121,0.221,0.0135,5.51,6.08,0.99,5.59
PIN,S2B,green,0.383,0.0113,0.4,0.0125,2.96,3.13,0.958,2.77
PIN,S2B,red,0.511,0.0166,0.519,0.0173,3.25,3.33,0.985,3.12
PIN,S2B,RE1,0.571,0.0176,0.547,0.019,3.07,3.48,1.04,2.95
PIN,S2B,RE2,0.591,0.0185,0.574,0.0203,3.12,3.53,1.03,2.97
PIN,S2B,RE3,0.589,0.0179,0.594,0.0207,3.04,3.48,0.991,2.91
PIN,S2B,nir_1,0.626,0.0207,0.602,0.0241,3.31,4,1.04,3.16
PIN,S2B,nir_2,0.612,0.0194,0.603,0.0244,3.18,4.05,1.01,3.03
PIN,S2B,swir_2,0.72,0.0226,0.699,0.0275,3.14,3.94,1.03,3.07
PIN,S2B,swir_3,0.578,0.0221,0.578,0.0281,3.83,4.86,0.999,4.04
WIN,S2B,CA,0.158,0.00889,0.186,0.0162,5.61,8.7,0.851,4.54
WIN,S2B,blue,0.189,0.0171,0.229,0.0179,9.09,7.84,0.826,5.67
WIN,S2B,green,0.276,0.019,0.332,0.0212,6.9,6.39,0.83,4.3
WIN,S2B,red,0.415,0.023,0.491,0.0278,5.55,5.67,0.845,3.57
WIN,S2B,RE1,0.466,0.0253,0.528,0.0304,5.43,5.76,0.883,3.77
WIN,S2B,RE2,0.488,0.0272,0.553,0.0321,5.58,5.81,0.882,3.83
WIN,S2B,RE3,0.475,0.0263,0.549,0.0311,5.54,5.65,0.865,3.88
WIN,S2B,nir_1,0.49,0.0292,0.547,0.0317,5.96,5.79,0.896,4.08
WIN,S2B,nir_2,0.485,0.0278,0.546,0.0321,5.73,5.88,0.889,4.18
WIN,S2B,swir_2,0.653,0.0284,0.7,0.0326,4.35,4.66,0.933,3.18
WIN,S2B,swir_3,0.558,0.0214,0.613,0.0269,3.84,4.4,0.911,2.43
