Site,Platform,BAND,satmean,satstd,fieldmean,fieldstd,other,other2,other3,other4
BLA,S2A,CA,0.0762,0.00101,0.0595,0.0087,1.33,14.6,1.28,1.11
BLA,S2A,blue,0.088,0.00274,0.075,0.0113,3.12,15.1,1.17,2.93
BLA,S2A,green,0.119,0.00395,0.11,0.0182,3.31,16.5,1.08,3.06
BLA,S2A,red,0.173,0.00675,0.164,0.0297,3.89,18.1,1.06,3.69
BLA,S2A,RE1,0.201,0.0061,0.184,0.0319,3.03,17.3,1.09,2.66
BLA,S2A,RE2,0.218,0.00631,0.204,0.0338,2.9,16.6,1.07,2.6
BLA,S2A,RE3,0.228,0.00596,0.217,0.035,2.61,16.1,1.05,2.31
BLA,S2A,nir_1,0.25,0.00763,0.234,0.0367,3.05,15.7,1.07,2.78
BLA,S2A,nir_2,0.264,0.00591,0.244,0.0378,2.24,15.5,1.08,1.94
BLA,S2A,swir_2,0.398,0.0059,0.379,0.0611,1.48,16.1,1.05,1.15
BLA,S2A,swir_3,0.317,0.00835,0.309,0.0611,2.64,19.8,1.02,2.11
DOO,S2A,CA,0.0864,0.000829,0.0656,0.00998,0.96,15.2,1.32,1.03
DOO,S2A,blue,0.0973,0.00192,0.0855,0.0121,1.97,14.2,1.14,1.4
DOO,S2A,green,0.137,0.00263,0.125,0.0153,1.92,12.3,1.1,1.4
DOO,S2A,red,0.208,0.00362,0.184,0.0236,1.74,12.8,1.13,1.36
DOO,S2A,RE1,0.237,0.00366,0.202,0.0256,1.55,12.7,1.17,0.965
DOO,S2A,RE2,0.25,0.00364,0.218,0.0272,1.46,12.5,1.15,0.99
DOO,S2A,RE3,0.262,0.00389,0.235,0.0285,1.48,12.1,1.12,1.04
DOO,S2A,nir_1,0.285,0.00521,0.253,0.0292,1.83,11.6,1.13,1.52
DOO,S2A,nir_2,0.297,0.00455,0.263,0.0296,1.53,11.2,1.13,1.14
DOO,S2A,swir_2,0.422,0.00752,0.381,0.0338,1.78,8.86,1.11,1.82
DOO,S2A,swir_3,0.347,0.00667,0.315,0.0465,1.92,14.8,1.1,2.07
DOO,S2A,CA,0.0502,0.000495,0.0472,0.00823,0.986,17.4,1.06,0.728
DOO,S2A,blue,0.0544,0.0019,0.0602,0.00971,3.5,16.1,0.904,3.4
DOO,S2A,green,0.0848,0.00185,0.0932,0.0111,2.18,11.9,0.91,2.58
DOO,S2A,red,0.137,0.00227,0.141,0.014,1.66,9.89,0.969,1.57
DOO,S2A,RE1,0.16,0.00221,0.155,0.0145,1.38,9.32,1.03,1.33
DOO,S2A,RE2,0.173,0.00262,0.168,0.0146,1.52,8.71,1.03,1.7
DOO,S2A,RE3,0.172,0.00166,0.17,0.0145,0.965,8.54,1.01,0.814
DOO,S2A,nir_1,0.183,0.00232,0.181,0.0156,1.27,8.64,1.01,1.22
DOO,S2A,nir_2,0.194,0.00188,0.188,0.0163,0.969,8.7,1.03,0.893
DOO,S2A,swir_2,0.302,0.00425,0.3,0.0299,1.41,9.97,1.01,1.13
DOO,S2A,swir_3,0.28,0.00178,0.278,0.0277,0.636,9.94,1.01,0.557
FOW,S2A,CA,0.056,0.001,0.0548,0.00549,1.79,10,1.02,1.13
FOW,S2A,blue,0.0687,0.00208,0.0744,0.00763,3.02,10.3,0.923,2.31
FOW,S2A,green,0.128,0.00368,0.137,0.0147,2.87,10.7,0.933,2.19
FOW,S2A,red,0.249,0.00695,0.255,0.0281,2.79,11,0.976,2.2
FOW,S2A,RE1,0.28,0.00716,0.277,0.03,2.56,10.8,1.01,2.17
FOW,S2A,RE2,0.293,0.00799,0.295,0.0311,2.73,10.5,0.992,2.25
FOW,S2A,RE3,0.298,0.00814,0.305,0.0311,2.73,10.2,0.978,2.27
FOW,S2A,nir_1,0.303,0.00767,0.311,0.0304,2.53,9.77,0.975,2.03
FOW,S2A,nir_2,0.316,0.0066,0.314,0.0299,2.09,9.52,1.01,1.64
FOW,S2A,swir_2,0.46,0.00457,0.447,0.0348,0.992,7.78,1.03,0.679
FOW,S2A,swir_3,0.377,0.00484,0.374,0.0332,1.28,8.86,1.01,0.769
LGR,S2A,CA,0.0809,0.000667,0.0684,0.00884,0.824,12.9,1.18,0.727
LGR,S2A,blue,0.0917,0.00227,0.0891,0.0121,2.48,13.5,1.03,2.01
LGR,S2A,green,0.13,0.00332,0.129,0.0166,2.56,12.9,1.01,2.05
LGR,S2A,red,0.177,0.00458,0.171,0.0211,2.59,12.3,1.03,2.09
LGR,S2A,RE1,0.204,0.00513,0.189,0.0237,2.51,12.5,1.08,2.08
LGR,S2A,RE2,0.218,0.00618,0.209,0.028,2.83,13.4,1.05,2.44
LGR,S2A,RE3,0.226,0.00627,0.219,0.029,2.78,13.2,1.03,2.36
LGR,S2A,nir_1,0.24,0.00803,0.231,0.0302,3.34,13.1,1.04,2.79
LGR,S2A,nir_2,0.248,0.00672,0.238,0.031,2.71,13,1.04,2.27
LGR,S2A,swir_2,0.335,0.00516,0.313,0.0362,1.54,11.6,1.07,1.4
LGR,S2A,swir_3,0.283,0.0041,0.264,0.0352,1.45,13.3,1.07,1.25
LGR,S2A,CA,0.0865,0.000903,0.0748,0.00847,1.04,11.3,1.16,0.936
LGR,S2A,blue,0.098,0.00224,0.0992,0.0118,2.29,11.9,0.989,1.9
LGR,S2A,green,0.14,0.00352,0.146,0.017,2.52,11.6,0.957,1.85
LGR,S2A,red,0.192,0.00512,0.196,0.0226,2.66,11.5,0.979,2.07
LGR,S2A,RE1,0.219,0.00553,0.215,0.0246,2.53,11.4,1.01,2.06
LGR,S2A,RE2,0.231,0.00716,0.234,0.0272,3.1,11.6,0.987,2.57
LGR,S2A,RE3,0.237,0.00658,0.245,0.0281,2.78,11.5,0.966,2.25
LGR,S2A,nir_1,0.248,0.00801,0.257,0.0291,3.23,11.3,0.965,2.47
