,1,2,3,4,5,6
band1,0.19757398466933213,0.19095361699616276,0.18133118901228246,0.1863912068876953,0.18900623666313712,0.18714310086841823
band2,0.27808292970727694,0.269745869251942,0.2557869868645582,0.26088051944957197,0.2621863861957321,0.2583919635506351
band3,0.4903413833365371,0.4793799415457562,0.45596729681414194,0.45505931771238944,0.44687127594154286,0.4342860165919357
band4,0.6210799985866993,0.6109559971111361,0.5802893802384861,0.5771839660445903,0.567497584303439,0.5521060075608607
band5,0.6550404348970421,0.6427128930359005,0.6105391139716533,0.6071596995293147,0.598436780512147,0.5823803271882652
band6,0.6883521638318963,0.6749278742105358,0.6410735236838991,0.6373319929522883,0.6283690233679392,0.6115247154632749
band7,0.6851579938419612,0.6737477832311318,0.6403167558075509,0.6379698367618076,0.6300383338760008,0.614506016534393
band8,0.6886055856826345,0.6772628871908,0.642709613180871,0.6416960463122614,0.635063701392596,0.6209838714711645
band8a,0.6887175693576353,0.677260008250456,0.6421942133380737,0.6420307209307186,0.6362411677317078,0.6230123958515932
band9,0.6700333359305242,0.6615830469946826,0.6260850751559852,0.6280497606897644,0.6217423618782617,0.6119874768712887
band11,0.7872518329327836,0.7836656134892055,0.7429099759248402,0.7401478264240287,0.7242179852823731,0.7087038556330018
band12,0.6462254855576002,0.6497231336061509,0.6187664928588457,0.6075076551952234,0.5868193539712426,0.5676428578538045
