,0,1,2,3,4,5,Sat_mean
band1,0.19845681190972836,0.1886480518973867,0.18673340991545573,0.1911414400820401,0.1966627284575979,0.19762260765831352,0.18298397435897437
band2,0.2789135835976771,0.2668647236876608,0.2634443160706435,0.26541313938199396,0.27049194857696107,0.26929652910741736,0.2364730769230769
band3,0.49059595012131213,0.47602396626515325,0.4678291143417728,0.4550893701174884,0.4512143343254347,0.4400586284240761,0.4124160256410257
band4,0.6216917733681602,0.6081158561608054,0.5963574262466325,0.5752578501514903,0.5708142410435051,0.5534083767830396,0.5491967948717948
band5,0.6546094706641482,0.6402861232529918,0.6280608912753219,0.604181249250451,0.6017419765472516,0.5811249406058263,0.6028128205128205
band6,0.6867295979708394,0.672598416558575,0.6594057061675002,0.6331332006369705,0.6310970008373779,0.6076341238438017,0.6212910256410257
band7,0.6800635449037891,0.6675132664670222,0.6553659194440437,0.6304196896737249,0.6302065286032692,0.6066440199347646,0.6159955128205128
band8,0.6834994770183344,0.6704020934210132,0.6581477600936136,0.6345319612459288,0.6363262265275682,0.612732620630727,0.6333897435897435
band8a,0.6835825614265193,0.6702281051069451,0.6579052287454169,0.6352100243115081,0.6381120517464335,0.6147501485164882,0.6409519230769231
band11,0.7791059471953564,0.7773066376478903,0.7581061580561235,0.7303562991478751,0.7212769029540032,0.6944722016692886,0.7613961538461538
band12,0.6444120972341818,0.6495603663060918,0.6313233265817744,0.6019681076997309,0.5822721566949515,0.5584338185445313,0.611748717948718
