,0,1,2,3,4,Sat_mean
band1,0.03427879716406161,0.03442990635628892,0.031241269202135376,0.03217509634835686,0.03315301234557258,0.05826666666666666
band2,0.043999180797721714,0.04425748296182075,0.04054120278214818,0.04128765047439971,0.042427941703852015,0.05522115384615384
band3,0.07840411584621963,0.0790835210963354,0.07336607634798452,0.07443469113964668,0.07615864061395809,0.08360641025641026
band4,0.05960584273019318,0.05965764099410162,0.053486597684871524,0.05314113798649095,0.054159755671220736,0.07039038461538462
band5,0.11747934754742623,0.11614852636160228,0.10774990615621734,0.10728082224460067,0.10828293928796279,0.12867307692307692
band6,0.32254138738963345,0.3261883977956715,0.3056451088319695,0.31186231976346174,0.3146698609783462,0.30454166666666665
band7,0.3756223509718756,0.3828681230409987,0.360983018547528,0.3712326643616038,0.3751345780940838,0.35923397435897436
band8,0.3987713734229467,0.4051103893287872,0.3823930821762207,0.3928238832801604,0.39591187836598213,0.39964358974358977
band8a,0.41260852815747573,0.4187064599341328,0.39554319147503664,0.4060333337329376,0.4088280432961101,0.40423461538461536
band11,0.28176288254472137,0.2925921239720284,0.27608081401778833,0.27467006020059354,0.28028848518177,0.30853141025641023
band12,0.14508812066188112,0.15044670661354204,0.1394102143037164,0.13752888354053758,0.1403314729720249,0.17112179487179488
