,0,1,2,3,4,5,Sat_mean
band1,0.17898424523192186,0.17423823767706684,0.1718940808405315,0.17784583113032926,0.17658634349466829,0.1793170530175117,0.18186602564102564
band2,0.24569535585600744,0.23968488594469226,0.2361492061847561,0.24141450515856053,0.2384054736157659,0.24046087212145734,0.23459423076923075
band3,0.4483567928061033,0.44110800711642817,0.4343661869157283,0.4292509488844453,0.4171118932551532,0.4105939652868694,0.4125275641025641
band4,0.5696461394185861,0.5620496028695104,0.5528831544917828,0.5430955337943284,0.5291807358882739,0.520244495622815,0.5491455128205128
band5,0.5994279905372768,0.5901959729585229,0.5802869792171431,0.5705135561682078,0.5562506898672046,0.5475985395883051,0.6022089743589744
band6,0.6292625302372876,0.6189128421482039,0.6081511707450137,0.5978587049604697,0.5828680063791701,0.5738920995722122,0.6206205128205128
band7,0.6251983064815118,0.616430423745146,0.6064963102227644,0.5980445022803846,0.5843937089309832,0.5769893620107528,0.6152032051282051
band8,0.6278280508842367,0.6188037461221765,0.6086547709620452,0.6018581530819882,0.5892156611455414,0.583120974420373,0.6322320512820513
band8a,0.6276338788294926,0.6186200431743454,0.6082935275398218,0.6025711518926417,0.5907014324491217,0.5856424566890559,0.6390557692307692
band11,0.7257980942401856,0.7188365859271164,0.7070610415089118,0.694487548613216,0.6773584839994707,0.6659574171863499,0.7606205128205128
band12,0.5955834233476063,0.5944422574074208,0.5866152739909691,0.5623060750315403,0.5434542563136797,0.5255959896438367,0.613102564102564
