,0,0,0,0,0,0
Latitude,-30.584696476190473,-30.584629375,-30.584606625000003,-30.584494444444445,-30.584443277777776,-30.584323333333334
Longitude,115.15618685714286,115.15608395833334,115.15579829166666,115.15567759259255,115.15541522222223,115.15525052083332
Line,1.0,2.0,3.0,4.0,5.0,6.0
Spec_number,22.0,20.5,21.5,19.5,16.5,17.5
band1,0.18523883174350153,0.1795784737075063,0.1709010072319985,0.17598468008019327,0.1787251583687657,0.17724439229841252
band2,0.23271045776042212,0.22615265223384912,0.21483497441361435,0.2203255138164711,0.22273174406942503,0.2203761963030194
band3,0.4591461816251664,0.4505703230832072,0.42957387509791695,0.4294616719640099,0.4224868736486727,0.41130055414620803
band4,0.5749779426394175,0.5677522152109057,0.5406861880848021,0.5386294360935556,0.5300822084739264,0.5163925244513856
band5,0.6675652846263708,0.6572882453242018,0.6238024151812349,0.624056946789791,0.6187805153816757,0.606284880639274
band6,0.7563018345389294,0.7543414069751385,0.7161189189425073,0.7141525305560309,0.6994847609050321,0.6850582491411848
band7,0.6111844500220563,0.6165412960471346,0.5884764792601981,0.5783614301653471,0.5590129329246486,0.5412220892495091
band8,0.4899992834993994,0.48217304983608733,0.4594789835570382,0.4588226865386252,0.45179323688884593,0.44014766672964567
