,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.08187244897959182,0.0007266474051963238,0.06735273812632327,0.008524595462245132,0.8875359345577335,12.656642772646968,1.2155771429223285
Band2,0.09263469387755102,0.002072147758935273,0.08777261557223812,0.011679074048947958,2.2369024737905834,13.306056761332254,1.0553940232225545
Band3,0.13064489795918366,0.002916197637859454,0.12791353769418443,0.016377450170066428,2.232155777541759,12.803531561468983,1.021353175857972
Band4,0.17777857142857142,0.0039595596023924125,0.17000810922567683,0.020848710522449035,2.227242333299601,12.263362387480864,1.0457064209365432
Band5,0.20361683673469388,0.004434267327129307,0.18820729130128092,0.023475457805254014,2.177750817780856,12.473192533053709,1.0818753903043292
Band6,0.2182280612244898,0.005498476441699558,0.20733424058030608,0.02772292278434152,2.5196010132002735,13.371126113442749,1.052542313385831
Band7,0.22586173469387755,0.005556501528456112,0.21821583073903003,0.028778660909300733,2.460134088665854,13.188163668894344,1.0350382643136073
Band8,0.23827448979591836,0.007147517211641551,0.22967329582611734,0.029954041548941747,2.9996988841580925,13.042021903852314,1.0374496910442426
Band8a,0.24823469387755104,0.00600175317993165,0.23632942707616966,0.030678421620642746,2.4177737149393743,12.98121101556896,1.0503757274270558
Band11,0.33585051020408163,0.004176055377410841,0.31216341054431673,0.03609338690449648,1.2434268373965653,11.56233744421255,1.0758804486998073
Band12,0.28138367346938775,0.003300670738190828,0.2636450447086571,0.03502565648657158,1.1730143037420804,13.285156383377863,1.067282238436656
