,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.07948186813186814,0.001098525897485335,0.06659565611485155,0.005451125463663952,1.3821088045675696,8.185406949460615,1.193499287623098
Band2,0.09101703296703297,0.0017680889257790813,0.08734975709153471,0.007803938882385188,1.9425912580774811,8.93412774371812,1.041983813093553
Band3,0.12555219780219778,0.0021253495134402915,0.12639206753016446,0.009383785378404294,1.692801520518733,7.4243467661962095,0.9933550439962046
Band4,0.16957527472527473,0.002886248883383711,0.17003639067245424,0.012651476547987314,1.7020458248171266,7.440452304329488,0.9972881337615089
Band5,0.19387637362637364,0.003269899691469367,0.18268936275041078,0.01359674994830339,1.6865900833130458,7.442551522213801,1.0612351518859173
Band6,0.20001923076923075,0.0031578984285766856,0.1942230100671386,0.014219967358936273,1.578797406845377,7.321463792586031,1.0298431205452356
Band7,0.2080434065934066,0.0034834830743362736,0.20883201314579775,0.01501755578876189,1.6744020545406095,7.191213436360096,0.9962237276722483
Band8,0.22784065934065934,0.004262679290083299,0.21912617684123428,0.015879923171938728,1.8709036843638567,7.246931152111676,1.0397692444830042
Band8a,0.2267186813186813,0.003843859441230483,0.2244119251660606,0.016393983197094713,1.6954312802426106,7.30530838990106,1.0102791157417939
Band11,0.3131576923076923,0.0066126519720251156,0.3033238672514891,0.020979401691791227,2.1116045156980756,6.916502114354548,1.0324202152152104
Band12,0.26949505494505493,0.0053847799089016355,0.2576149369430979,0.015497648078224508,1.998099709102081,6.015818904805056,1.0461157964787622
