,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.19344642857142857,0.01297003365297036,0.09268276272337868,0.01106710360673414,6.704716002643222,11.940843455179536,2.087188845986276
Band2,0.20328035714285714,0.013856785594621363,0.10357163917473354,0.012501857731658038,6.816588572246249,12.070734644419806,1.9627029055696137
Band3,0.21297857142857143,0.014457458706318272,0.12078462892776409,0.01477447613274021,6.788222218481262,12.2320830588271,1.7632920125618339
Band4,0.22906964285714285,0.015437684870412508,0.13519283559036782,0.016484948878608865,6.739297568137423,12.193655681990428,1.694391879990004
Band5,0.26596964285714286,0.016165073898939137,0.1794207836431034,0.020509845821855666,6.0777890759592035,11.431142705659465,1.4823792286304966
Band6,0.3152446428571428,0.01599575746925747,0.27195508893239784,0.027740214884752395,5.074077492414726,10.200292626863847,1.1591790545074367
Band7,0.2907767857142857,0.017635404639849476,0.2381789505602144,0.027220365107923854,6.064928669091845,11.428535159760992,1.2208332643600845
