,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.04341785714285715,0.0039011036507477664,0.07036057630968641,0.004755739359795942,8.985021158257585,6.759096655013084,0.6170764854420314
Band2,0.06119642857142857,0.004762276027193686,0.07866746749138252,0.0055589939773560805,7.781950905247926,7.066445831582198,0.7779127830463364
Band3,0.08291964285714286,0.006359874764121234,0.09258090917279821,0.006757160389559778,7.669925418128332,7.29865417172328,0.8956451561992871
Band4,0.0978,0.007477657196131496,0.10527800697022799,0.008045007089023882,7.645866253713186,7.641678751858366,0.9289689538638138
Band5,0.1495607142857143,0.01172277512505691,0.1526466758359103,0.0157104825096426,7.838137963598,10.29205675368313,0.9797836308370494
Band6,0.21991071428571426,0.01269256923461559,0.23364993028257364,0.017327920408434325,5.7716920595897125,7.416188991573047,0.941197431643813
Band7,0.1745875,0.011502159152896966,0.1943669954393223,0.016976666105417575,6.588191682048809,8.734335820258831,0.8982363472017704
