,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.046043306666666665,0.001740745204202946,0.056483318235544505,0.09124696396978141,3.780669396325458,161.54674835013574,0.8151664616207335
Band2,0.044616213333333335,0.0018496121560538637,0.07195927050136804,0.1109089457740557,4.145605415312095,154.1273903991942,0.6200203673894266
Band3,0.06250149333333334,0.002070821520545785,0.07652952924201294,0.10104559846302878,3.31323526863857,132.03478378063392,0.8166977368393568
Band4,0.04303778666666667,0.0022552159174874784,0.06395614270103471,0.11401815032123414,5.240083406134295,178.27552680000744,0.6729265532452191
Band5,0.022029466666666667,0.002300059937383275,0.0393278746537808,0.11267389605804973,10.440833508073768,286.49881807741616,0.5601489239019647
Band6,0.01804576,0.0021307693498828074,0.0365302291157837,0.10701852427216822,11.807589981706546,292.95880935476663,0.4939952591811949
Band7,0.015166506666666666,0.00183576129438322,0.036530229115783665,0.1070185242721682,12.104048313366075,292.9588093547668,0.415176883194353
