,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.0621974358974359,0.0016153251922322305,0.05515482630462498,0.005922745884751119,2.597092900896936,10.738400030559918,1.1276880023864813
Band2,0.07162307692307693,0.002783897059920982,0.07823985985931457,0.007035985555256933,3.8868716334413875,8.992840181345606,0.9154295144682585
Band3,0.0951723076923077,0.00330335529621289,0.10906199165593193,0.00852333841319548,3.4709206662222023,7.815131819786358,0.8726441379555646
Band4,0.13955076923076923,0.0044181370854376985,0.15842013023171503,0.01046085605494706,3.1659711442590552,6.60323662128441,0.880890383227521
Band5,0.16482102564102563,0.0040258292949606105,0.17782713257162924,0.011045212099128707,2.4425459551069197,6.211207445905178,0.9268609534297882
Band6,0.17755846153846153,0.004330697544608684,0.19567712131216142,0.011439419800337535,2.439026282997275,5.846069138603262,0.9074053233602338
Band7,0.1977102564102564,0.0050954376210133705,0.22302199598757574,0.012409105397000235,2.5772247295254833,5.564072432430176,0.8865056360686082
Band8,0.2208517948717949,0.006346356464001911,0.24619280740774035,0.012910748268506252,2.8735815652691383,5.244161437715639,0.897068428591514
Band8a,0.2314528205128205,0.0061155480492056736,0.2607833804787659,0.013312935940575582,2.642243907702531,5.104978667020377,0.8875290292192004
Band11,0.2836205128205128,0.004885634593176281,0.4000623929141251,0.01717314742912415,1.722595641827966,4.292617285026946,0.7089406998607666
Band12,0.18300307692307693,0.003721688446326309,0.2704836618003959,0.021981667495636924,2.0336753397270333,8.126800468953409,0.6765771939974863
