Site,Platform,BAND,ls8mean,ls8std,brdfmean,brdfstd,us8mean,us8std,bandsmean,bandsstd
DOO,LS8,CA,0.04200816326530612,0.001179560058889802,0.04732166304799469,0.008211299243426423,0.04377551020408163,0.0010430588087290693,0.04409862072389702,0.0075483419626284085
DOO,LS8,blue,0.04463673469387755,0.0013832369427602572,0.05718957786668408,0.009419909166573561,0.05321632653061224,0.00099331375703167,0.05329577042997057,0.008655718395244578
DOO,LS8,green,0.08043877551020408,0.002107694003129681,0.0943476618752772,0.011103696831226235,0.08137551020408164,0.0009518040040579649,0.08735194141355757,0.010083211073809968
DOO,LS8,red,0.1248530612244898,0.003763904943648682,0.1382076376566611,0.013854419810507406,0.11948979591836735,0.001141828983577857,0.12745800969879126,0.012509726162185668
DOO,LS8,nir,0.18128775510204082,0.004986456459416611,0.18798411574607116,0.01649676315661831,0.17908367346938775,0.0013336074964554784,0.18292442682932922,0.01600223243274648
DOO,LS8,swir1,0.2716918367346939,0.009532882655757727,0.2995319103755739,0.02985573056697536,0.2611673469387755,0.004155664329862391,0.2895168211310481,0.0286541433596661
DOO,LS8,swir2,0.24259591836734695,0.007521993851602126,0.27800396155888957,0.027867791722277654,0.22413673469387754,0.001670719492760593,0.26250382407677164,0.02597691310798513
DOO,LS8,CA,0.0810326530612245,0.0010017103241511676,0.06644752260121457,0.011250889618010372,0.07637755102040816,0.0009372703106105621,0.06785139707088364,0.011451585432468776
DOO,LS8,blue,0.08804897959183673,0.0011089841737115507,0.08211279798995325,0.013268652305363901,0.0925734693877551,0.001142102520542809,0.08384785727317463,0.013504302387764774
DOO,LS8,green,0.1349938775510204,0.0016322525018832735,0.12683700304057435,0.017101317095478904,0.13814897959183672,0.001461914100184481,0.13007189812767425,0.017439284124415703
DOO,LS8,red,0.19772857142857142,0.002821925815134489,0.18102803172545814,0.024457345255834192,0.19875714285714285,0.0017556904566556817,0.1864087911883215,0.025010297122802616
DOO,LS8,nir,0.288330612244898,0.0035044114520353035,0.2648327439498133,0.03163358649159731,0.29144285714285717,0.0020876703156721787,0.271865660674298,0.03229250023248784
DOO,LS8,swir1,0.38957142857142857,0.00448548680041918,0.38027589501821046,0.03378108380476029,0.39301428571428576,0.0012488361929151052,0.3899454446386874,0.03463450359684424
