,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field
Band1,0.16329857142857143,0.012040932089262496,0.16196309578311158,0.01857967419081115,7.373568540083236,11.471547947991565,1.0082455551926979
Band2,0.1931752380952381,0.02207370243590832,0.19843663133805858,0.020997538227828398,11.426776357860978,10.581482907788727,0.9734857762533918
Band3,0.26717380952380954,0.023449003019966233,0.27962803276934145,0.022958645532637233,8.776684758794273,8.210423434754581,0.9554614638518553
Band4,0.4010742857142857,0.028300706801106166,0.4133388840892561,0.02747191197981619,7.056225694126602,6.646341062333716,0.9703279830495647
Band5,0.44371714285714287,0.029759337733103627,0.4434229104703357,0.02980415107769323,6.706826232017997,6.7213827643862984,1.0006635480031807
Band6,0.45480476190476193,0.030095764235907194,0.4645051951502513,0.03116769135893282,6.617293123727094,6.709869272581796,0.9791166313170048
Band7,0.4611671428571429,0.02986191421205552,0.4775437158607764,0.03220080302087079,6.4752909383455215,6.7430063366719395,0.9657066516431598
Band8,0.46843476190476196,0.03302227359699419,0.4739368083714383,0.032801427660408014,7.049492540373848,6.921055102920085,0.9883907593386074
Band8a,0.4690414285714286,0.03148903585236557,0.47215324042885753,0.033351417194586445,6.713487110994125,7.063684909647829,0.9934093180116641
Band11,0.6219633333333333,0.0328552443930491,0.6087909021816135,0.033108845692267345,5.2825050340131146,5.438459341889175,1.0216370367962402
Band12,0.5123157142857143,0.026142643337663314,0.5244472458443714,0.02685278993197237,5.1028384663375315,5.1202080180130976,0.9768679659302528
