Site,Platform,BAND,satmean,satstd,fieldmean,fieldstd
LKG,LS8,CA,0.07121428571428572,0.004207409644706271,0.07275296689592904,0.004940495425555083
LKG,LS8,blue,0.07488392857142856,0.004742768058005875,0.08134270751375108,0.005778494850288503
LKG,LS8,green,0.09416071428571429,0.00644356485660108,0.09620404530124543,0.007084632859414975
LKG,LS8,red,0.11029821428571429,0.00740090465202514,0.1092619170513731,0.00842246395520671
LKG,LS8,nir,0.1550392857142857,0.011097742347166007,0.15244692762158638,0.015530720437191475
LKG,LS8,swir1,0.23262321428571425,0.012977906928306887,0.23681404443481935,0.017542684164630035
LKG,LS8,swir2,0.19330714285714287,0.012031934548508476,0.19932350724760867,0.017447693886905945
DOO,LS8,CA,0.08103061224489796,0.0010459258337214838,0.06694820313896112,0.01132162855617
DOO,LS8,blue,0.08804285714285714,0.0011328130058056577,0.08273159339071108,0.013351611937582206
DOO,LS8,green,0.13497551020408163,0.0016709438384100064,0.12808829984708614,0.017229896267687755
DOO,LS8,red,0.19769591836734693,0.002905726870577711,0.1834604857062793,0.02470279450372094
DOO,LS8,nir,0.2882877551020408,0.0036048511901728064,0.26958627237341753,0.03207456572759478
DOO,LS8,swir1,0.3894795918367347,0.004640635934246413,0.38514471310091036,0.03419723758152788
DOO,LS8,swir2,0.3151591836734694,0.0036682820517460243,0.31676092012162343,0.04721769750252904
DHA,LS8,CA,0.011182142857142858,0.0017147581194335445,0.01666768664377198,0.004273231268083663
DHA,LS8,blue,0.0088125,0.0018640453799656886,0.01956213672599232,0.00508144442923695
DHA,LS8,green,0.026448214285714283,0.00254214413659503,0.039010266844646764,0.009908780756803745
DHA,LS8,red,0.029776785714285717,0.003759083810842581,0.038403205899945565,0.010393796835581625
DHA,LS8,nir,0.20609464285714285,0.01666082251917072,0.2316700909236377,0.05946194774382948
DHA,LS8,swir1,0.11511785714285713,0.00929028115718743,0.1373981035422871,0.03274909569697088
DHA,LS8,swir2,0.056417857142857145,0.00704508712160612,0.06480464925345895,0.018460163367253004
DOO,LS8,CA,0.04201428571428572,0.0012145377889618448,0.045013898220490754,0.007730994351882194
DOO,LS8,blue,0.04463673469387755,0.0014459928977090125,0.05440161194469959,0.008866005886340874
DOO,LS8,green,0.08042857142857143,0.0021664416418992463,0.08949205294299264,0.010378890042993324
DOO,LS8,red,0.1248204081632653,0.003881824712517152,0.13107717435631602,0.01294387444222065
DOO,LS8,nir,0.18125714285714287,0.005147220371328627,0.1780750629024156,0.01542333763085472
DOO,LS8,swir1,0.27162857142857144,0.009763802370731081,0.2862613046721105,0.028167730188154824
DOO,LS8,swir2,0.24254285714285714,0.007720235800565066,0.2661486846779624,0.026388775880979237
LKG,LS8,CA,0.0705,0.0023598199083828407,0.0594693608553893,0.005931992361956578
LKG,LS8,blue,0.06994375,0.002394777847212555,0.06476971382757007,0.0064195932977965135
LKG,LS8,green,0.0784,0.002571235111770217,0.07274669830387574,0.007141268191846629
LKG,LS8,red,0.08674375,0.002732894241916434,0.07826493031268567,0.007540415115423599
LKG,LS8,nir,0.1164875,0.0026246130667205024,0.10618490909574124,0.009174381996152189
LKG,LS8,swir1,0.1699125,0.0014658082241548517,0.16187100180368194,0.010980686152865047
LKG,LS8,swir2,0.133,0.0015732132722552274,0.12807535242679324,0.00958658014726743
FOW,LS8,CA,0.0724359375,0.0030724769724269295,0.06526570545286159,0.00510884921947937
FOW,LS8,blue,0.0802671875,0.003846104144435477,0.08364013951535257,0.006471829956088666
FOW,LS8,green,0.1561828125,0.007292688005107838,0.15853054615398837,0.010428082174974863
FOW,LS8,red,0.2842234375,0.011591035628173771,0.2807824963361228,0.01642753276508335
FOW,LS8,nir,0.3656453125,0.012689881915421582,0.35960580153691807,0.018360040890894946
FOW,LS8,swir1,0.4898453125,0.011862927148361981,0.4983382641965581,0.020539626840334235
FOW,LS8,swir2,0.42065625,0.009839792855416215,0.43705943880775544,0.018283175524314695
LGR,LS8,CA,0.07849795918367347,0.0013078241465633016,0.07142862873198458,0.008403538773568576
LGR,LS8,blue,0.08689795918367348,0.001424062856317161,0.08892413936975554,0.011214924275299685
LGR,LS8,green,0.13573877551020408,0.0025006787916467973,0.13736262691011003,0.016983484130353735
LGR,LS8,red,0.1811,0.0035459663775930543,0.18025537944086675,0.02265592152798044
LGR,LS8,nir,0.24334285714285717,0.005801020318417604,0.24222483552088372,0.03011578027975272
LGR,LS8,swir1,0.31657551020408164,0.00472036537033816,0.32209836697324384,0.03558550116586974
LGR,LS8,swir2,0.25386530612244895,0.003563164783396354,0.2680289763522436,0.03107535420155042
LKG,LS8,CA,0.09743333333333334,0.007819008178080445,0.09216248340501672,0.006562058556914574
LKG,LS8,blue,0.10161666666666666,0.009124000706317865,0.10268305177027964,0.0074009654771464055
LKG,LS8,green,0.11995,0.01155969290249529,0.11893687068187075,0.008799787133424355
LKG,LS8,red,0.13921,0.013926936729470221,0.1331843493528773,0.010051010931727557
LKG,LS8,nir,0.19708333333333333,0.019050548256910847,0.19179098480047618,0.014051150501877462
LKG,LS8,swir1,0.29613333333333336,0.02592539724328679,0.2916550612028908,0.018860375207334936
LKG,LS8,swir2,0.25521,0.024662716125087816,0.2545550360630672,0.018307509180158932
LGR,LS8,CA,0.07881836734693877,0.0012136424295025614,0.07364134245294049,0.008103338938032525
LGR,LS8,blue,0.08688571428571429,0.0017037773161000655,0.09210072350145797,0.010650484931265657
LGR,LS8,green,0.13546122448979592,0.0026731328655626658,0.1439970944375054,0.016247017955098947
LGR,LS8,red,0.18153877551020406,0.0035644970636755013,0.19009833873200102,0.021250707346347257
LGR,LS8,nir,0.2513836734693878,0.006368556269249904,0.26021256297357215,0.028333746802262774
LGR,LS8,swir1,0.32006734693877553,0.005301535694152043,0.3382783741661076,0.034268039763828265
LGR,LS8,swir2,0.25687755102040816,0.0037495178087878613,0.27898064182553073,0.030872886373062913
LLF,LS8,CA,0.32318214285714286,0.03470353577674994,0.32937202536286464,0.01904027073931418
LLF,LS8,blue,0.32598928571428576,0.03576037650894107,0.34496509507940787,0.019274976069082253
LLF,LS8,green,0.41829285714285713,0.040615904947371016,0.4229698251966996,0.0215232267397208
LLF,LS8,red,0.5151214285714285,0.04011084514142258,0.49675744989969606,0.02202728192438452
LLF,LS8,nir,0.5190678571428572,0.040354788648148496,0.49394280522301826,0.020616427067457626
LLF,LS8,swir1,0.1406892857142857,0.0256474217485294,0.12531798874571665,0.02443466577138612
LLF,LS8,swir2,0.06497142857142857,0.012642540351156181,0.06005964279022221,0.012177441323130672
NRB,LS8,CA,0.044430555555555556,0.00697072527090755,0.028009856815057556,0.006940395739592215
NRB,LS8,blue,0.041986111111111106,0.007641849426305191,0.03303587762597304,0.0088953306878305
NRB,LS8,green,0.07493055555555556,0.006936330259520217,0.06773765462513255,0.011888500613637198
NRB,LS8,red,0.06460833333333334,0.013520506544587087,0.05062093085284049,0.01779875428524723
NRB,LS8,nir,0.40651666666666664,0.04309978409329783,0.43343131989894307,0.04260021897599827
NRB,LS8,swir1,0.2442527777777778,0.012526870809741379,0.2551930816592508,0.027606775784769458
NRB,LS8,swir2,0.129575,0.015382825470128836,0.12336205332684094,0.021979763141412076
PIN,LS8,CA,0.1795,0.015333867744310305,0.1818488019473484,0.012938968847363886
PIN,LS8,blue,0.2168296875,0.019417965905375974,0.22905569498646627,0.015948670527055342
PIN,LS8,green,0.4284296875,0.02991645491869556,0.4528253837811127,0.02768219617170308
PIN,LS8,red,0.5573703125,0.038612743523380254,0.5689509368011149,0.03390104774305208
PIN,LS8,nir,0.652753125,0.05011957255139328,0.6424104093241838,0.037486905977450614
PIN,LS8,swir1,0.7332375,0.05100474702172338,0.7379055918413515,0.04152371699136395
PIN,LS8,swir2,0.5885390625,0.035023124580355385,0.6016942145688228,0.03667791565923689
PIN,LS8,CA,0.17546190476190476,0.01270063651162624,0.17829882699098298,0.012506005109617899
PIN,LS8,blue,0.21181190476190476,0.01593796310073698,0.22388906341212203,0.015353463262258461
PIN,LS8,green,0.4233333333333333,0.02503971765650444,0.43988835117328884,0.026370867018386795
PIN,LS8,red,0.5514476190476191,0.03270867249271709,0.5520857863220969,0.03282871586553593
PIN,LS8,nir,0.6439833333333334,0.04179560193692443,0.6229229171502804,0.036627533162204656
PIN,LS8,swir1,0.7260833333333333,0.0425881937399527,0.7144432750833043,0.041028148965200475
PIN,LS8,swir2,0.5859571428571428,0.02967578893609388,0.5825361511315676,0.03671261651432017
PIN,LS8,CA,0.17073061224489794,0.0148648085180475,0.16695112596008518,0.009784265023875863
PIN,LS8,blue,0.2035142857142857,0.017511745329629368,0.2086389771120948,0.011580049032687162
PIN,LS8,green,0.40094693877551024,0.020263610714784597,0.4114067196422101,0.017500200158327164
PIN,LS8,red,0.5217061224489795,0.02314969394749221,0.5219816829244647,0.021510579407800136
PIN,LS8,nir,0.6191040816326531,0.03037214727804161,0.6060107267046674,0.024144081346203623
PIN,LS8,swir1,0.6985510204081633,0.02651396337895955,0.6978105641751625,0.028175746455601038
PIN,LS8,swir2,0.5428102040816327,0.014842234895494832,0.5803207826148122,0.02571201707684886
PIN,LS8,CA,0.1956595238095238,0.0069077271957813935,0.176022665350289,0.01617994846122609
PIN,LS8,blue,0.22581190476190477,0.007816685522800458,0.2150636834031107,0.01777306669931592
PIN,LS8,green,0.3839190476190476,0.006741705241937014,0.3642580058111321,0.014295810309456952
PIN,LS8,red,0.4861166666666667,0.007712726547314561,0.45419422817988464,0.014909238982923878
PIN,LS8,nir,0.5989857142857143,0.009763332067548685,0.5582808229561306,0.018411870858567443
PIN,LS8,swir1,0.6391857142857144,0.010042305071867843,0.6053768137459813,0.018937872075033627
PIN,LS8,swir2,0.46685952380952384,0.00798340718299105,0.4485379142501128,0.018849950278884624
WIN,LS8,CA,0.15515102040816328,0.017568572618648515,0.16599058074069759,0.019157840573661086
WIN,LS8,blue,0.17154489795918365,0.019651754465212928,0.19537097398901396,0.021221598181956677
WIN,LS8,green,0.2572122448979592,0.02174075109617281,0.29057616354579135,0.02364511382363452
WIN,LS8,red,0.37252857142857143,0.026951975430232138,0.41652092552040654,0.028016134587683397
WIN,LS8,nir,0.4413836734693878,0.03166672976896612,0.482350361912838,0.03382367071681966
WIN,LS8,swir1,0.5657673469387755,0.03612593272720091,0.6243460516622583,0.03343120229159503
WIN,LS8,swir2,0.46227551020408164,0.027644607036618907,0.5331449787862839,0.026087069153124916
WIN,LS8,CA,0.17677857142857142,0.00841349640569885,0.18390605143027647,0.012250830051505441
WIN,LS8,blue,0.19940952380952381,0.008213021296749551,0.21762668449110767,0.013710941439101964
WIN,LS8,green,0.31876190476190475,0.009555351339905035,0.3368673985818216,0.016838156582619394
WIN,LS8,red,0.4561976190476191,0.0166703113361854,0.471681144207676,0.019718207985029674
WIN,LS8,nir,0.5166714285714286,0.01999488369932818,0.5196137672374943,0.02291391076529377
WIN,LS8,swir1,0.6601523809523809,0.019946944366723465,0.6677213920339955,0.0213281443350691
WIN,LS8,swir2,0.5780142857142857,0.022625697268167193,0.5950520402110252,0.016888027410056208
