"Device Name","WEATHER - 2199005",,,,,,,,,,,,,,
"Device Model","KESTREL_5500L",,,,,,,,,,,,,,
"Serial Number","2199005",,,,,,,,,,,,,,
"FORMATTED DATE_TIME","Barometric Pressure","Crosswind","Dew Point","Temperature","Direction - True","Wind Speed","Station Pressure","Relative Humidity","Heat Stress Index","Direction - Mag","Headwind","Density Altitude","Altitude","Psychro Wet Bulb Temperature","Wind Chill"
"YYYY-MM-DD HH:MM:SS","mb","mps","°C","°C","°","mps","mb","%","°C","°","mps","m","m","°C","°C"
"2021-11-14 10:48:26","994.9","0.2","7.8","25.9","163","0.7","994.9","31.6","24.1","162","-0.6","616","152","15.2","25.9"
"2021-11-14 10:48:28","994.2","0.2","7.6","25.9","161","0.6","994.3","31.3","24.0","160","-0.6","619","157","15.1","25.8"
"2021-11-14 10:48:30","994.2","0.2","7.4","25.8","160","0.6","994.2","31.1","23.9","160","-0.6","617","158","15.1","25.7"
"2021-11-14 10:48:32","994.2","0.3","7.3","25.7","160","0.9","994.2","30.9","23.9","160","-0.9","616","157","15.0","25.7"
"2021-11-14 10:48:34","994.2","0.2","7.2","25.7","160","0.7","994.2","30.8","23.9","160","-0.7","616","158","15.0","25.7"
"2021-11-14 10:48:36","994.2","0.3","7.1","25.7","160","0.7","994.2","30.6","23.9","159","-0.7","614","157","14.9","25.7"
"2021-11-14 10:48:38","994.5","0.2","7.1","25.8","160","0.7","994.6","30.5","23.9","159","-0.6","612","155","14.9","25.7"
"2021-11-14 10:48:40","994.2","0.3","7.1","25.8","160","0.8","994.3","30.4","23.9","159","-0.7","613","157","14.9","25.7"
"2021-11-14 10:48:42","994.7","0.3","7.1","25.8","160","0.7","994.7","30.3","24.0","159","-0.7","613","154","14.9","25.8"
"2021-11-14 10:48:44","994.4","0.2","7.1","25.9","159","0.6","994.4","30.2","24.1","159","-0.6","619","156","15.0","25.9"
"2021-11-14 10:48:46","994.2","0.3","7.0","25.8","159","0.9","994.2","30.2","24.0","159","-0.9","618","158","15.0","25.8"
"2021-11-14 10:48:48","994.2","0.3","7.0","25.8","159","0.8","994.2","30.1","24.0","158","-0.7","617","158","14.9","25.8"
"2021-11-14 10:48:50","994.0","0.2","7.0","25.9","173","0.7","994.0","30.1","24.0","172","-0.7","621","160","14.9","25.8"
"2021-11-14 10:48:52","993.9","0.1","7.0","25.9","161","1.1","993.9","30.1","24.1","160","-1.1","623","160","14.9","25.9"
"2021-11-14 10:48:54","994.0","1.6","6.7","25.5","147","3.4","994.1","30.0","23.6","146","-3.0","606","159","14.7","25.5"
"2021-11-14 10:48:56","994.5","1.3","6.1","25.0","156","3.8","994.5","29.8","23.0","156","-3.5","582","155","14.2","24.9"
"2021-11-14 10:48:58","994.5","1.4","5.5","24.5","159","3.8","994.5","29.4","22.5","158","-3.6","563","155","13.8","24.4"
"2021-11-14 10:49:00","994.2","1.3","5.0","24.1","167","4.0","994.3","29.1","22.2","167","-3.8","551","157","13.4","24.0"
"2021-11-14 10:49:02","994.2","0.9","4.5","23.7","168","4.5","994.3","28.8","21.9","167","-4.4","537","157","13.1","23.7"
"2021-11-14 10:49:04","994.2","1.8","4.0","23.3","156","4.9","994.3","28.5","21.6","156","-4.5","522","157","12.8","23.3"
"2021-11-14 10:49:06","994.2","1.8","3.7","23.1","160","5.1","994.3","28.2","21.4","159","-4.7","516","157","12.6","23.1"
"2021-11-14 10:49:08","994.2","1.3","3.6","23.1","158","4.5","994.3","27.9","21.4","158","-4.4","515","157","12.6","23.1"
"2021-11-14 10:49:10","994.2","1.0","3.4","22.9","167","4.7","994.3","27.8","21.2","167","-4.6","509","157","12.5","22.9"
