Wavelength,29DEC18
350,0.02920894702216794
351,0.029112068112539836
352,0.02880720113505191
353,0.028720216840592817
354,0.02910236051040299
355,0.02917474516531253
356,0.029245699823183688
357,0.029308176846691066
358,0.02917736170915569
359,0.02932395259777257
360,0.02949827571272764
361,0.0294397083873167
362,0.029581305197899685
363,0.029627936647904547
364,0.029797704209761813
365,0.029966964212990076
366,0.030012444269630713
367,0.030066161064325414
368,0.03010795496839988
369,0.03027393871442051
370,0.030381883420052415
371,0.030457243443603996
372,0.030574342936622485
373,0.03065542571493738
374,0.030812755206160752
375,0.0310066693597585
376,0.03122770610296771
377,0.03137749592792874
378,0.03155575854450768
379,0.03167861646043737
380,0.03191097543754343
381,0.03202809996667559
382,0.032302204241207846
383,0.032561145966221616
384,0.03274427396125887
385,0.032918817896823216
386,0.03323923836876137
387,0.033552846689294126
388,0.03382515146607233
389,0.03408171914599874
390,0.03433450422359205
391,0.03461336015838215
392,0.03486473298911322
393,0.03517199668533892
394,0.035546634968371155
395,0.03591441871230029
396,0.036275186215288524
397,0.03656970991374736
398,0.036935549527706155
399,0.03723812478126034
400,0.03757283053502664
401,0.0378864479723111
402,0.03819625364582791
403,0.03854235221472757
404,0.03889034393195329
405,0.03919251225975674
406,0.03959111615816546
407,0.039999910616748915
408,0.04040213584978058
409,0.04080680461971194
410,0.04122230270414074
411,0.0416173353173652
412,0.042016693210012904
413,0.042438289245501845
414,0.04286287507565287
415,0.04324194702350282
416,0.04364023732739096
417,0.043986288950560344
418,0.04433856955511732
419,0.04471870683694918
420,0.04505287504555915
421,0.04543223693490063
422,0.04580952573776899
423,0.04614438179408638
424,0.046446538911846955
425,0.04679307637694736
426,0.047118446267053984
427,0.047441252516811576
428,0.04779039842018131
429,0.048133124448038564
430,0.048481701869958954
431,0.048812936255767964
432,0.04909618926225177
433,0.049413431887580406
434,0.04971369008568838
435,0.05000404220589982
436,0.050315042703432775
437,0.05059226233845361
438,0.05082729706905177
439,0.051038488623320874
440,0.05123566834460827
441,0.05148023482811514
442,0.051744425316661014
443,0.051987577869204944
444,0.052216061051098966
445,0.05243100605313554
446,0.05265304523309586
447,0.05291269212358239
448,0.05319222890076406
449,0.053450692967712835
450,0.05369745912152933
451,0.05396187186056404
452,0.054170802976777746
453,0.05438673172066601
454,0.05460956553972883
455,0.05485531141967649
456,0.055138794531478255
457,0.05539002366780649
458,0.055591158195575446
459,0.05579509086519181
460,0.055982518289425964
461,0.05614470121350815
462,0.05633993225635084
463,0.056546019220699795
464,0.05676785869668077
465,0.05695538768781755
466,0.05715386545448601
467,0.05734151914914763
468,0.057576249445258354
469,0.05782497991519962
470,0.05804398652752098
471,0.05828022005636675
472,0.05847701312123613
473,0.05866082589300675
474,0.05883587168542643
475,0.05902546188545019
476,0.059242594739720586
477,0.05942294654622267
478,0.05956582628366727
479,0.05974205881645681
480,0.05992754006223833
481,0.06012549196218383
482,0.06030677867776711
483,0.0605171368165644
484,0.06074219025833367
485,0.0609662974738762
486,0.06119030825970663
487,0.06142270689932247
488,0.06163436951520562
489,0.06183779159309972
490,0.06206215979484849
491,0.0623134791460534
492,0.0625557864721022
493,0.06279664655400477
494,0.06304124928256194
495,0.06330550620480672
496,0.06357318290227768
497,0.06383967409457827
498,0.06411888488958642
499,0.06441178171404285
500,0.0647142429034029
501,0.06504119774898734
502,0.06540009022756224
503,0.06577393591479451
504,0.06615777674999157
505,0.06658755137513366
506,0.06702367889558694
507,0.06745723937494176
508,0.06792531696045395
509,0.06835916690048052
510,0.0687955423502017
511,0.06931309608718794
512,0.06988370471974646
513,0.07049667152652767
514,0.0711296290444343
515,0.07188555926187393
516,0.07267846163510208
517,0.07358014554691075
518,0.07427189390889138
519,0.07494022302707026
520,0.07567780366730596
521,0.07650319266999966
522,0.07720175348384516
523,0.07790001479084341
524,0.07856339051090994
525,0.07937006804805447
526,0.08016289091844095
527,0.08092773960637975
528,0.08159952269210277
529,0.08240129623428202
530,0.08312855549228104
531,0.08381236925863225
532,0.08453332513754495
533,0.08522652149473889
534,0.08584690260145124
535,0.08643025009019616
536,0.08697450790722326
537,0.08750808942317133
538,0.0880168070235976
539,0.08849786960512102
540,0.0889556132376301
541,0.08941558392758092
542,0.08985589938596164
543,0.09030479030044117
544,0.09073095143826182
545,0.09113475161420895
546,0.09153651820015996
547,0.09194274781473832
548,0.09233797445078076
549,0.09269493011649373
550,0.0930294582231202
551,0.09335177431375691
552,0.09363150018267732
553,0.09387797098992028
554,0.09410343892466673
555,0.09426013802289232
556,0.09442213046034575
557,0.09448076463589077
558,0.09451149049521657
559,0.09451032942105991
560,0.09449492599883194
561,0.09453179761879787
562,0.09444432591899057
563,0.09432720260324298
564,0.09429864668380905
565,0.09421203405351525
566,0.09420229091561058
567,0.09395219248947359
568,0.09400235684658463
569,0.09403317964193396
570,0.09385133664538331
571,0.09366974013454465
572,0.09349880551194803
573,0.09334230038035383
574,0.09325562487041901
575,0.09318765712217814
576,0.09314511224587635
577,0.09311823763715169
578,0.09307111354080963
579,0.09293289624938458
