Wavelength,29MAY18
350,0.036413827781995485
351,0.036470210739005866
352,0.03660035831796868
353,0.03632422409018542
354,0.03618162008980168
355,0.036520113714094304
356,0.03653985808379162
357,0.03653404346083547
358,0.036551292400357635
359,0.03620817568306977
360,0.03634893734515521
361,0.036524671376758855
362,0.03658818140435112
363,0.03662318711777937
364,0.036848551362879775
365,0.03698566358904755
366,0.03708605288651427
367,0.03707527694989862
368,0.03721951547875732
369,0.03734755074138148
370,0.0374895783767457
371,0.03762644704030313
372,0.03774706658290135
373,0.037956369783749444
374,0.03830175642224954
375,0.03853719515110745
376,0.03878402574460774
377,0.03894551059034022
378,0.039075136714084024
379,0.039397415249551114
380,0.03972379967708111
381,0.04011581878578896
382,0.04047243653595316
383,0.040781826836541975
384,0.041039459584681734
385,0.041422757379537295
386,0.041790235225556936
387,0.04214815415147645
388,0.04236686416294644
389,0.04266833616513499
390,0.043151770033326375
391,0.04361220921091309
392,0.04386945583630415
393,0.04417796003668953
394,0.04469380599978483
395,0.045179082772800555
396,0.0454701487253897
397,0.04583565693600258
398,0.046140463298172396
399,0.04635596227418698
400,0.04689100710702421
401,0.047261499023802625
402,0.04755939077832856
403,0.04800153824187647
404,0.04835412254712563
405,0.048695225168415374
406,0.049071863911689995
407,0.04960779551500723
408,0.0501092823404062
409,0.050633824541578776
410,0.051106267968020494
411,0.05157548009118569
412,0.05214437237871879
413,0.052694251828760696
414,0.05322081509951921
415,0.053608039827874335
416,0.05408401030590168
417,0.05470405916583057
418,0.0552397554783199
419,0.05575979750452092
420,0.056342864328176895
421,0.056956532313157435
422,0.057475409870447636
423,0.05805763876679355
424,0.05856018875094457
425,0.05915141902929335
426,0.059660731034221565
427,0.06043368578329512
428,0.06105482955117124
429,0.06168839670512967
430,0.062327078114126876
431,0.06296424591463427
432,0.06354570764657336
433,0.06416156509587331
434,0.06480946539229916
435,0.06547027413417011
436,0.06609338903372111
437,0.0667729695388386
438,0.0673176880562956
439,0.0677975661536486
440,0.06833547797697778
441,0.0689090058915154
442,0.06947667640947155
443,0.07001681631702679
444,0.07052810946478029
445,0.07105097695263662
446,0.07155252748035773
447,0.07204180554486604
448,0.07251277052724633
449,0.07300097280412032
450,0.0735291511307653
451,0.07398227770269616
452,0.07443658900579844
453,0.07487439740682231
454,0.07528943811047417
455,0.07568559150953023
456,0.0761157690102186
457,0.0765426088365509
458,0.07692518288581672
459,0.07729260561194891
460,0.0776703266484392
461,0.07801962609461144
462,0.07835388625256173
463,0.07872795967457043
464,0.079108380927222
465,0.07951018840026425
466,0.0799176473905168
467,0.08031052381891393
468,0.08064247963324991
469,0.08089643459219573
470,0.08128209367250686
471,0.0816468616891371
472,0.08201960658818366
473,0.08244259276114504
474,0.08280435009493126
475,0.08318664411560293
476,0.08358202977894191
477,0.08399233448903032
478,0.08438722511540435
479,0.08477470741185744
480,0.08516839595380889
481,0.08559375099073471
482,0.08601050408669406
483,0.08642287062649964
484,0.08690672905623015
485,0.08742465615606887
486,0.08793999524026017
487,0.08839357458813848
488,0.0888905152483408
489,0.08938698762522973
490,0.08993627889812446
491,0.09051493515404004
492,0.09104586667293105
493,0.0915534557624628
494,0.09206844324733426
495,0.09261410287578345
496,0.09320993044510975
497,0.0937706299982975
498,0.09428347752830296
499,0.09481476457275367
500,0.0953650323251522
501,0.09593431571501912
502,0.09650291439739682
503,0.09708495815121077
504,0.0976415198307975
505,0.0982267509895956
506,0.098778390777846
507,0.09933930625700159
508,0.09995672831027709
509,0.10057418934396534
510,0.10116263610729301
511,0.10174484865084946
512,0.10236962866381015
513,0.10301932662664628
514,0.10365972275280678
515,0.10427417575098018
