Wavelength,28NOV18
350,0.06696377279968722
351,0.0673061794111954
352,0.06786729640525348
353,0.06832368761067052
354,0.06879660967200514
355,0.06927130313194516
356,0.06973965708837929
357,0.0702367808581896
358,0.07082022519470446
359,0.07133422292480295
360,0.07193887774566105
361,0.07264111758771505
362,0.07329268734199218
363,0.07401891587711022
364,0.07472750153281016
365,0.07539288425052201
366,0.07617158906923766
367,0.07695727652842417
368,0.07779681454058368
369,0.0787234330667316
370,0.07965999114510824
371,0.08072566425007217
372,0.08176449669614946
373,0.08286308587567916
374,0.08403305353772846
375,0.08525294511258799
376,0.08641072662079184
377,0.08775903650023069
378,0.08911131800254526
379,0.09046120493357865
380,0.09185106312009392
381,0.09336134183434627
382,0.09485597704981814
383,0.0964058864928744
384,0.09813919641858977
385,0.09981013212557985
386,0.10147025357227887
387,0.10316720789235029
388,0.10474987194543063
389,0.10642734824631285
390,0.10803510509010268
391,0.10962306776497863
392,0.11131543567442674
393,0.11301854213062451
394,0.1146938337574356
395,0.11632473947997778
396,0.11791176319639685
397,0.11939905960459218
398,0.12077811734750682
399,0.12209318185513485
400,0.12335778542206696
401,0.12455081779473053
402,0.12569369157260635
403,0.12691323061260246
404,0.12813636073718215
405,0.12940447776073685
406,0.1307767270806223
407,0.13216387728618442
408,0.13361909310949047
409,0.1351067263501497
410,0.13650408077379741
411,0.13796003421191783
412,0.13946007170781163
413,0.14097029054738996
414,0.14248850642052094
415,0.14403872899649092
416,0.14562113628369125
417,0.14723668363347994
418,0.1489536190218554
419,0.15061584402974548
420,0.1523330506339134
421,0.1541018464077063
422,0.1558806130848877
423,0.1576664477463931
424,0.15950495135002785
425,0.16155149901528879
426,0.16360801256920524
427,0.16575345832761332
428,0.1680453941198465
429,0.1704561160454526
430,0.17290570579083792
431,0.1753401717269208
432,0.17774753708475483
433,0.18011522467837626
434,0.1824233655754168
435,0.1845643688568902
436,0.1866631210094315
437,0.1887405585890949
438,0.19079518481369814
439,0.19285486055676945
440,0.1948319517929411
441,0.19674529795027593
442,0.19849384159838784
443,0.20001630540577237
444,0.20157288522190578
445,0.2030411176669499
446,0.20437505300776804
447,0.2056132276800571
448,0.20673917805330183
449,0.207758696569721
450,0.20869463297704638
451,0.20953324901310147
452,0.21029211427939423
453,0.2109828759733627
454,0.21159334326964954
455,0.2121529850726044
456,0.21271246112915254
457,0.21320766539313565
458,0.21366930226374603
459,0.21408428551495443
460,0.21448024425329085
461,0.21492212094052854
462,0.2153226186489598
463,0.21570734609059647
464,0.21613268375775846
465,0.21657524003948334
466,0.21705978470360657
467,0.21758479210770987
468,0.21813798920889688
469,0.2187595789958662
470,0.2194800840455225
471,0.22026614568645614
472,0.22106965735669762
473,0.2219503631475136
474,0.22289645027195018
475,0.22389227328658162
476,0.22498477520166285
477,0.22615855467483867
478,0.2273990320239575
479,0.2286933386002419
480,0.23000881555701425
481,0.23138438291652025
482,0.23284808029923082
483,0.23437060384733566
484,0.23601459515371548
485,0.23778791431210144
486,0.23967163237280142
487,0.2416529954248658
488,0.24366721959467835
489,0.24567513979698274
490,0.24768567050340035
491,0.24986673672788107
492,0.25211921179787217
493,0.254354741166856
494,0.256482414722676
495,0.2586225621231306
496,0.26078307056960254
497,0.2630850947195557
498,0.26561515344804804
499,0.26818399883381183
500,0.27079376093550583
501,0.27329036715398236
502,0.27557091941014644
503,0.27800579455894503
504,0.28056557953114547
505,0.2830971975396295
506,0.2856224536411205
507,0.28809728596463685
508,0.29043353525384613
509,0.29274563684356797
510,0.2950523366013523
511,0.2973266685213582
512,0.29965170697122234
513,0.30210384278987096
514,0.30458501927857373
515,0.307010123802709
516,0.30952555768431583
517,0.3120250174393038
518,0.3145867350154858
519,0.3170348942909907
520,0.31943273914624687
