University Queensland
Serial Number: SRT#05 99AA01-1013-7242
Comments: From Jason Barnetson for L8/9 Underfly


Wavelength	 K-factor
350	 0.821
351	 0.823
352	 0.824
353	 0.826
354	 0.828
355	 0.829
356	 0.831
357	 0.833
358	 0.834
359	 0.836
360	 0.837
361	 0.839
362	 0.841
363	 0.842
364	 0.844
365	 0.846
366	 0.847
367	 0.849
368	 0.85
369	 0.852
370	 0.854
371	 0.855
372	 0.857
373	 0.858
374	 0.86
375	 0.861
376	 0.863
377	 0.864
378	 0.866
379	 0.867
380	 0.869
381	 0.87
382	 0.872
383	 0.873
384	 0.875
385	 0.876
386	 0.878
387	 0.879
388	 0.88
389	 0.882
390	 0.883
391	 0.885
392	 0.886
393	 0.887
394	 0.888
395	 0.89
396	 0.891
397	 0.892
398	 0.894
399	 0.895
400	 0.896
401	 0.897
402	 0.898
403	 0.9
404	 0.901
405	 0.902
406	 0.903
407	 0.904
408	 0.905
409	 0.906
410	 0.907
411	 0.908
412	 0.909
413	 0.91
414	 0.911
415	 0.912
416	 0.913
417	 0.914
418	 0.915
419	 0.916
420	 0.917
421	 0.918
422	 0.918
423	 0.919
424	 0.92
425	 0.921
426	 0.922
427	 0.923
428	 0.923
429	 0.924
430	 0.925
431	 0.926
432	 0.926
433	 0.927
434	 0.928
435	 0.928
436	 0.929
437	 0.93
438	 0.931
439	 0.931
440	 0.932
441	 0.932
442	 0.933
443	 0.934
444	 0.934
445	 0.935
446	 0.936
447	 0.936
448	 0.937
449	 0.937
450	 0.938
451	 0.938
452	 0.939
453	 0.94
454	 0.94
455	 0.941
456	 0.941
457	 0.942
458	 0.942
459	 0.943
460	 0.943
461	 0.944
462	 0.944
463	 0.945
464	 0.945
465	 0.946
466	 0.946
467	 0.946
468	 0.947
469	 0.947
470	 0.948
471	 0.948
472	 0.949
473	 0.949
474	 0.949
475	 0.95
476	 0.95
477	 0.951
478	 0.951
479	 0.951
480	 0.952
481	 0.952
482	 0.952
483	 0.953
484	 0.953
485	 0.954
486	 0.954
487	 0.954
488	 0.955
489	 0.955
490	 0.955
491	 0.956
492	 0.956
493	 0.956
494	 0.956
495	 0.957
496	 0.957
497	 0.957
498	 0.958
499	 0.958
500	 0.958
501	 0.959
502	 0.959
503	 0.959
504	 0.959
505	 0.96
506	 0.96
507	 0.96
508	 0.96
509	 0.961
510	 0.961
511	 0.961
512	 0.961
513	 0.962
514	 0.962
515	 0.962
516	 0.962
517	 0.963
518	 0.963
519	 0.963
520	 0.963
521	 0.963
522	 0.964
523	 0.964
524	 0.964
525	 0.964
526	 0.964
527	 0.965
528	 0.965
529	 0.965
530	 0.965
531	 0.965
532	 0.966
533	 0.966
534	 0.966
535	 0.966
536	 0.966
537	 0.966
538	 0.967
539	 0.967
540	 0.967
541	 0.967
542	 0.967
