CSIRO WA	
Serial Number : Labsphere srt3 10"	
Comments : Un. of Ariz 2018	
	

Wavelength	K-factor
350	0.9844
351	0.9844844
352	0.984568765
353	0.984653061
354	0.984737254
355	0.984821308
356	0.984905189
357	0.984988863
358	0.985072295
359	0.98515545
360	0.985238294
361	0.985320793
362	0.985402911
363	0.985484614
364	0.985565868
365	0.985646637
366	0.985726888
367	0.985806586
368	0.985885696
369	0.985964184
370	0.986042015
371	0.986119154
372	0.986195568
373	0.986271221
374	0.986346078
375	0.986420106
376	0.986493269
377	0.986565534
378	0.986636865
379	0.986707228
380	0.986776589
381	0.986844912
382	0.986912163
383	0.986978308
384	0.987043312
385	0.987107141
386	0.987169759
387	0.987231133
388	0.987291228
389	0.987350009
390	0.987407441
391	0.987463491
392	0.987518123
393	0.987571303
394	0.987622996
395	0.987673168
396	0.987721785
397	0.98776881
398	0.987814211
399	0.987857953
400	0.9879
401	0.987940332
402	0.987978984
403	0.988016003
404	0.988051438
405	0.988085336
406	0.988117746
407	0.988148716
408	0.988178294
409	0.988206527
410	0.988233464
411	0.988259154
412	0.988283643
413	0.988306981
414	0.988329214
415	0.988350392
416	0.988370563
417	0.988389773
418	0.988408073
419	0.988425508
420	0.988442129
421	0.988457982
422	0.988473115
423	0.988487578
424	0.988501418
425	0.988514682
426	0.988527419
427	0.988539678
428	0.988551506
429	0.988562951
430	0.988574061
431	0.988584884
432	0.988595469
433	0.988605864
434	0.988616116
435	0.988626274
436	0.988636385
437	0.988646498
438	0.988656661
439	0.988666922
440	0.988677329
441	0.988687929
442	0.988698772
443	0.988709906
444	0.988721377
445	0.988733235
446	0.988745527
447	0.988758301
448	0.988771606
449	0.98878549
450	0.9888
451	0.988815174
452	0.988831004
453	0.988847472
454	0.988864559
455	0.988882246
456	0.988900516
457	0.98891935
458	0.988938729
459	0.988958635
460	0.988979048
461	0.988999952
462	0.989021327
463	0.989043155
464	0.989065416
465	0.989088094
466	0.989111169
467	0.989134622
468	0.989158436
469	0.989182592
470	0.989207071
471	0.989231854
472	0.989256924
473	0.989282262
474	0.989307848
475	0.989333666
476	0.989359696
477	0.98938592
478	0.989412319
479	0.989438874
480	0.989465568
481	0.989492382
482	0.989519297
483	0.989546295
484	0.989573357
485	0.989600465
486	0.9896276
487	0.989654744
488	0.989681879
489	0.989708985
490	0.989736044
491	0.989763038
492	0.989789949
493	0.989816757
494	0.989843445
495	0.989869993
496	0.989896384
497	0.989922598
498	0.989948618
499	0.989974425
500	0.99
501	0.990025327
502	0.990050402
503	0.99007522
504	0.99009978
505	0.990124078
506	0.990148111
507	0.990171877
508	0.990195373
509	0.990218595
510	0.990241542
511	0.990264209
512	0.990286595
513	0.990308696
514	0.990330509
515	0.990352032
516	0.990373262
517	0.990394195
518	0.990414829
519	0.990435162
520	0.990455189
521	0.990474909
522	0.990494318
523	0.990513414
524	0.990532194
525	0.990550654
526	0.990568792
527	0.990586605
528	0.99060409
529	0.990621245
530	0.990638066
531	0.990654551
532	0.990670696
533	0.990686499
534	0.990701956
535	0.990717066
536	0.990731825
537	0.990746231
538	0.990760279
539	0.990773968
540	0.990787295
541	0.990800257
542	0.99081285
543	0.990825072
544	0.990836921
545	0.990848393
546	0.990859485
547	0.990870195
548	0.990880519
549	0.990890455
550	0.9909
551	0.990909152
