day,rain
-45289,
-45288,
-45287,
-45286,
-45285,
-45284,
-45283,
-45282,
-45281,
-45280,
-45279,
-45278,
-45277,
-45276,
-45275,
-45274,
-45273,
-45272,
-45271,
-45270,
-45269,
-45268,
-45267,
-45266,
-45265,
-45264,
-45263,
-45262,
-45261,
-45260,
-45259,
-45258,
-45257,
-45256,
-45255,
-45254,
-45253,
-45252,
-45251,
-45250,
-45249,
-45248,
-45247,
-45246,
-45245,
-45244,
-45243,
-45242,
-45241,
-45240,
-45239,
-45238,
-45237,
-45236,
-45235,
-45234,
-45233,
-45232,
-45231,
-45230,
-45229,
-45228,
-45227,
-45226,
-45225,
-45224,
-45223,
-45222,
-45221,
-45220,
-45219,
-45218,
-45217,
-45216,
-45215,
-45214,
-45213,
-45212,
-45211,
-45210,
-45209,
-45208,
-45207,
-45206,
-45205,
-45204,
-45203,
-45202,
-45201,
-45200,
-45199,0.0
-45198,0.0
-45197,0.0
-45196,0.0
-45195,0.0
-45194,0.0
-45193,0.0
-45192,0.0
-45191,0.0
-45190,2.8
-45189,0.0
-45188,0.0
-45187,0.0
-45186,0.0
-45185,1.3
-45184,1.8
-45183,0.0
-45182,0.0
-45181,31.0
-45180,49.8
-45179,0.0
-45178,0.0
-45177,0.0
-45176,0.0
-45175,0.0
-45174,0.5
-45173,0.0
-45172,0.0
-45171,0.0
-45170,1.8
-45169,0.8
-45168,0.0
-45167,0.0
-45166,0.0
-45165,0.0
-45164,0.0
-45163,0.0
-45162,0.0
-45161,0.0
-45160,10.2
-45159,0.0
-45158,0.0
-45157,0.0
-45156,0.0
-45155,1.3
-45154,0.0
-45153,0.0
-45152,0.0
-45151,1.3
-45150,4.1
-45149,0.0
-45148,0.0
-45147,0.0
-45146,0.0
-45145,0.0
-45144,7.9
-45143,0.0
-45142,0.0
-45141,0.0
-45140,0.0
-45139,0.0
-45138,3.3
-45137,0.0
-45136,0.0
-45135,0.0
-45134,0.8
-45133,4.6
-45132,14.0
-45131,0.0
-45130,0.0
-45129,0.0
-45128,0.0
-45127,0.0
-45126,0.0
-45125,0.0
-45124,0.0
-45123,0.0
-45122,0.0
-45121,0.0
-45120,0.0
-45119,0.0
-45118,0.0
-45117,2.3
-45116,4.6
-45115,4.6
-45114,0.0
-45113,0.0
-45112,0.0
-45111,0.0
-45110,0.0
-45109,0.0
-45108,0.0
-45107,0.0
-45106,0.0
-45105,0.0
-45104,0.0
-45103,0.0
-45102,0.0
-45101,0.0
-45100,0.8
-45099,3.0
-45098,0.0
-45097,0.0
-45096,0.0
-45095,0.0
-45094,1.0
-45093,0.0
-45092,0.0
-45091,0.0
-45090,1.0
-45089,0.0
-45088,0.0
-45087,0.0
-45086,25.9
-45085,3.8
-45084,0.0
-45083,0.0
-45082,0.0
-45081,0.0
-45080,0.0
-45079,0.3
-45078,0.3
-45077,0.0
-45076,0.0
-45075,0.0
-45074,0.0
-45073,0.0
-45072,0.0
-45071,0.0
-45070,0.0
-45069,0.0
-45068,0.0
-45067,0.0
-45066,0.0
-45065,0.0
-45064,0.0
-45063,0.0
-45062,0.0
-45061,0.0
-45060,2.3
-45059,4.8
-45058,8.9
-45057,0.3
-45056,1.5
-45055,1.5
-45054,0.0
-45053,0.0
-45052,0.0
-45051,16.3
-45050,0.0
-45049,0.0
-45048,0.0
-45047,0.3
-45046,35.6
-45045,19.6
-45044,25.4
-45043,45.0
-45042,44.5
-45041,0.0
-45040,16.0
-45039,0.0
-45038,2.8
-45037,1.0
-45036,0.0
-45035,0.0
-45034,0.0
-45033,0.0
-45032,0.0
-45031,6.4
-45030,0.0
-45029,0.0
-45028,0.0
-45027,0.0
-45026,0.0
-45025,0.0
-45024,3.0
-45023,0.0
-45022,1.0
-45021,0.0
-45020,0.0
-45019,28.4
-45018,3.0
-45017,1.3
-45016,0.0
-45015,0.5
-45014,0.3
-45013,0.0
-45012,0.3
-45011,0.0
-45010,0.0
-45009,11.7
-45008,0.0
-45007,0.0
-45006,0.0
-45005,1.3
-45004,0.0
-45003,0.0
-45002,10.4
-45001,6.9
-45000,0.0
-44999,0.0
-44998,5.1
-44997,8.9
-44996,3.8
-44995,0.0
-44994,0.0
-44993,0.0
-44992,2.3
-44991,5.8
-44990,0.0
-44989,0.0
-44988,0.0
-44987,0.0
-44986,0.0
-44985,0.0
-44984,0.0
-44983,0.0
-44982,0.0
-44981,2.5
-44980,0.0
-44979,0.0
-44978,20.8
-44977,3.0
-44976,0.0
-44975,0.0
-44974,0.0
-44973,0.0
-44972,0.0
-44971,0.0
-44970,0.0
-44969,0.0
-44968,0.0
-44967,0.0
-44966,10.9
-44965,0.0
-44964,0.0
-44963,0.0
-44962,0.0
-44961,0.0
-44960,0.0
-44959,0.0
-44958,0.0
-44957,3.6
-44956,2.8
-44955,1.0
-44954,2.5
-44953,2.5
-44952,0.0
-44951,0.0
-44950,0.0
-44949,0.0
-44948,3.6
-44947,0.0
-44946,19.3
-44945,0.0
-44944,6.4
-44943,2.0
-44942,0.0
-44941,0.8
-44940,3.8
-44939,9.1
-44938,6.6
-44937,6.9
-44936,6.4
-44935,0.8
-44934,0.0
-44933,0.0
-44932,0.0
-44931,0.0
-44930,0.8
-44929,1.5
-44928,4.8
-44927,3.8
-44926,0.0
-44925,3.6
-44924,22.1
-44923,5.3
-44922,11.7
-44921,8.9
-44920,1.8
-44919,0.0
-44918,0.0
-44917,0.3
-44916,32.8
-44915,4.3
-44914,0.0
-44913,0.0
-44912,0.0
-44911,0.0
-44910,10.4
-44909,21.6
-44908,2.5
-44907,13.2
-44906,16.0
-44905,6.1
-44904,32.0
-44903,24.1
-44902,221.0
-44901,8.6
-44900,0.0
-44899,26.9
-44898,34.3
-44897,3.8
-44896,20.1
-44895,1.3
-44894,24.1
-44893,8.9
-44892,39.6
-44891,4.3
-44890,0.0
-44889,0.0
-44888,2.0
-44887,109.2
-44886,281.9
-44885,4.1
-44884,5.8
-44883,0.0
-44882,0.0
-44881,0.5
-44880,5.8
-44879,0.0
-44878,0.0
-44877,2.0
-44876,0.8
-44875,1.0
-44874,0.0
-44873,0.0
-44872,6.4
-44871,6.4
-44870,0.0
-44869,0.0
-44868,1.8
-44867,0.3
-44866,0.0
-44865,0.0
-44864,0.0
-44863,0.0
-44862,0.0
-44861,0.0
-44860,0.0
-44859,1.0
-44858,0.0
-44857,0.0
-44856,0.8
-44855,5.1
-44854,3.6
-44853,0.0
-44852,0.3
-44851,0.0
-44850,0.0
-44849,1.0
-44848,0.0
-44847,5.6
-44846,5.3
-44845,19.1
-44844,10.2
-44843,2.8
-44842,0.8
-44841,0.0
-44840,0.0
-44839,0.0
-44838,16.0
-44837,0.0
-44836,0.0
-44835,0.0
-44834,0.0
-44833,14.0
-44832,0.8
-44831,0.0
-44830,0.0
-44829,6.4
-44828,0.5
-44827,0.0
-44826,0.0
-44825,5.1
-44824,0.0
-44823,0.5
-44822,5.8
-44821,0.0
-44820,0.0
-44819,0.0
-44818,0.0
-44817,0.0
-44816,0.0
-44815,0.0
-44814,0.0
-44813,0.0
-44812,0.0
-44811,6.9
-44810,0.0
-44809,0.0
-44808,0.0
-44807,0.0
-44806,0.0
-44805,0.8
-44804,0.0
-44803,0.0
-44802,0.3
-44801,0.0
-44800,0.0
-44799,7.9
-44798,2.5
-44797,0.0
-44796,0.0
-44795,0.0
-44794,0.0
-44793,0.0
-44792,0.0
-44791,0.0
-44790,0.0
-44789,0.0
-44788,0.0
-44787,0.0
-44786,6.1
-44785,0.0
-44784,3.0
-44783,0.0
-44782,0.0
-44781,3.0
-44780,1.8
-44779,1.0
-44778,0.0
-44777,0.0
-44776,0.0
-44775,0.0
-44774,0.0
-44773,0.0
-44772,0.0
-44771,0.5
-44770,0.0
-44769,0.0
-44768,0.0
-44767,0.0
-44766,0.0
-44765,0.0
-44764,3.8
-44763,0.0
-44762,0.0
-44761,0.0
-44760,0.0
-44759,0.0
-44758,0.0
-44757,0.0
-44756,2.0
-44755,0.0
-44754,0.0
-44753,0.0
-44752,0.0
-44751,2.5
-44750,5.1
-44749,0.0
-44748,0.8
-44747,0.0
-44746,0.0
-44745,0.0
-44744,0.0
-44743,0.0
-44742,0.0
-44741,0.0
-44740,0.0
-44739,0.0
-44738,0.0
-44737,0.0
-44736,0.0
-44735,0.0
-44734,0.0
-44733,0.0
-44732,0.0
-44731,0.0
-44730,0.0
-44729,0.0
-44728,0.0
-44727,0.0
-44726,0.0
-44725,3.0
-44724,0.0
-44723,0.0
-44722,0.0
-44721,0.0
-44720,7.4
-44719,6.4
-44718,0.0
-44717,0.0
-44716,1.8
-44715,0.0
-44714,0.0
-44713,0.0
-44712,0.0
-44711,0.0
-44710,0.0
-44709,0.0
-44708,0.0
-44707,0.0
-44706,11.4
-44705,0.8
-44704,0.5
-44703,0.0
-44702,0.0
-44701,0.0
-44700,0.0
-44699,3.6
-44698,0.0
-44697,3.8
