day,rain
1,0
2,5.6
3,18.0
4,0.2
5,57.4
6,57.6
7,8.8
8,12.4
9,7.0
10,1.4
11,6.0
12,
13,
14,2.8
15,
16,
17,20.4
18,0.2
19,24.2
20,6.0
21,5.0
22,22.0
23,49.6
24,16.0
25,47.0
26,71.2
27,40.8
28,
29,108.0
30,98.0
31,71.6
32,14.8
33,0
34,3.4
35,
36,
37,
38,0.2
39,0.2
40,0
41,26.4
42,0.2
43,0.2
44,0.2
45,
46,
47,9.2
48,23.4
49,1.6
50,2.6
51,1.0
52,0.2
53,0.2
54,5.8
55,20.2
56,0.2
57,0
58,0
59,0
60,
61,0
62,25.2
63,1.6
64,8.8
65,1.0
66,0
67,0
68,12.4
69,2.4
70,23.2
71,3.6
72,9.8
73,0.2
74,0
75,0
76,3.0
77,17.8
78,
79,0
80,1.4
81,0
82,0
83,0
84,0.2
85,0
86,9.0
87,0.4
88,3.8
89,0
90,0
91,0
92,0
93,0
94,0.4
95,0
96,
97,0.6
98,0.2
99,0
100,1.0
101,0
102,29.2
103,0
104,0.2
105,0
106,0
107,0
108,0
109,37.4
110,37.8
111,
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,
242,0
243,0
244,0
245,0
246,0
