,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field,CSIRO_Band,CSIRO_Sat_mean,CSIRO_Sat_SD,CSIRO_Field_mean,CSIRO_Field_SD,CSIRO_Sat_SD/mean (%),CSIRO_Field_SD/mean (%),CSIRO_Sat/Field
Band1,0.18307708333333333,0.011210687601260486,0.19194297409438568,0.013309084742563503,6.123479464029307,6.933874399601059,0.9538097666617761,Band1,0.18322026143790848,0.012286234177259018,0.1846215948151878,0.013702890801457396,6.705718068971701,7.422149513535745,0.9924096995333503
Band2,0.23597416666666668,0.015315841449478236,0.2613394144264886,0.017123710379524065,6.490473794579874,6.552287727858495,0.9029413614647979,Band2,0.23635065359477125,0.01659885664907297,0.24960420620451382,0.0175212772540483,7.0229789495450685,7.019624196433694,0.9469017256909396
Band3,0.4118270833333333,0.022796468472690873,0.46681662960976544,0.030144380831469902,5.53544664624191,6.457435086806793,0.8822031119105578,Band3,0.4116503267973856,0.023693946233763967,0.4430603799870222,0.029571459800056127,5.755842930601178,6.674363390588505,0.9291066080190772
Band4,0.5473024999999999,0.03078714819125019,0.5916373374255747,0.0397230006108553,5.625252614641847,6.714079402713875,0.9250641657970887,Band4,0.5468735294117647,0.03168992105849397,0.5569022976385687,0.037663166445545536,5.794744004629498,6.762975589299695,0.9819918713402173
Band5,0.6007333333333333,0.032787178218864094,0.6226039759654689,0.04218108349694987,5.457858986604832,6.774946053233899,0.9648723049058258,Band5,0.6005611111111111,0.03454152125006512,0.5828185900787833,0.03921113693016146,5.75154145198631,6.7278459537231035,1.0304426134209779
Band6,0.6191983333333334,0.03477795514243022,0.6528722825528347,0.0446508361788234,5.616609940664711,6.83913797109467,0.948421842802346,Band6,0.6191303921568627,0.036486056399821,0.612205969017617,0.04093646361493063,5.893113447833604,6.686714224727304,1.0113106103005776
Band7,0.61384375,0.03450187619445499,0.6557039080044934,0.04419480605720676,5.620628408199153,6.740055308150445,0.9361599687092204,Band7,0.6137166666666667,0.03642963694181453,0.6141101450573302,0.04001415545313339,5.935904778287679,6.515794564735268,0.9993592706555486
Band8,0.6309516666666667,0.03666498893888949,0.6599270137903628,0.044197239500084924,5.811061429252027,6.697292060561859,0.9560931034520423,Band8,0.630540522875817,0.03831461424947507,0.6183261876857727,0.040142958744833125,6.076471354248079,6.492197733865572,1.019753870098498
Band8a,0.6382208333333333,0.03721133316574699,0.6606546562686547,0.04406272975702619,5.830479235752566,6.669555620161725,0.96604304121305,Band8a,0.6380996732026144,0.03944938305503161,0.6193553705354917,0.04021266308846564,6.182323030669432,6.492663986056658,1.0302642126941055
Band11,0.7583908333333333,0.04075311541431185,0.7525656922880434,0.051527352168889304,5.373629746444963,6.846890935491555,1.0077403754980907,Band11,0.7578584967320261,0.04241858957498511,0.7089077148422015,0.04693222834907754,5.59716487416833,6.620357962887224,1.0690509933309453
Band12,0.6094979166666668,0.032179963289699215,0.6181475413199317,0.04667441498458517,5.279749513450491,7.550691681943957,0.9860071842479623,Band12,0.6088653594771242,0.0321751879808464,0.5795926749337235,0.04415139761819723,5.284450409278911,7.61765969924412,1.050505615080018
