,Sat_mean,Sat_SD,Field_mean,Field_SD,Sat_SD/mean (%),Field_SD/mean (%),Sat/Field,,CSIRO_Sat_mean,CSIRO_Sat_SD,CSIRO_Field_mean,CSIRO_Field_SD,CSIRO_Sat_SD/mean (%),CSIRO_Field_SD/mean (%),CSIRO_Sat/Field
Band1,0.1807484375,0.016862634285858,0.18813644680975364,0.013785473738931303,9.329338897249388,7.327380724305576,0.9607305791353415,Band1,0.17663809523809523,0.014345265560139682,0.17796241976268698,0.012619829871531374,8.121275051569885,7.091289210587227,0.9925584034744092
Band2,0.2184359375,0.021308253735256997,0.23567573594943994,0.016966366916894703,9.754921273088133,7.199029992860417,0.9268494977644265,Band2,0.21328095238095238,0.017996510747724695,0.2220943569537464,0.015484221677952981,8.437936227694715,6.9719113490027755,0.9603168459852875
Band3,0.4313453125,0.0325233134155692,0.4639956064625058,0.029971610849278966,7.539971450499813,6.4594600534651585,0.9296323208501239,Band3,0.4260666666666667,0.028034202466567654,0.4345909282540081,0.02738420933696575,6.579769003262631,6.301146102377988,0.9803855510247578
Band4,0.561146875,0.04173659204144937,0.5825656172472304,0.03677570074302695,7.437730458972862,6.312713907971674,0.9632337686723783,Band4,0.5548738095238095,0.03636010411428733,0.5448474233737065,0.03414796557454788,6.552860035958703,6.267436370186532,1.0184021906316807
Band5,0.657290625,0.0543733037630543,0.6614020323615961,0.04092420839596811,8.272338246579174,6.187493595966813,0.9937837999273816,Band5,0.6482071428571429,0.046740761210140785,0.6153891733018177,0.03793606591430889,7.210775401844328,6.164565052512411,1.053328805541448
Band6,0.7386984375,0.05517749623994001,0.7559521304912914,0.04513820509519686,7.4695563763041015,5.971040132641951,0.9771762095834319,Band6,0.7308666666666667,0.04723356185044025,0.7069058309133939,0.042726443166159735,6.4626783522448585,6.044149205977385,1.0338953714985106
Band7,0.592590625,0.03782110323099228,0.6197208698123938,0.039951485424242913,6.382332361567866,6.446690335979374,0.9562218312566965,Band7,0.5895023809523809,0.03300227617038413,0.5757102290362537,0.03843554497427581,5.598327884115874,6.676196293857311,1.023956760225045
