,2018-07-1,-3.4,12.2,0,,,N,15,00:14,0.8,99,8,ESE,6,1033.2,11.9,48,,NNW,7,1030.3
,2018-07-2,-3.2,13.5,0,,,ESE,22,07:29,2.3,81,,E,9,1034.1,12.7,49,3,NE,2,1030.7
,2018-07-3,-2.5,13.4,0.2,,,N,30,15:07,1.8,99,2,NNE,4,1032.4,13.1,49,,N,19,1028.5
,2018-07-4,-3.6,15.8,0,,,N,37,14:52,1.0,97,,N,6,1029.9,15.2,42,,N,28,1025.3
,2018-07-5,-2.4,18.2,0,,,NW,54,13:42,2.2,99,, ,Calm,1024.3,17.0,53,,NNW,33,1018.5
,2018-07-6,2.2,15.2,0.2,,,NNW,63,01:15,13.0,75,2,NW,31,1009.8,9.7,76,6,NNW,35,1010.5
,2018-07-7,3.9,10.3,1.4,,,NW,57,13:34,7.1,73,3,NNW,37,1009.4,7.9,69,8,NW,26,1008.7
,2018-07-8,4.6,12.6,0,,,W,57,02:46,7.4,68,6,N,28,1015.8,10.4,54,,WNW,31,1015.7
,2018-07-9,-2.5,13.0,0,,,WNW,26,02:49,4.4,87,,NW,4,1025.7,12.7,43,,W,11,1025.0
,2018-07-10,-4.7,12.3,0,,,NNW,33,13:05,1.1,84,,NNW,7,1030.5,11.7,48,,NNW,17,1026.4
,2018-07-11,-6.3,12.8,0,,,NW,35,13:21,-1.4,96,, ,Calm,1026.2,11.8,44,5,NW,20,1023.1
,2018-07-12,-4.8,11.6,0,,,NNW,31,16:37,2.0,80,1,E,7,1022.8,9.6,47,8,NNW,17,1018.7
,2018-07-13,-5.0,12.7,0,,,N,22,15:52,1.4,92,, ,Calm,1019.3,12.2,48,,NNW,15,1017.4
,2018-07-14,-6.5,11.4,0,,,NW,24,15:03,0.0,87,, ,Calm,1022.4,10.3,46,,NW,17,1018.5
,2018-07-15,-4.8,10.1,0,,,N,31,14:19,0.1,91,7,NNW,9,1019.0,9.5,50,,NNW,20,1014.9
,2018-07-16,-7.3,10.6,0,,,NNW,39,15:12,-1.0,93,7, ,Calm,1015.4,10.2,45,8,NNW,26,1012.9
,2018-07-17,-4.9,15.7,0.2,,,NNW,72,21:09,3.5,75,,SSW,6,1016.7,15.3,25,,NW,33,1011.6
,2018-07-18,0.2,12.8,0,,,WNW,50,01:02,6.9,58,,NW,19,1018.8,11.9,42,,NW,28,1018.2
,2018-07-19,1.2,14.1,0,,,NNW,44,13:02,6.6,67,,SW,6,1017.4,13.6,38,,NW,30,1013.5
,2018-07-20,0.6,10.7,0.6,,,NNW,63,01:48,7.4,77,8,WNW,20,1006.7,7.3,53,,WNW,37,1010.8
,2018-07-21,1.6,12.4,0.4,,,WNW,46,00:09,6.4,64,,NW,17,1022.4,11.2,42,,NW,24,1021.7
,2018-07-22,-6.2,10.6,0,,,NNW,28,14:52,-0.8,99,8, ,Calm,1026.2,10.1,45,,NNW,19,1021.3
,2018-07-23,-7.4,12.8,0,,,NNW,44,14:29,-1.3,86,, ,Calm,1021.2,10.2,42,6,N,28,1015.1
,2018-07-24,-1.3,14.9,0,,,NW,67,00:38,10.2,55,,NNW,15,1015.0,13.1,47,,NW,44,1013.4
,2018-07-25,9.5,15.8,0.2,,,WNW,57,10:38,12.3,56,3,NNW,20,1017.2,14.8,43,,WNW,28,1016.7
,2018-07-26,-2.1,14.3,0,,,WNW,39,16:33,4.2,81,,ESE,4,1021.3,14.0,41,,NW,13,1017.1
,2018-07-27,-4.9,16.2,0,,,WNW,41,14:47,1.8,87,,NNE,4,1019.6,15.2,37,1,WNW,26,1015.7
,2018-07-28,-3.3,16.5,0,,,NW,31,14:15,2.4,91,4, ,Calm,1019.4,16.0,43,1,WNW,15,1014.6
,2018-07-29,2.4,14.0,3.8,,,NW,72,15:24,10.2,79,8,NNW,35,1007.7,11.5,55,7,WNW,30,1007.5
,2018-07-30,4.2,11.5,0.8,,,WNW,48,01:22,7.1,56,,NW,26,1016.9,10.2,48,,NW,30,1017.1
,2018-07-31,3.0,15.4,0,,,NW,63,13:15,7.9,63,,NNW,35,1016.0,13.3,50,8,NW,37,1014.4
