,2018-05-1,0.7,22.9,0,,,N,17,13:46,9.7,61,,ESE,9,1028.4,22.7,24,,NNW,9,1024.8
,2018-05-2,5.0,20.2,0,,,NNW,31,13:55,9.7,75,8, ,Calm,1023.6,19.8,43,3,NNW,26,1020.0
,2018-05-3,4.3,24.5,0,,,NW,41,13:23,11.6,76,, ,Calm,1021.4,23.7,31,1,NNW,31,1016.1
,2018-05-4,11.6,16.5,6.0,,,NW,72,11:41,12.8,95,8,NNW,31,1013.0,13.2,58,8,NW,35,1016.8
,2018-05-5,2.6,19.1,2.0,,,NW,33,01:18,9.4,67,,SSW,2,1029.1,18.6,42,,N,11,1027.1
,2018-05-6,-0.1,19.8,0,,,WNW,22,14:02,8.6,71,,SE,6,1033.5,19.1,29,,NNW,11,1029.3
,2018-05-7,0.0,19.9,0,,,NW,48,15:41,6.0,88,,N,2,1026.9,19.5,33,,NW,31,1020.4
,2018-05-8,6.0,22.6,0,,,NW,31,14:20,10.3,83,8,SSE,6,1023.7,20.3,39,8,NNW,24,1021.9
,2018-05-9,2.5,20.8,0,,,NNW,43,13:17,9.7,85,, ,Calm,1022.9,19.4,28,,NW,24,1017.8
,2018-05-10,2.4,15.6,0,,,NW,52,11:16,12.9,60,,NNW,26,1011.1,9.1,79,4,NNW,26,1008.4
,2018-05-11,2.4,12.3,3.6,,,WNW,48,10:43,4.8,82,5,NNW,24,1009.0,7.0,72,8,NW,28,1008.3
,2018-05-12,4.6,13.0,0.2,,,SSW,63,11:06,11.4,69,8,S,13,1012.1,11.5,75,6,SSW,17,1015.4
,2018-05-13,8.6,17.0,0.2,,,SSW,57,05:47,11.7,58,,S,43,1023.2,15.9,40,1,S,33,1023.0
,2018-05-14,1.2,17.7,0,,,S,30,02:29,9.0,70,,SSE,15,1028.8,17.3,30,,WNW,6,1024.7
,2018-05-15,-1.9,15.5,0,,,N,20,13:13,4.3,91,,NNW,6,1025.1,14.6,49,,NNW,6,1022.0
,2018-05-16,-1.3,15.3,0,,,SSW,35,11:42,7.7,69,,SE,13,1028.8,14.7,38,,WNW,11,1026.2
,2018-05-17,-2.1,15.7,0,,,N,33,15:03,5.0,80,,NNW,2,1027.5,14.7,48,,NNW,22,1022.9
,2018-05-18,-1.8,18.1,0,,,WNW,39,16:21,5.1,84,, ,Calm,1023.8,16.7,46,,N,13,1020.4
,2018-05-19,1.7,15.2,0,,,N,37,15:59,4.0,98,7,SE,6,1025.4,14.5,52,1,NNW,24,1020.9
,2018-05-20,-1.1,17.0,0,,,WNW,39,14:19,5.4,92,8, ,Calm,1022.0,14.9,41,,NW,28,1018.5
,2018-05-21,5.4,16.9,0,,,WNW,44,10:35,13.8,53,5,NW,22,1020.6,15.7,43,,WNW,28,1018.8
,2018-05-22,6.8,20.3,0,,,WSW,43,14:59,10.6,71,,NNW,19,1021.7,18.7,41,,WSW,28,1019.8
,2018-05-23,2.2,16.8,0,,,NNW,22,12:24,6.6,99,8,E,7,1027.7,15.6,64,,NW,9,1023.7
,2018-05-24,2.0,16.9,0,,,WNW,17,14:09,6.9,99,8,NE,2,1026.8,16.2,54,,W,7,1023.0
,2018-05-25,2.1,16.5,0,,,NE,26,13:16,8.2,79,8, ,Calm,1030.4,15.9,45,,ENE,11,1027.7
,2018-05-26,0.7,17.2,0,,,NW,15,23:55,6.3,93,8,ESE,9,1031.1,15.8,54,,WSW,4,1027.8
,2018-05-27,-2.4,17.3,0,,,WNW,19,14:21,5.8,87,, ,Calm,1030.1,16.4,43,1,NW,13,1026.5
,2018-05-28,2.9,17.7,0,,,N,30,13:50,7.4,81,4,SW,6,1026.4,16.5,46,7,N,15,1022.6
,2018-05-29,-0.1,17.1,0,,,NW,37,10:47,6.3,85,1,SSW,2,1020.7,12.8,82,8,N,24,1017.6
,2018-05-30,1.0,13.4,3.0,,,SSW,35,11:37,5.0,99,8,NNW,2,1020.9,12.6,51,6,WNW,13,1019.5
,2018-05-31,3.3,13.3,0,,,SSW,54,13:28,7.6,80,3,NNW,2,1022.5,12.4,40,,S,22,1022.8
