,2018-01-1,15.9,27.5,0,,,,,,26.9,41,0,SE,19,1012.2,,,,,,
,2018-01-2,14.7,28.4,0,,,,,,25.5,62,0,SSW,19,1010.2,,,,,,
,2018-01-3,16.1,27.4,0,,,,,,25.0,73,1,SSW,22,1012.3,,,,,,
,2018-01-4,15.0,27.9,0,,,,,,24.0,72,1,SSW,9,1012.6,,,,,,
,2018-01-5,13.2,26.9,0,,,,,,24.6,76,1,SSW,9,1011.0,,,,,,
,2018-01-6,12.4,27.9,0,,,,,,20.0,46,1,ESE,24,1017.7,,,,,,
,2018-01-7,13.4,27.2,0,,,,,,24.4,51,0,SSE,19,1015.1,,,,,,
,2018-01-8,14.5,,0,,,,,,26.3,55,0,SSE,24,1014.7,,,,,,
,2018-01-9,,36.4,0,,,,,,,,,,,,,,,,,
,2018-01-10,18.8,25.2,0,,,,,,22.9,86,7,S,24,1007.8,,,,,,
,2018-01-11,19.1,24.8,0,,,,,,23.1,79,4,SSW,24,1011.5,,,,,,
,2018-01-12,12.6,26.6,0,,,,,,22.2,41,1,SSE,19,1016.2,,,,,,
,2018-01-13,15.1,41.2,0,,,,,,,,,,,,,,,,,
,2018-01-14,20.2,,0,,,,,,34.6,27,7,ENE,28,1010.0,,,,,,
,2018-01-15,19.7,24.7,17.0,,,,,,19.9,97,8,E,28,1008.3,,,,,,
,2018-01-16,19.3,,20.2,,,,,,24.0,92,7,NNW,24,1005.1,,,,,,
,2018-01-17,,,,,,,,,,,,,,,,,,,,
,2018-01-18,,,,,,,,,,,,,,,,,,,,
,2018-01-19,,,,,,,,,,,,,,,,,,,,
,2018-01-20,,,,,,,,,,,,,,,,,,,,
,2018-01-21,,,,,,,,,,,,,,,,,,,,
,2018-01-22,,32.8,,,,,,,,,,,,,,,,,,
,2018-01-23,16.5,32.6,3.6,,,,,,30.2,64,1,SSE,15,1007.0,,,,,,
,2018-01-24,20.7,31.5,0,,,,,,27.6,57,1,SSE,19,1006.0,,,,,,
,2018-01-25,20.2,,0,,,,,,24.4,75,1,S,28,1005.8,,,,,,
,2018-01-26,,,0,,,,,,,,,,,,,,,,,
,2018-01-27,,27.1,0,,,,,,,,,,,,,,,,,
,2018-01-28,16.0,27.8,0,,,,,,24.3,72,1,SE,24,1008.7,,,,,,
,2018-01-29,16.2,33.6,0,,,,,,22.7,65,2,ESE,31,1012.0,,,,,,
,2018-01-30,17.6,33.7,0,,,,,,24.9,64,1,SE,26,1013.3,,,,,,
,2018-01-31,16.1,34.0,0,,,,,,25.4,49,0,E,24,1011.3,,,,,,
