,2018-06-1,3.8,15.0,0,,,,,,9.5,57,6,NNE,9,1029.9,,,,,,
,2018-06-2,3.4,18.6,0,,,,,,11.0,54,7,NNW,4,1027.4,,,,,,
,2018-06-3,6.3,19.8,0,,,,,,12.6,45,0,SW,4,1026.6,,,,,,
,2018-06-4,6.2,17.0,0.2,,,,,,10.0,100,8,SW,4,1026.6,,,,,,
,2018-06-5,6.0,15.0,0.2,,,,,,8.2,97,7,E,4,1029.6,,,,,,
,2018-06-6,2.1,15.2,0,,,,,,8.4,79,3,N,4,1025.9,,,,,,
,2018-06-7,8.6,18.2,0,,,,,,12.4,46,8,N,4,1021.8,,,,,,
,2018-06-8,9.9,13.4,1.0,,,,,,12.0,79,8,NW,4,1020.0,,,,,,
,2018-06-9,7.9,15.0,0.6,,,,,,10.6,96,4, ,Calm,1022.5,,,,,,
,2018-06-10,10.0,14.8,0,,,,,,10.6,99,8,NNE,4,1025.5,,,,,,
,2018-06-11,9.8,19.0,0,,,,,,10.2,97,4,NE,4,1015.6,,,,,,
,2018-06-12,8.6,12.8,5.4,,,,,,9.6,95,8,W,33,1012.8,,,,,,
,2018-06-13,7.2,12.1,2.2,,,,,,9.6,93,8,WNW,24,1010.1,,,,,,
,2018-06-14,7.2,13.7,7.0,,,,,,9.6,90,7,NNW,24,1014.1,,,,,,
,2018-06-15,6.8,12.3,7.2,,,,,,8.3,87,1,W,43,1017.8,,,,,,
,2018-06-16,5.8,10.2,6.2,,,,,,7.5,85,2,W,33,1021.2,,,,,,
,2018-06-17,4.0,11.0,7.2,,,,,,7.0,100,6,SW,24,1027.7,,,,,,
,2018-06-18,4.6,10.2,1.2,,,,,,6.6,91,6,SE,4,1031.0,,,,,,
,2018-06-19,1.0,11.0,0,,,,,,5.6,82,5,NNE,4,1027.6,,,,,,
,2018-06-20,4.7,13.2,0,,,,,,7.9,54,8,WNW,17,1026.2,,,,,,
,2018-06-21,3.1,14.7,0,,,,,,8.6,81,0, ,Calm,1029.4,,,,,,
,2018-06-22,1.1,14.2,0,,,,,,9.1,53,3,N,4,1029.1,,,,,,
,2018-06-23,4.4,15.2,0,,,,,,10.0,51,3,WSW,9,1028.5,,,,,,
,2018-06-24,5.0,11.8,0.2,,,,,,7.5,100,8, ,Calm,1031.8,,,,,,
,2018-06-25,3.0,10.6,0,,,,,,5.6,83,2,SE,4,1033.2,,,,,,
,2018-06-26,0.1,10.8,0,,,,,,3.0,90,7, ,Calm,1031.9,,,,,,
,2018-06-27,2.9,13.2,0,,,,,,6.2,82,1, ,Calm,1030.4,,,,,,
,2018-06-28,1.6,13.7,0,,,,,,5.8,79,6,WNW,4,1024.6,,,,,,
,2018-06-29,5.2,14.6,0,,,,,,9.8,43,7,NNW,37,1017.1,,,,,,
,2018-06-30,3.8,12.0,0.6,,,,,,6.9,87,0,W,24,1025.7,,,,,,
