time,x,y,nbar_coastal_aerosol,nbar_blue,nbar_green,nbar_red,nbar_red_edge_1,nbar_red_edge_2,nbar_red_edge_3,nbar_nir_1,nbar_nir_2,nbar_swir_2,nbar_swir_3
2018-05-22 02:13:51.024,-1593865.0,-3434065.0,1794,2333,3918,5155,5613,5773,5776,5939,6017,7058,5621
2018-05-22 02:13:51.024,-1593865.0,-3434075.0,1794,2319,3847,5104,5613,5773,5776,5893,6017,7058,5621
2018-05-22 02:13:51.024,-1593865.0,-3434085.0,1706,2269,3833,5042,5544,5684,5635,5845,5844,6984,5567
2018-05-22 02:13:51.024,-1593865.0,-3434095.0,1706,2250,3816,5023,5544,5684,5635,5835,5844,6984,5567
2018-05-22 02:13:51.024,-1593865.0,-3434105.0,1706,2232,3795,5020,5497,5671,5580,5827,5828,6942,5543
2018-05-22 02:13:51.024,-1593865.0,-3434115.0,1706,2207,3756,4996,5497,5671,5580,5766,5828,6942,5543
2018-05-22 02:13:51.024,-1593865.0,-3434125.0,1706,2160,3740,4948,5480,5608,5590,5696,5787,6938,5572
2018-05-22 02:13:51.024,-1593865.0,-3434135.0,1706,2187,3784,5028,5480,5608,5590,5773,5787,6938,5572
2018-05-22 02:13:51.024,-1593855.0,-3433985.0,1929,2498,4267,5784,6191,6371,6320,6608,6633,7804,6215
2018-05-22 02:13:51.024,-1593855.0,-3433995.0,1929,2447,4188,5620,6191,6371,6320,6431,6633,7804,6215
2018-05-22 02:13:51.024,-1593855.0,-3434005.0,1929,2417,4127,5567,6053,6198,6209,6378,6502,7608,6007
2018-05-22 02:13:51.024,-1593855.0,-3434015.0,1929,2451,4093,5482,6053,6198,6209,6356,6502,7608,6007
2018-05-22 02:13:51.024,-1593855.0,-3434025.0,1849,2550,4172,5554,5859,6121,6002,6425,6360,7377,5768
2018-05-22 02:13:51.024,-1593855.0,-3434035.0,1849,2456,4016,5353,5859,6121,6002,6173,6360,7377,5768
2018-05-22 02:13:51.024,-1593855.0,-3434045.0,1849,2386,3947,5175,5744,5903,5859,6002,6075,7241,5656
2018-05-22 02:13:51.024,-1593855.0,-3434055.0,1849,2390,3978,5237,5744,5903,5859,6063,6075,7241,5656
2018-05-22 02:13:51.024,-1593855.0,-3434065.0,1849,2399,3963,5247,5704,5911,5825,6058,6162,7172,5640
2018-05-22 02:13:51.024,-1593855.0,-3434075.0,1849,2337,3902,5095,5704,5911,5825,5950,6162,7172,5640
2018-05-22 02:13:51.024,-1593855.0,-3434085.0,1715,2265,3808,5044,5616,5728,5718,5811,5942,7104,5615
2018-05-22 02:13:51.024,-1593855.0,-3434095.0,1715,2237,3813,5040,5616,5728,5718,5786,5942,7104,5615
2018-05-22 02:13:51.024,-1593855.0,-3434105.0,1715,2224,3835,5044,5537,5735,5614,5781,5898,7014,5581
2018-05-22 02:13:51.024,-1593855.0,-3434115.0,1715,2221,3818,5066,5537,5735,5614,5744,5898,7014,5581
2018-05-22 02:13:51.024,-1593855.0,-3434125.0,1715,2163,3777,5003,5475,5618,5600,5699,5809,6934,5598
2018-05-22 02:13:51.024,-1593855.0,-3434135.0,1706,2140,3737,4937,5480,5608,5590,5661,5787,6938,5572
2018-05-22 02:13:51.024,-1593845.0,-3433985.0,1929,2417,4282,5755,6420,6627,6550,6626,6864,8119,6520
2018-05-22 02:13:51.024,-1593845.0,-3433995.0,1929,2351,4155,5654,6195,6297,6308,6451,6588,7818,6258
2018-05-22 02:13:51.024,-1593845.0,-3434005.0,1929,2361,4083,5489,6195,6297,6308,6306,6588,7818,6258
2018-05-22 02:13:51.024,-1593845.0,-3434015.0,1849,2513,4178,5609,6057,6294,6196,6407,6518,7601,5992
2018-05-22 02:13:51.024,-1593845.0,-3434025.0,1849,2496,4175,5551,6057,6294,6196,6422,6518,7601,5992
2018-05-22 02:13:51.024,-1593845.0,-3434035.0,1849,2447,4005,5336,5947,6101,6103,6182,6316,7440,5825
2018-05-22 02:13:51.024,-1593845.0,-3434045.0,1849,2390,3907,5125,5744,5903,5859,5946,6075,7241,5656
2018-05-22 02:13:51.024,-1593845.0,-3434055.0,1849,2454,3974,5226,5744,5903,5859,6024,6075,7241,5656
2018-05-22 02:13:51.024,-1593845.0,-3434065.0,1849,2420,4031,5305,5704,5911,5825,6169,6162,7172,5640
2018-05-22 02:13:51.024,-1593845.0,-3434075.0,1849,2363,3986,5242,5704,5911,5825,6071,6162,7172,5640
2018-05-22 02:13:51.024,-1593845.0,-3434085.0,1715,2239,3884,5151,5616,5728,5718,5884,5942,7104,5615
2018-05-22 02:13:51.024,-1593845.0,-3434095.0,1715,2253,3853,5078,5616,5728,5718,5799,5942,7104,5615
2018-05-22 02:13:51.024,-1593845.0,-3434105.0,1715,2264,3838,5042,5537,5735,5614,5861,5898,7014,5581
2018-05-22 02:13:51.024,-1593845.0,-3434115.0,1715,2225,3848,5056,5537,5735,5614,5833,5898,7014,5581
2018-05-22 02:13:51.024,-1593845.0,-3434125.0,1715,2162,3818,5011,5475,5618,5600,5757,5809,6934,5598
2018-05-22 02:13:51.024,-1593845.0,-3434135.0,1715,2140,3711,4885,5475,5618,5600,5629,5809,6934,5598
2018-05-22 02:13:51.024,-1593835.0,-3433985.0,1929,2434,4328,5796,6420,6627,6550,6744,6864,8119,6520
2018-05-22 02:13:51.024,-1593835.0,-3433995.0,1929,2430,4204,5695,6195,6297,6308,6576,6588,7818,6258
2018-05-22 02:13:51.024,-1593835.0,-3434005.0,1929,2333,4115,5535,6195,6297,6308,6359,6588,7818,6258
2018-05-22 02:13:51.024,-1593835.0,-3434015.0,1849,2459,4160,5529,6057,6294,6196,6391,6518,7601,5992
2018-05-22 02:13:51.024,-1593835.0,-3434025.0,1849,2604,4265,5618,6057,6294,6196,6588,6518,7601,5992
2018-05-22 02:13:51.024,-1593835.0,-3434035.0,1849,2489,4141,5534,5947,6101,6103,6454,6316,7440,5825
2018-05-22 02:13:51.024,-1593835.0,-3434045.0,1849,2493,3980,5291,5947,6101,6103,6136,6316,7440,5825
2018-05-22 02:13:51.024,-1593835.0,-3434055.0,1849,2441,4062,5366,5836,6115,5961,6245,6275,7336,5837
2018-05-22 02:13:51.024,-1593835.0,-3434065.0,1849,2348,4058,5364,5836,6115,5961,6188,6275,7336,5837
2018-05-22 02:13:51.024,-1593835.0,-3434075.0,1715,2266,3984,5271,5803,5938,5906,6114,6150,7301,5926
2018-05-22 02:13:51.024,-1593835.0,-3434085.0,1715,2239,3861,5133,5803,5938,5906,5903,6150,7301,5926
2018-05-22 02:13:51.024,-1593835.0,-3434095.0,1715,2207,3891,5089,5666,5831,5722,5985,6007,7139,5832
2018-05-22 02:13:51.024,-1593835.0,-3434105.0,1715,2215,3868,5166,5666,5831,5722,5965,6007,7139,5832
2018-05-22 02:13:51.024,-1593835.0,-3434115.0,1715,2215,3868,5166,5666,5831,5722,5965,6007,7139,5832
2018-05-22 02:13:51.024,-1593835.0,-3434125.0,1715,2183,3843,5114,5603,5753,5722,5844,5898,7071,5812
2018-05-22 02:13:51.024,-1593835.0,-3434135.0,1715,2110,3765,4949,5475,5618,5600,5664,5809,6934,5598
2018-05-22 02:13:51.024,-1593825.0,-3433985.0,1929,2508,4353,5810,6416,6683,6640,6817,6916,8199,6549
2018-05-22 02:13:51.024,-1593825.0,-3433995.0,1929,2415,4250,5723,6233,6375,6392,6638,6653,7943,6304
2018-05-22 02:13:51.024,-1593825.0,-3434005.0,1929,2420,4169,5624,6233,6375,6392,6441,6653,7943,6304
2018-05-22 02:13:51.024,-1593825.0,-3434015.0,1849,2390,4161,5562,6168,6374,6354,6431,6636,7800,6183
2018-05-22 02:13:51.024,-1593825.0,-3434025.0,1849,2520,4232,5601,6168,6374,6354,6507,6636,7800,6183
2018-05-22 02:13:51.024,-1593825.0,-3434035.0,1849,2469,4239,5626,6135,6213,6264,6575,6442,7681,6124
2018-05-22 02:13:51.024,-1593825.0,-3434045.0,1849,2452,3989,5326,5947,6101,6103,6179,6316,7440,5825
2018-05-22 02:13:51.024,-1593825.0,-3434055.0,1849,2446,4064,5348,5836,6115,5961,6242,6275,7336,5837
2018-05-22 02:13:51.024,-1593825.0,-3434065.0,1849,2383,4098,5453,5836,6115,5961,6248,6275,7336,5837
2018-05-22 02:13:51.024,-1593825.0,-3434075.0,1715,2326,4055,5406,5803,5938,5906,6248,6150,7301,5926
2018-05-22 02:13:51.024,-1593825.0,-3434085.0,1715,2215,3902,5276,5803,5938,5906,5992,6150,7301,5926
2018-05-22 02:13:51.024,-1593825.0,-3434095.0,1715,2217,3862,5181,5666,5831,5722,5855,6007,7139,5832
2018-05-22 02:13:51.024,-1593825.0,-3434105.0,1715,2213,3898,5206,5666,5831,5722,5966,6007,7139,5832
2018-05-22 02:13:51.024,-1593825.0,-3434115.0,1715,2168,3894,5195,5603,5753,5722,5931,5898,7071,5812
2018-05-22 02:13:51.024,-1593825.0,-3434125.0,1715,2152,3849,5119,5603,5753,5722,5916,5898,7071,5812
2018-05-22 02:13:51.024,-1593825.0,-3434135.0,1634,2100,3739,5001,5524,5627,5571,5719,5836,6978,5745
2018-05-22 02:13:51.024,-1593815.0,-3433985.0,1929,2573,4393,5857,6416,6683,6640,6816,6916,8199,6549
