,times,lat,longt,elev,quality,files
0,2021/11/14 23:58:32.000,-28.079539837,146.049574517,207.8228,1,site2_211115_10000000000.asd.txt
1,2021/11/14 23:58:35.000,-28.079539659,146.049574409,207.8223,1,site2_211115_10000000001.asd.txt
2,2021/11/14 23:58:37.000,-28.079539679,146.049574469,207.8273,1,site2_211115_10000000002.asd.txt
3,2021/11/14 23:58:40.000,-28.079539764,146.049574575,207.822,1,site2_211115_10000000003.asd.txt
4,2021/11/14 23:58:42.000,-28.079539773,146.049574608,207.8198,1,site2_211115_10000000004.asd.txt
5,2021/11/14 23:58:45.000,-28.079539833,146.049574578,207.8227,1,site2_211115_10000000005.asd.txt
6,2021/11/14 23:58:47.000,-28.079539817,146.049574551,207.8186,1,site2_211115_10000000006.asd.txt
7,2021/11/14 23:58:50.000,-28.079539807,146.049574577,207.8248,1,site2_211115_10000000007.asd.txt
8,2021/11/14 23:58:52.000,-28.079539875,146.049574582,207.8212,1,site2_211115_10000000008.asd.txt
9,2021/11/14 23:58:55.000,-28.079539833,146.049574545,207.8205,1,site2_211115_10000000009.asd.txt
10,2021/11/14 23:59:07.000,-28.079549011,146.049576823,207.8527,1,site2_211115_10000000010.asd.txt
11,2021/11/14 23:59:10.000,-28.079554388,146.049575773,207.8819,1,site2_211115_10000000011.asd.txt
12,2021/11/14 23:59:13.000,-28.079570558,146.049570536,207.9385,1,site2_211115_10000000012.asd.txt
13,2021/11/14 23:59:15.000,-28.079581165,146.049567172,207.9512,1,site2_211115_10000000013.asd.txt
14,2021/11/14 23:59:18.000,-28.07959998,146.049560944,207.9757,1,site2_211115_10000000014.asd.txt
15,2021/11/14 23:59:20.000,-28.079611973,146.049557629,207.9641,1,site2_211115_10000000015.asd.txt
16,2021/11/14 23:59:23.000,-28.079630059,146.049551757,207.9718,1,site2_211115_10000000016.asd.txt
17,2021/11/14 23:59:25.000,-28.079641944,146.04954722,207.9798,1,site2_211115_10000000017.asd.txt
18,2021/11/14 23:59:28.000,-28.079659603,146.049542497,207.968,1,site2_211115_10000000018.asd.txt
19,2021/11/14 23:59:30.000,-28.079669848,146.04953819,207.9895,1,site2_211115_10000000019.asd.txt
20,2021/11/14 23:59:33.000,-28.079686419,146.049533812,207.9997,1,site2_211115_10000000020.asd.txt
21,2021/11/14 23:59:35.000,-28.07969926,146.049528454,208.0177,1,site2_211115_10000000021.asd.txt
22,2021/11/14 23:59:37.000,-28.07971289,146.049524767,207.9839,1,site2_211115_10000000022.asd.txt
23,2021/11/14 23:59:40.000,-28.079730753,146.049518128,207.9403,1,site2_211115_10000000023.asd.txt
24,2021/11/14 23:59:42.000,-28.079743526,146.04951457,207.9098,1,site2_211115_10000000024.asd.txt
25,2021/11/14 23:59:45.000,-28.079765492,146.049507478,207.9089,1,site2_211115_10000000025.asd.txt
26,2021/11/14 23:59:47.000,-28.079780003,146.049502418,207.9284,1,site2_211115_10000000026.asd.txt
27,2021/11/14 23:59:50.000,-28.079799991,146.049493086,207.9439,1,site2_211115_10000000027.asd.txt
28,2021/11/14 23:59:52.000,-28.079814288,146.049488402,207.9275,1,site2_211115_10000000028.asd.txt
29,2021/11/14 23:59:55.000,-28.079835743,146.049481753,207.903,1,site2_211115_10000000029.asd.txt
30,2021/11/14 23:59:57.000,-28.079849813,146.049476953,207.9126,1,site2_211115_10000000030.asd.txt
31,2021/11/15 00:00:00.000,-28.079870292,146.049469127,208.0089,1,site2_211115_10000000031.asd.txt
32,2021/11/15 00:00:03.000,-28.079890157,146.049461511,207.9465,1,site2_211115_10000000032.asd.txt
33,2021/11/15 00:00:05.000,-28.079903305,146.049458542,207.961,1,site2_211115_10000000033.asd.txt
34,2021/11/15 00:00:08.000,-28.07992362,146.04945358,208.0193,1,site2_211115_10000000034.asd.txt
35,2021/11/15 00:00:10.000,-28.079937554,146.049449838,207.9708,1,site2_211115_10000000035.asd.txt
36,2021/11/15 00:00:13.000,-28.07995898,146.049443706,207.9898,1,site2_211115_10000000036.asd.txt
37,2021/11/15 00:00:15.000,-28.079972,146.04943733,207.9459,1,site2_211115_10000000037.asd.txt
38,2021/11/15 00:00:18.000,-28.079993139,146.049429069,207.9496,1,site2_211115_10000000038.asd.txt
39,2021/11/15 00:00:20.000,-28.080007311,146.049425014,207.9745,1,site2_211115_10000000039.asd.txt
40,2021/11/15 00:00:23.000,-28.080029157,146.049418292,207.9956,1,site2_211115_10000000040.asd.txt
41,2021/11/15 00:00:26.000,-28.080051452,146.04941081,207.9716,1,site2_211115_10000000041.asd.txt
42,2021/11/15 00:00:28.000,-28.080066882,146.04940525,207.9539,1,site2_211115_10000000042.asd.txt
43,2021/11/15 00:00:31.000,-28.080090812,146.049395204,207.9223,1,site2_211115_10000000043.asd.txt
44,2021/11/15 00:00:33.000,-28.080106373,146.049387999,207.9273,1,site2_211115_10000000044.asd.txt
