SN,DATE,TIME,DATA_DESCR,LOCATION,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG440,SIG500,SIG870,SIG936,SIG1020,STD440,STD500,STD870,STD936,STD1020,R440_500,R500_870,R870_936,R936_1020,AOT440,AOT500,AOT870,AOT936,AOT1020,WATER,LNV01,LNV02,LNV03,LNV04,LNV05,C1,C2,C3,C4,C5,K,B,C,POFFS,PSCALE
12597,11/14/2021,01:33:50,lsatOverpass151121,site2Lsat,-28.085,146.048,180,993,11.56,1.02,0.976,25.5,96,703.73999,611.78998,612.70001,557.01001,922.33002,0.033,0.013,0.044,0.065,0.053,1.1504,0.9995,1.1014,0.6042,0.127,0.223,0.124,0.175,0.227,0.92,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,01:35:32,lsatOverpass151121,site2Lsat,-28.085,146.048,180,993,11.36,1.02,0.976,26.1,96,685.51001,561.32001,618.77002,602.39001,948.73999,0.001,0.001,0.001,0.001,0.001,1.2213,0.9072,1.0272,0.6349,0.153,0.308,0.114,0.157,0.199,0.8,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,02:03:14,lsatOverpass151121,site2Lsat,-28.085,146.048,180,990,9.87,1.015,0.976,28.1,96,715.96002,603.09003,590.34003,564.46997,977.03998,0.023,0.03,0.041,0.063,0.034,1.1874,1.0223,1.0474,0.5778,0.113,0.239,0.161,0.166,0.171,0.92,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,02:06:36,lsatOverpass151121,site2Lsat,-28.085,146.048,180,990,9.95,1.015,0.976,28.2,96,677.10999,570.17999,564.42999,534.77002,948.29999,0.058,0.024,0.026,0.064,0.039,1.1868,1.0104,1.0583,0.5642,0.168,0.295,0.205,0.203,0.201,0.95,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,02:11:43,lsatOverpass151121,site2Lsat,-28.085,146.048,180,990,10.19,1.016,0.976,28.2,96,737.44,620.96002,638.15002,608.22998,1026.15002,0.005,0.006,0.012,0.035,0.012,1.1876,0.9732,1.05,0.5928,0.083,0.21,0.084,0.104,0.123,0.89,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,02:16:39,lsatOverpass151121,site2Lsat,-28.085,146.048,180,989,10.54,1.017,0.976,28,96,739.91998,616.35999,656.06,633.40002,1025.90002,0.01,0.02,0.014,0.008,0.012,1.2007,0.9398,1.0358,0.6175,0.08,0.217,0.057,0.09,0.123,0.84,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,02:20:19,lsatOverpass151121,site2Lsat,-28.085,146.048,180,990,10.87,1.018,0.976,28.4,96,729.59003,623.09998,626.21002,611.09003,1002.47998,0.018,0.02,0.022,0.027,0.044,1.1711,0.9953,1.0254,0.6102,0.093,0.206,0.103,0.124,0.145,0.84,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/14/2021,23:22:02,lsatOverpass151121,site2Lsat,-28.085,146.048,180,993,37.42,1.258,0.976,31.3,96,655.46997,566.33002,610.19,554.81,872.51001,0.051,0.045,0.03,0.055,0.06,1.1572,0.9279,1.1012,0.6362,0.115,0.216,0.101,0.164,0.227,0.71,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/15/2021,00:01:21,lsatOverpass151121,site2Lsat,-28.085,146.048,180,995,28.87,1.141,0.976,25.7,96,727.03998,615.62,667.87,701.01001,1035.75,0.011,0.028,0.01,0.008,0.011,1.1816,0.9219,0.9528,0.6768,0.06,0.179,0.034,0.067,0.101,0.6,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
12597,11/15/2021,00:15:52,lsatOverpass151121,site2Lsat,-28.085,146.048,180,993,25.77,1.11,0.976,30.1,96,732.39001,625.21997,662.78003,672.88,1005.87,0.006,0.012,0.013,0.034,0.027,1.1715,0.9434,0.9856,0.6689,0.062,0.174,0.042,0.086,0.13,0.66,6.904,6.763,6.535,7.233,7.042,0.01854,0.02225,0.01373,0.006,0.00629,0.7847,0.5945,0,-3.804,18.14
