Wavelength,PIN2018112800489.asd
350.0,0.0688
351.0,0.0693
352.0,0.0698
353.0,0.0703
354.0,0.0707
355.0,0.0712
356.0,0.0717
357.0,0.0722
358.0,0.0728
359.0,0.0733
360.0,0.074
361.0,0.0746
362.0,0.0753
363.0,0.076
364.0,0.0767
365.0,0.0773
366.0,0.0781
367.0,0.0789
368.0,0.0797
369.0,0.0806
370.0,0.0816
371.0,0.0827
372.0,0.0837
373.0,0.0848
374.0,0.086
375.0,0.0872
376.0,0.0884
377.0,0.0898
378.0,0.0911
379.0,0.0924
380.0,0.0939
381.0,0.0953
382.0,0.0969
383.0,0.0985
384.0,0.1002
385.0,0.1019
386.0,0.1036
387.0,0.1053
388.0,0.107
389.0,0.1087
390.0,0.1103
391.0,0.1118
392.0,0.1135
393.0,0.1152
394.0,0.1169
395.0,0.1185
396.0,0.1201
397.0,0.1216
398.0,0.1231
399.0,0.1244
400.0,0.1257
401.0,0.127
402.0,0.1281
403.0,0.1293
404.0,0.1306
405.0,0.1319
406.0,0.1333
407.0,0.1347
408.0,0.1361
409.0,0.1376
410.0,0.139
411.0,0.1405
412.0,0.1421
413.0,0.1436
414.0,0.1451
415.0,0.1467
416.0,0.1483
417.0,0.1499
418.0,0.1516
419.0,0.1534
420.0,0.1552
421.0,0.1571
422.0,0.159
423.0,0.1609
424.0,0.1629
425.0,0.165
426.0,0.1672
427.0,0.1694
428.0,0.1717
429.0,0.1742
430.0,0.1766
431.0,0.1791
432.0,0.1815
433.0,0.1838
434.0,0.1861
435.0,0.1884
436.0,0.1906
437.0,0.1927
438.0,0.1949
439.0,0.197
440.0,0.199
441.0,0.201
442.0,0.2028
443.0,0.2046
444.0,0.2062
445.0,0.2078
446.0,0.2092
447.0,0.2105
448.0,0.2117
449.0,0.2128
450.0,0.2138
451.0,0.2147
452.0,0.2155
453.0,0.2162
454.0,0.2169
455.0,0.2175
456.0,0.218
457.0,0.2185
458.0,0.2189
459.0,0.2194
460.0,0.2197
461.0,0.2202
462.0,0.2206
463.0,0.221
464.0,0.2214
465.0,0.2219
466.0,0.2225
467.0,0.223
468.0,0.2237
469.0,0.2243
470.0,0.225
471.0,0.2258
472.0,0.2266
473.0,0.2275
474.0,0.2285
475.0,0.2295
476.0,0.2306
477.0,0.2317
478.0,0.2329
479.0,0.2342
480.0,0.2356
481.0,0.2371
482.0,0.2386
483.0,0.2402
484.0,0.242
485.0,0.2439
486.0,0.2459
487.0,0.248
488.0,0.2501
489.0,0.2522
490.0,0.2543
491.0,0.2565
492.0,0.2587
493.0,0.261
494.0,0.2633
495.0,0.2657
496.0,0.268
497.0,0.2704
498.0,0.2728
499.0,0.2753
500.0,0.2778
501.0,0.2803
502.0,0.2828
503.0,0.2853
504.0,0.2877
505.0,0.2902
506.0,0.2926
507.0,0.295
508.0,0.2975
509.0,0.2999
510.0,0.3024
511.0,0.3048
512.0,0.3072
513.0,0.3097
514.0,0.3122
515.0,0.3147
516.0,0.3173
517.0,0.3199
518.0,0.3225
519.0,0.3251
520.0,0.3276
521.0,0.33
522.0,0.3325
523.0,0.335
524.0,0.3375
525.0,0.3401
526.0,0.3427
527.0,0.3454
528.0,0.3481
529.0,0.3507
530.0,0.3533
531.0,0.356
532.0,0.3587
533.0,0.3614
534.0,0.3642
535.0,0.367
536.0,0.3698
537.0,0.3726
538.0,0.3754
539.0,0.3783
540.0,0.3813
541.0,0.3842
542.0,0.3871
543.0,0.39
544.0,0.3929
545.0,0.3958
546.0,0.3986
547.0,0.4015
548.0,0.4044
549.0,0.4072
550.0,0.41
551.0,0.4128
552.0,0.4155
553.0,0.4182
554.0,0.4209
555.0,0.4235
556.0,0.426
557.0,0.4286
558.0,0.4312
559.0,0.4338
560.0,0.4363
561.0,0.4387
562.0,0.441
563.0,0.4433
564.0,0.4456
565.0,0.4479
566.0,0.4501
567.0,0.4523
568.0,0.4545
569.0,0.4566
570.0,0.4586
571.0,0.4605
572.0,0.4624
573.0,0.4641
574.0,0.4658
575.0,0.4675
576.0,0.4691
577.0,0.4708
578.0,0.4723
579.0,0.4739
580.0,0.4755
581.0,0.477
582.0,0.4785
583.0,0.48
584.0,0.4815
585.0,0.483
586.0,0.4844
587.0,0.4858
588.0,0.4872
589.0,0.4886
590.0,0.4899
591.0,0.4911
592.0,0.4922
593.0,0.4933
594.0,0.4943
595.0,0.4954
596.0,0.4965
597.0,0.4975
598.0,0.4986
599.0,0.4996
600.0,0.5006
601.0,0.5016
602.0,0.5026
603.0,0.5035
604.0,0.5044
605.0,0.5053
606.0,0.5062
607.0,0.5071
608.0,0.5079
609.0,0.5087
610.0,0.5095
611.0,0.5103
612.0,0.5111
613.0,0.5119
614.0,0.5126
615.0,0.5134
616.0,0.5141
617.0,0.5148
618.0,0.5155
619.0,0.5162
620.0,0.5169
621.0,0.5176
622.0,0.5183
623.0,0.519
624.0,0.5197
625.0,0.5203
626.0,0.521
627.0,0.5216
628.0,0.5223
629.0,0.5229
630.0,0.5236
631.0,0.5243
632.0,0.5249
633.0,0.5255
634.0,0.5262
635.0,0.5268
636.0,0.5275
637.0,0.5281
638.0,0.5287
639.0,0.5294
640.0,0.53
641.0,0.5307
642.0,0.5313
643.0,0.5319
644.0,0.5325
645.0,0.5331
646.0,0.5337
647.0,0.5343
648.0,0.5349
649.0,0.5356
650.0,0.5363
651.0,0.5369
652.0,0.5375
653.0,0.5382
654.0,0.5389
655.0,0.5397
656.0,0.5404
657.0,0.5411
658.0,0.5417
659.0,0.5424
660.0,0.543
661.0,0.5437
662.0,0.5444
663.0,0.5451
664.0,0.5458
665.0,0.5465
666.0,0.5472
667.0,0.5479
668.0,0.5486
669.0,0.5493
670.0,0.5501
671.0,0.5508
672.0,0.5515
673.0,0.5522
674.0,0.5529
675.0,0.5536
676.0,0.5544
677.0,0.5551
678.0,0.5558
679.0,0.5565
680.0,0.5572
681.0,0.558
682.0,0.5587
683.0,0.5594
684.0,0.5602
685.0,0.561
686.0,0.5617
687.0,0.5625
688.0,0.5633
689.0,0.564
690.0,0.5647
691.0,0.5654
692.0,0.5661
693.0,0.5668
694.0,0.5675
695.0,0.5682
696.0,0.5691
697.0,0.5699
698.0,0.5707
699.0,0.5714
700.0,0.5722
701.0,0.573
702.0,0.5737
703.0,0.5745
704.0,0.5753
705.0,0.5761
706.0,0.5769
707.0,0.5777
708.0,0.5785
709.0,0.5793
710.0,0.5801
711.0,0.5809
712.0,0.5817
713.0,0.5825
714.0,0.5833
715.0,0.584
716.0,0.5846
717.0,0.5852
718.0,0.5858
719.0,0.5866
720.0,0.5875
721.0,0.5885
722.0,0.5894
723.0,0.59
724.0,0.5907
725.0,0.5914
726.0,0.5922
727.0,0.593
728.0,0.5938
729.0,0.5946
730.0,0.5953
731.0,0.5961
732.0,0.597
733.0,0.5978
734.0,0.5986
735.0,0.5994
736.0,0.6001
737.0,0.6008
738.0,0.6015
739.0,0.6023
740.0,0.603
741.0,0.6037
742.0,0.6044
743.0,0.6051
744.0,0.6057
745.0,0.6064
746.0,0.607
747.0,0.6077
748.0,0.6083
749.0,0.609
750.0,0.6096
751.0,0.6102
752.0,0.6108
753.0,0.6115
754.0,0.6121
755.0,0.6126
756.0,0.6132
757.0,0.6139
758.0,0.6145
759.0,0.6151
760.0,0.6156
761.0,0.6162
762.0,0.6168
763.0,0.6172
764.0,0.6176
765.0,0.6182
766.0,0.6187
767.0,0.6191
768.0,0.6196
769.0,0.62
770.0,0.6205
771.0,0.6209
772.0,0.6214
773.0,0.6218
774.0,0.6222
775.0,0.6226
776.0,0.623
777.0,0.6234
778.0,0.6238
779.0,0.6242
780.0,0.6246
781.0,0.625
782.0,0.6253
783.0,0.6256
784.0,0.626
785.0,0.6263
786.0,0.6266
787.0,0.6269
788.0,0.6272
789.0,0.6274
790.0,0.6277
791.0,0.628
792.0,0.6283
