University of Adelaide	
Serial Number : 10" panel new	
Comments : Lab Cal CSIRO March 2018	
	

Wavelength	K-factor
350	0.974937499
351	0.973816766
352	0.974087579
353	0.966462808
354	0.97274461
355	0.97031013
356	0.969406694
357	0.966501684
358	0.962243593
359	0.960251526
360	0.961570649
361	0.958937867
362	0.958973597
363	0.958101002
364	0.95941928
365	0.959044624
366	0.957480267
367	0.957583354
368	0.957632822
369	0.958969913
370	0.957243887
371	0.954748195
372	0.954386007
373	0.954577506
374	0.956928071
375	0.959157261
376	0.957260848
377	0.959028949
378	0.957296187
379	0.958010439
380	0.959583598
381	0.956714679
382	0.959907355
383	0.960899442
384	0.959610225
385	0.957884084
386	0.957167707
387	0.958905081
388	0.958571985
389	0.959656437
390	0.958969988
391	0.958505978
392	0.958675334
393	0.958595013
394	0.958823759
395	0.95972564
396	0.960535404
397	0.960009164
398	0.96012461
399	0.959838992
400	0.959755477
401	0.959876282
402	0.960463156
403	0.959900072
404	0.959835096
405	0.959711248
406	0.959996676
407	0.960259962
408	0.960433052
409	0.96083239
410	0.960998268
411	0.960515203
412	0.960579468
413	0.961042885
414	0.961917478
415	0.961382375
416	0.961173849
417	0.961325247
418	0.961225735
419	0.961717258
420	0.961766395
421	0.961839132
422	0.962096224
423	0.961926105
424	0.961959173
425	0.962043162
426	0.961974779
427	0.962126212
428	0.962622855
429	0.963010265
430	0.96321907
431	0.963044145
432	0.96285741
433	0.962877797
434	0.962850046
435	0.963300036
436	0.963989601
437	0.964493601
438	0.964080555
439	0.963818643
440	0.963778513
441	0.963994282
442	0.964111222
443	0.964348935
444	0.964254693
445	0.964301054
446	0.964471639
447	0.964637053
448	0.96505333
449	0.965109237
450	0.965222108
451	0.965195002
452	0.965201178
453	0.96540809
454	0.965488134
455	0.965742262
456	0.965969904
457	0.965964646
458	0.965905695
459	0.965910204
460	0.966135417
461	0.965988029
462	0.965954076
463	0.96629625
464	0.966686412
465	0.967114129
466	0.967047279
467	0.966966368
468	0.966987708
469	0.967039093
470	0.967057759
471	0.967159125
472	0.967352221
473	0.967516556
474	0.967654572
475	0.967797138
476	0.967911762
477	0.967939518
478	0.968051953
479	0.96820567
480	0.968258491
481	0.968288535
482	0.968362227
483	0.96877468
484	0.968901126
485	0.968753927
486	0.968930369
487	0.968842604
488	0.968922255
489	0.969173842
490	0.969518601
491	0.969630742
492	0.969647691
493	0.969641247
494	0.969678058
495	0.969886554
496	0.97016502
497	0.970302649
498	0.97026966
499	0.970218897
500	0.970249792
501	0.970383879
502	0.970511791
503	0.970707669
504	0.970776359
505	0.971012934
506	0.971268927
507	0.971197595
508	0.971287877
509	0.971297909
510	0.971251341
511	0.971343843
512	0.971522603
513	0.971674595
514	0.971655581
515	0.971755984
516	0.971868105
517	0.971943104
518	0.972126262
519	0.972132718
520	0.972283572
521	0.972467034
522	0.972464995
523	0.972476597
524	0.972637173
525	0.972778031
526	0.972811478
527	0.972888262
528	0.972891891
529	0.973043161
530	0.973224894
531	0.973265843
532	0.973311345
533	0.973391201
534	0.973461895
535	0.973567406
536	0.973716358
537	0.973760615
538	0.973767095
539	0.973903401
540	0.974004764
541	0.974025338
542	0.97407089
543	0.974199761
544	0.974349478
545	0.974434896
546	0.974558229
547	0.974649604
548	0.974760857
549	0.974815128
550	0.974874856
551	0.97494356
552	0.975033421
553	0.97517919
554	0.975280137
555	0.975353264
556	0.97546401
557	0.975559961
558	0.975570343
559	0.975653192
560	0.97574463
561	0.975831764
562	0.975935233
563	0.975993178
564	0.976093631
565	0.976158069
566	0.976275075
567	0.97639596
568	0.976447637
569	0.976526947
570	0.976612646
571	0.976680234
572	0.976751934
573	0.976849843
574	0.976900945
575	0.976971841
576	0.977014564
577	0.977056588
578	0.97714649
579	0.977208369
580	0.977229668
581	0.977313936
582	0.977394481
583	0.977424277
584	0.977468518
585	0.977506481
586	0.977544167
587	0.977555711
588	0.977640438
589	0.977685416
590	0.977736826
591	0.97779912
592	0.977814502
593	0.977903981
594	0.977954727
595	0.977979649
596	0.97803448
597	0.978057808
598	0.97806328
599	0.978059917
600	0.978153254
601	0.978225556
602	0.97822839
603	0.978233293
604	0.978288448
605	0.978275569
606	0.978317455
607	0.978359087
608	0.978397976
609	0.978433671
610	0.978479314
611	0.978513445
612	0.978525713
613	0.9785527
614	0.97859524
615	0.978599306
616	0.978638024
617	0.97869082
618	0.978722226
619	0.978719617
620	0.978718665
621	0.978762598
622	0.978805602
623	0.978835637
624	0.978859188
625	0.978883957
626	0.978924872
627	0.978963673
628	0.97898758
629	0.978968717
630	0.979034119
631	0.979068146
632	0.979081564
633	0.979082872
634	0.979093969
635	0.979117155
636	0.979131548
637	0.979143283
638	0.979191895
639	0.979231077
640	0.97927086
641	0.979317578
642	0.979313576
643	0.979310204
644	0.979343858
645	0.979380479
646	0.979434944
647	0.979481228
648	0.979461938
649	0.979423986
650	0.979452175
651	0.979487859
652	0.979467515
653	0.979479013
654	0.97951702
655	0.979531935
656	0.979563051
657	0.979590094
658	0.979600627
659	0.979645652
660	0.979665377
661	0.979661209
662	0.979665868
663	0.97969736
664	0.979705341
665	0.979721268
666	0.979773395
667	0.97977223
668	0.979783124
669	0.979805328
670	0.979823571
671	0.97988896
672	0.979898454
673	0.979882746
674	0.979894849
675	0.979934953
676	0.979973095
677	0.979982209
678	0.980007147
679	0.980020286
680	0.980057623
681	0.980049228
682	0.980051931
683	0.980087212
684	0.980105966
685	0.98010729
686	0.980140054
687	0.980157914
688	0.980179541
689	0.980194926
690	0.980204998
691	0.980234116
