,0,1,2,3,4,5,Sat_mean
band1,0.19845681197672105,0.18864805195783108,0.18673340997080018,0.19114144013539108,0.196662728508734,0.19762260770682272,0.18307708333333333
band2,0.27891358369183455,0.26686472377316833,0.2634443161487236,0.26541313945607325,0.2704919486472942,0.2692965291735253,0.23597416666666668
band3,0.4905959503033076,0.4760239664328112,0.46782911449432746,0.4550893702573025,0.45121433445471204,0.44005862854320527,0.4118270833333333
band4,0.621691773608795,0.6081158563840582,0.5963574264490412,0.5752578503352249,0.5708142412132927,0.5534083769384179,0.5473024999999999
band5,0.6546094709175253,0.6402861234880546,0.6280608914884911,0.604181249443425,0.6017419767262377,0.5811249407689871,0.6007333333333333
band6,0.6867295982366513,0.6725984168054987,0.6594057063913084,0.6331332008391914,0.6310970010250957,0.607634124014406,0.6191983333333334
band7,0.6800635449882423,0.6675132665468738,0.6553659195182504,0.6304196897421468,0.6302065286683504,0.6066440199949229,0.61384375
band8,0.6834994771032138,0.6704020935012106,0.6581477601681346,0.6345319613147977,0.6363262265932806,0.6127326206914889,0.6309516666666667
band8a,0.6835825615114086,0.6702281051871221,0.6579052288199096,0.635210024380451,0.6381120518123302,0.6147501485774499,0.6382208333333333
band11,0.7791059473502628,0.7773066377952028,0.7581061581899823,0.7303562992699614,0.7212769030670811,0.6944722017726418,0.7583908333333333
band12,0.6444120974360518,0.6495603664992441,0.6313233267556296,0.6019681078558805,0.5822721568358353,0.5584338186722102,0.6094979166666668
