,0,1,2,3,4,Sat_mean
band1,0.03416205161536709,0.03432732395969204,0.03116082422385927,0.03210505436474418,0.03309379126829068,0.058892948717948715
band2,0.043849325724098255,0.04412562068843676,0.04043681517914087,0.04119775692007375,0.042352154227326314,0.055385256410256406
band3,0.07850242288075095,0.07917031912592933,0.0734356717542751,0.07449442044883038,0.07620882333222063,0.08379294871794872
band4,0.05959672554053071,0.05964939880680697,0.05348002949158374,0.053135477315414854,0.05415491425799597,0.07067051282051282
band5,0.11746136963958126,0.11613247587561128,0.10773668108838867,0.10726940314542334,0.10827325764255197,0.12943333333333332
band6,0.32249202724247306,0.3261433146697342,0.30560762065153524,0.31182917215539574,0.3146417264529331,0.30488333333333334
band7,0.3771446679817527,0.38422071848979333,0.3620806954044966,0.3721840668280845,0.37592295196876757,0.35942115384615386
band8,0.4003875456763234,0.4065415127490724,0.38355584582601926,0.3938306772915718,0.39674387936929273,0.40005705128205127
band8a,0.41428081245542897,0.4201856015996512,0.3967459265540767,0.407074029352139,0.40968717557167006,0.4042865384615385
band11,0.28000772648410255,0.2909946184730866,0.27477631761014815,0.2735707174094716,0.2793659374614484,0.3095275641025641
band12,0.14389905350409293,0.14936700875714268,0.138544653039128,0.13680606221835853,0.13972584713338645,0.1720628205128205
