rland brdf0 brdf1 brdf2 solar_angle
0.232954 0.200065 0.075992 0.001795 32.687120
0.309921 0.280727 0.108419 0.007025 32.687120
0.368790 0.390779 0.112067 0.015509 32.687120
0.398324 0.451891 0.127216 0.016653 32.687120
0.348962 0.462005 0.124330 0.020427 32.687120
0.248673 0.384076 0.080481 0.024486 32.687120
