University Queensland 	
Serial Number : SRT17 cossa 10" panel	
Comments : Lab cal CSIRO Jan 2018	
	

Wavelength	K-factor
350	1.018502266
351	1.021466709
352	1.015568168
353	1.006649632
354	1.013515823
355	1.014858573
356	1.012868552
357	1.011329493
358	1.003719988
359	0.997850312
360	1.000935938
361	1.003585242
362	1.005943429
363	1.003396179
364	1.005611178
365	1.007281724
366	1.005889155
367	1.004243918
368	1.005222084
369	1.003883358
370	1.003864926
371	1.003585916
372	1.001938921
373	1.001504341
374	1.003655266
375	1.00485225
376	1.005270332
377	1.005363619
378	1.00352423
379	1.004539328
380	1.004337889
381	1.003858053
382	1.006653422
383	1.007025463
384	1.005213173
385	1.004666751
386	1.005346569
387	1.006622775
388	1.005728369
389	1.006947013
390	1.006730132
391	1.005458519
392	1.00495005
393	1.004012053
394	1.004519096
395	1.00554643
396	1.006331641
397	1.0060715
398	1.00567204
399	1.004885963
400	1.005399449
401	1.005651823
402	1.005580723
403	1.005546822
404	1.005712435
405	1.005396467
406	1.005304285
407	1.005643681
408	1.005380344
409	1.005757598
410	1.005822958
411	1.004914151
412	1.004821972
413	1.005142025
414	1.006005777
415	1.00547219
416	1.005255887
417	1.005328751
418	1.005042704
419	1.005362095
420	1.004861303
421	1.00504107
422	1.005435757
423	1.004799217
424	1.004499039
425	1.0044025
426	1.00417439
427	1.004222298
428	1.004552558
429	1.004365039
430	1.004349895
431	1.004006387
432	1.003623059
433	1.003473116
434	1.003242759
435	1.003270303
436	1.003476945
437	1.003772562
438	1.003328503
439	1.002981571
440	1.002434131
441	1.002339387
442	1.002342819
443	1.002253253
444	1.001949814
445	1.001705178
446	1.00115906
447	1.000935688
448	1.001008665
449	1.000837398
450	1.000792676
451	1.000388717
452	0.999960572
453	0.999753893
454	0.99945561
455	0.999288824
456	0.999248173
457	0.998968905
458	0.998817965
459	0.9988151
460	0.998817549
461	0.99863854
462	0.998722411
463	0.998972308
464	0.999321268
465	0.999972947
466	1.000247869
467	1.000406778
468	1.00053258
469	1.000706988
470	1.001070924
471	1.001445463
472	1.001909551
473	1.002284686
474	1.002411162
475	1.002811735
476	1.003321114
477	1.003485001
478	1.003764978
479	1.004070832
480	1.004253834
481	1.004408934
482	1.004587558
483	1.005073984
484	1.005270562
485	1.005389009
486	1.005579276
487	1.005645427
488	1.005848433
489	1.005995727
490	1.006320135
491	1.00666561
492	1.006876479
493	1.006910249
494	1.006845958
495	1.006997609
496	1.007303556
497	1.007490049
498	1.007507176
499	1.00733818
500	1.007358931
501	1.007536824
502	1.007675764
503	1.007805354
504	1.007720329
505	1.007918161
506	1.0081296
507	1.007878474
508	1.007979258
509	1.007958616
510	1.007922144
511	1.007858476
512	1.008037184
513	1.008190948
514	1.008077305
515	1.008101437
516	1.008185103
517	1.008212376
518	1.00836284
519	1.008321477
520	1.008385073
521	1.008510572
522	1.008490083
523	1.008559928
524	1.008636007
525	1.008729162
526	1.008737692
527	1.008737162
528	1.008661961
529	1.008817502
530	1.008887805
531	1.008881185
532	1.008951902
533	1.008905036
534	1.008945565
535	1.008974198
536	1.009012166
537	1.008970961
538	1.008887607
539	1.0088847
540	1.008884755
541	1.008865604
542	1.008870977
543	1.00894364
544	1.009047698
545	1.009054153
546	1.0090849
547	1.009124177
548	1.009159458
549	1.00912839
550	1.009097131
551	1.009087283
552	1.009085692
553	1.009152884
554	1.00916335
555	1.009183118
556	1.009193234
557	1.009203287
558	1.009161301
559	1.009149708
560	1.009171207
561	1.009180789
562	1.009183621
563	1.009220373
564	1.009245679
565	1.009232434
566	1.00926194
567	1.009317823
568	1.009324879
569	1.009309569
570	1.009324123
571	1.009329891
572	1.009310539
573	1.009336207
574	1.00934236
575	1.009379506
576	1.009357123
577	1.009354504
578	1.009405103
579	1.009416357
580	1.009402839
581	1.009456356
582	1.009470908
583	1.009439425
584	1.009461201
585	1.009476773
586	1.009516561
587	1.009500191
588	1.009534236
589	1.009532129
590	1.009527801
591	1.009537575
592	1.009533216
593	1.009582659
594	1.009556352
595	1.009565259
596	1.009585137
597	1.009533653
598	1.009549295
599	1.009537049
600	1.009550305
601	1.009597637
602	1.009638946
603	1.009597751
604	1.009574536
605	1.009561371
606	1.009578407
607	1.009632919
608	1.009646167
609	1.009645384
610	1.009681218
611	1.00970867
612	1.009664639
613	1.009645598
614	1.009643587
615	1.009691936
616	1.009712484
617	1.009692554
618	1.009669545
619	1.009707126
620	1.009733632
621	1.00972444
622	1.009717942
623	1.009719432
624	1.009712331
625	1.009712342
626	1.009693894
627	1.009728905
628	1.009736035
629	1.009707595
630	1.009736529
631	1.009750687
632	1.009726861
633	1.00969608
634	1.009713939
635	1.009739031
636	1.009730849
637	1.009706023
638	1.009725113
639	1.00976773
640	1.009778669
641	1.009793369
642	1.009765728
643	1.009755252
644	1.009759476
645	1.009778305
646	1.009808652
647	1.009811384
648	1.009802383
649	1.009757708
650	1.009740484
651	1.009748117
652	1.009743485
653	1.009716109
654	1.009721774
655	1.009775762
656	1.009760841
657	1.009758708
658	1.009747063
659	1.009745679
660	1.009709193
661	1.009707976
662	1.009711597
663	1.009719876
664	1.009705635
665	1.009678063
666	1.009687501
667	1.009655925
668	1.009613189
669	1.009603765
670	1.009582427
671	1.009646888
672	1.009652858
673	1.009609101
674	1.009592147
675	1.00965815
676	1.009694536
677	1.009644431
678	1.009654359
679	1.009617673
680	1.009618629
681	1.00958796
682	1.009591885
683	1.0095907
684	1.009559451
685	1.009532923
686	1.009534362
687	1.009547381
688	1.00955478
689	1.00962841
690	1.009634838
691	1.009614407
692	1.009584134
693	1.009536964
694	1.009534894
695	1.009534616
696	1.009544594
697	1.009566862
698	1.009533981
699	1.00946685
700	1.00947459
701	1.009499218
702	1.009512763
703	1.00955589
704	1.009513117
705	1.009468282
706	1.009464222
707	1.009487638
708	1.009498479
709	1.009498721
710	1.009510878
711	1.009480865
712	1.009464746
713	1.009461952
714	1.009475984
715	1.009467571
716	1.009493467
717	1.00948363
718	1.009522277
719	1.009504426
720	1.00947235
721	1.00945821
722	1.009457146
723	1.009447636
724	1.009429286
725	1.009427063
726	1.009446705
727	1.009422155
728	1.009386976
729	1.009396991
730	1.009393507
731	1.00938788
732	1.009384932
733	1.009379298
734	1.009343655
735	1.009331959
736	1.009326452
737	1.009335818
738	1.009358701
739	1.0093623
740	1.009375737
741	1.009379106
742	1.009381262
743	1.009400203
744	1.009391835
745	1.009362417
746	1.009377861
747	1.009378353
748	1.009350113
749	1.009346965
750	1.009377221
751	1.009412715
752	1.009392024
753	1.009369895
754	1.009382359
755	1.009387277
756	1.009380412
757	1.009357521
758	1.009359749
759	1.009371639
760	1.009362037
761	1.009339926
762	1.009359681
763	1.009381157
764	1.009397358
765	1.009397286
766	1.009401563
767	1.009387303
768	1.00937014
769	1.009403484
770	1.009411359
771	1.009399595
772	1.009381895
773	1.0093876
774	1.009391153
775	1.009361499
776	1.009370445
777	1.009349479
778	1.009335466
779	1.00932436
780	1.009327872
781	1.009341609
782	1.009341719
783	1.009354175
784	1.009370214
785	1.009357826
786	1.009355022
787	1.009342353
788	1.00934093
789	1.009335543
790	1.009292023
791	1.009276747
792	1.009290477
793	1.009310008
794	1.009332608
795	1.009345392
796	1.009310583
797	1.009309175
798	1.009319323
799	1.009349513
800	1.009333787
801	1.009324988
802	1.009341665
803	1.009377978
804	1.009399242
805	1.009410249
806	1.009426224
807	1.009422074
808	1.009416429
809	1.009391137
810	1.009367556
811	1.009389562
812	1.009418654
813	1.009423192
814	1.009434049
815	1.009462073
816	1.009454999
