University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
554	1.013298394
555	1.013299382
556	1.013300559
557	1.013301916
558	1.013303448
559	1.013305146
560	1.013307003
561	1.013309012
562	1.013311165
563	1.013313455
564	1.013315874
565	1.013318415
566	1.01332107
567	1.013323833
568	1.013326695
569	1.013329649
570	1.013332689
571	1.013335805
572	1.013338992
573	1.013342242
574	1.013345546
575	1.013348898
576	1.013352291
577	1.013355716
578	1.013359167
579	1.013362636
580	1.013366116
581	1.013369599
582	1.013373077
583	1.013376544
584	1.013379993
585	1.013383414
586	1.013386802
587	1.013390148
588	1.013393446
589	1.013396688
590	1.013399866
591	1.013402973
592	1.013406002
593	1.013408945
594	1.013411794
595	1.013414543
596	1.013417184
597	1.01341971
598	1.013422113
599	1.013424385
600	1.01342652
601	1.013428511
602	1.013430358
603	1.013432062
604	1.013433624
605	1.013435045
606	1.013436328
607	1.013437471
608	1.013438478
609	1.013439348
610	1.013440084
611	1.013440685
612	1.013441154
613	1.013441491
614	1.013441698
615	1.013441775
616	1.013441724
617	1.013441546
618	1.013441242
619	1.013440813
620	1.013440261
621	1.013439586
622	1.013438789
623	1.013437873
624	1.013436837
625	1.013435682
626	1.013434411
627	1.013433025
628	1.013431523
629	1.013429908
630	1.01342818
631	1.013426342
632	1.013424393
633	1.013422335
634	1.013420169
635	1.013417896
636	1.013415518
637	1.013413035
638	1.013410449
639	1.01340776
640	1.01340497
641	1.013402081
642	1.013399092
643	1.013396006
644	1.013392823
645	1.013389544
646	1.013386171
647	1.013382705
648	1.013379147
649	1.013375498
650	1.013371759
651	1.013367932
652	1.013364019
653	1.013360024
654	1.01335595
655	1.013351801
656	1.013347579
657	1.013343289
658	1.013338932
659	1.013334514
660	1.013330036
661	1.013325503
662	1.013320917
663	1.013316282
664	1.013311601
665	1.013306878
666	1.013302115
667	1.013297316
668	1.013292485
669	1.013287624
670	1.013282737
671	1.013277827
672	1.013272898
673	1.013267952
674	1.013262994
675	1.013258026
676	1.013253051
677	1.013248074
678	1.013243097
679	1.013238123
680	1.013233157
681	1.0132282
682	1.013223257
683	1.01321833
684	1.013213424
685	1.013208541
686	1.013203685
687	1.013198858
688	1.013194065
689	1.013189308
690	1.013184592
691	1.013179918
692	1.013175291
693	1.013170713
694	1.013166188
695	1.01316172
696	1.013157311
697	1.013152965
698	1.013148686
699	1.013144476
700	1.013140338
701	1.013136276
702	1.013132287
703	1.01312837
704	1.013124523
705	1.013120742
706	1.013117026
707	1.013113373
708	1.013109779
709	1.013106244
710	1.013102764
711	1.013099337
712	1.013095962
713	1.013092635
714	1.013089355
715	1.013086119
716	1.013082925
717	1.01307977
718	1.013076653
719	1.013073571
720	1.013070523
721	1.013067504
722	1.013064514
723	1.01306155
724	1.01305861
725	1.013055691
726	1.013052792
727	1.013049909
728	1.013047041
729	1.013044186
730	1.01304134
731	1.013038503
732	1.013035671
733	1.013032842
734	1.013030015
735	1.013027186
736	1.013024353
737	1.013021515
738	1.013018669
739	1.013015812
740	1.013012943
741	1.013010059
742	1.013007158
743	1.013004237
744	1.013001295
745	1.012998328
746	1.012995336
747	1.012992314
748	1.012989262
749	1.012986177
750	1.012983057
751	1.0129799
752	1.012976711
753	1.012973496
754	1.01297026
755	1.012967008
756	1.012963747
757	1.012960482
758	1.012957219
759	1.012953963
760	1.012950719
761	1.012947494
762	1.012944293
763	1.012941121
764	1.012937985
765	1.012934889
766	1.01293184
767	1.012928843
768	1.012925903
769	1.012923027
770	1.012920219
771	1.012917486
772	1.012914832
773	1.012912265
774	1.012909788
775	1.012907408
776	1.012905131
777	1.012902962
778	1.012900906
779	1.012898969
780	1.012897157
781	1.012895476
782	1.01289393
783	1.012892527
784	1.01289127
785	1.012890166
786	1.012889221
787	1.012888439
788	1.012887827
789	1.01288739
790	1.012887135
791	1.012887065
792	1.012887188
793	1.012887508
794	1.012888031
795	1.012888763
796	1.01288971
797	1.012890876
798	1.012892268
799	1.012893892
800	1.012895752
801	1.012897852
802	1.012900184
803	1.012902738
804	1.012905505
805	1.012908472
806	1.012911632
807	1.012914973
808	1.012918485
809	1.012922158
810	1.012925982
811	1.012929947
812	1.012934043
813	1.012938259
814	1.012942585
815	1.012947011
816	1.012951527
817	1.012956123
818	1.012960788
819	1.012965513
820	1.012970287
821	1.0129751
822	1.012979943
