University of Wollongong	
Serial Number : 10" panel new 2017	
Comments : Lab Cal CSIRO March 2018 	

	
Wavelength K-factor
1931	1.000884283
1932	1.000853537
1933	1.000821939
1934	1.000789472
1935	1.000756117
1936	1.000721857
1937	1.000686674
1938	1.00065055
1939	1.000613468
1940	1.00057541
1941	1.000536357
1942	1.000496293
1943	1.000455199
1944	1.000413058
1945	1.000369852
1946	1.000325563
1947	1.000280174
1948	1.000233667
1949	1.000186023
1950	1.000137225
1951	1.000087249
1952	1.00003604
1953	0.999983537
1954	0.999929678
1955	0.999874402
1956	0.999817649
1957	0.999759356
1958	0.999699463
1959	0.999637908
1960	0.99957463
1961	0.999509567
1962	0.999442659
1963	0.999373844
1964	0.999303061
1965	0.999230248
1966	0.999155344
1967	0.999078288
1968	0.998999019
1969	0.998917476
1970	0.998833596
1971	0.998747319
1972	0.998658584
1973	0.998567329
1974	0.998473493
1975	0.998377014
1976	0.998277832
1977	0.998175885
1978	0.998071112
1979	0.997963452
1980	0.997852842
1981	0.997739223
1982	0.997622532
1983	0.997502709
1984	0.997379692
1985	0.99725342
1986	0.997123832
1987	0.996990865
1988	0.99685446
1989	0.996714555
1990	0.996571088
1991	0.996423998
1992	0.996273224
1993	0.996118704
1994	0.995960378
1995	0.995798185
1996	0.995632061
1997	0.995461948
1998	0.995287782
1999	0.995109504
2000	0.994927051
2001	0.994740399
2002	0.994549669
2003	0.994355018
2004	0.994156604
2005	0.993954585
2006	0.993749117
2007	0.993540359
2008	0.993328468
2009	0.993113602
2010	0.992895917
2011	0.992675573
2012	0.992452725
2013	0.992227532
2014	0.992000151
2015	0.991770739
2016	0.991539455
2017	0.991306456
2018	0.991071899
2019	0.990835941
2020	0.990598741
2021	0.990360455
2022	0.990121242
2023	0.989881259
2024	0.989640662
2025	0.989399611
2026	0.989158262
2027	0.988916773
2028	0.988675302
2029	0.988434005
2030	0.988193041
2031	0.987952566
2032	0.98771274
2033	0.987473718
2034	0.987235659
2035	0.98699872
2036	0.986763058
2037	0.986528831
2038	0.986296197
2039	0.986065314
2040	0.985836338
2041	0.985609427
2042	0.985384738
2043	0.98516243
2044	0.98494266
2045	0.984725585
2046	0.984511362
2047	0.98430015
2048	0.984092106
2049	0.983887387
2050	0.983686151
2051	0.983488508
2052	0.983294375
2053	0.983103624
2054	0.982916124
2055	0.982731748
2056	0.982550364
2057	0.982371844
2058	0.982196057
2059	0.982022876
2060	0.981852169
2061	0.981683808
2062	0.981517663
2063	0.981353605
2064	0.981191504
2065	0.981031231
2066	0.980872656
2067	0.980715649
2068	0.980560082
2069	0.980405825
2070	0.980252748
2071	0.980100722
2072	0.979949618
2073	0.979799305
2074	0.979649655
2075	0.979500538
2076	0.979351824
2077	0.979203384
2078	0.979055089
2079	0.978906809
2080	0.978758414
2081	0.978609775
2082	0.978460764
2083	0.978311249
2084	0.978161102
2085	0.978010193
2086	0.977858393
2087	0.977705572
2088	0.977551601
2089	0.97739635
2090	0.97723969
2091	0.977081492
2092	0.976921625
2093	0.976759961
2094	0.976596369
2095	0.976430721
2096	0.976262888
2097	0.976092738
2098	0.975920144
2099	0.975744975
2100	0.975567102
2101	0.97538648
2102	0.975203402
2103	0.975018245
2104	0.974831387
2105	0.974643203
2106	0.974454073
2107	0.974264372
2108	0.974074478
2109	0.973884768
2110	0.973695619
2111	0.973507409
2112	0.973320515
2113	0.973135314
2114	0.972952183
2115	0.9727715
2116	0.972593641
2117	0.972418983
2118	0.972247905
2119	0.972080783
2120	0.971917994
2121	0.971759916
2122	0.971606925
2123	0.9714594
2124	0.971317716
2125	0.971182252
2126	0.971053385
2127	0.970931491
2128	0.970816948
2129	0.970710134
2130	0.970611424
2131	0.970521197
2132	0.97043983
2133	0.9703677
2134	0.970305184
2135	0.970252659
2136	0.970210503
2137	0.970179092
2138	0.970158804
2139	0.970150017
2140	0.970153107
2141	0.970168451
2142	0.970196427
2143	0.970237412
2144	0.970291783
2145	0.970359917
2146	0.970442192
2147	0.970538984
2148	0.970650671
2149	0.970777631
2150	0.970920239
2151	0.971078716
2152	0.971252649
2153	0.971441467
2154	0.971644599
2155	0.971861475
2156	0.972091523
2157	0.972334173
2158	0.972588855
2159	0.972854997
2160	0.973132029
2161	0.97341938
2162	0.973716479
2163	0.974022755
2164	0.974337639
2165	0.974660558
2166	0.974990943
2167	0.975328222
2168	0.975671825
2169	0.976021181
2170	0.976375719
2171	0.976734869
2172	0.97709806
2173	0.97746472
2174	0.97783428
2175	0.978206169
2176	0.978579815
2177	0.978954649
2178	0.979330098
2179	0.979705594
2180	0.980080564
2181	0.980454438
2182	0.980826646
2183	0.981196616
2184	0.981563778
2185	0.981927561
2186	0.982287394
2187	0.982642707
2188	0.982992929
2189	0.983337489
2190	0.983675816
2191	0.98400734
2192	0.98433149
2193	0.984647694
2194	0.984955384
2195	0.985253986
2196	0.985542932
2197	0.98582165
2198	0.986089569
2199	0.986346119
2200	0.986590729
2201	0.986822962
2202	0.987042917
2203	0.987250829
2204	0.98744693
2205	0.987631455
2206	0.987804636
2207	0.987966708
2208	0.988117903
2209	0.988258456
2210	0.988388599
2211	0.988508566
2212	0.988618592
2213	0.988718908
2214	0.98880975
2215	0.988891349
2216	0.988963941
2217	0.989027758
2218	0.989083033
2219	0.989130001
2220	0.989168895
2221	0.989199949
2222	0.989223395
2223	0.989239467
2224	0.9892484
2225	0.989250426
2226	0.989245779
2227	0.989234692
2228	0.9892174
2229	0.989194134
2230	0.98916513
2231	0.989130621
2232	0.989090839
2233	0.989046019
2234	0.988996394
2235	0.988942197
2236	0.988883663
2237	0.988821024
2238	0.988754514
2239	0.988684367
2240	0.988610816
2241	0.988534095
2242	0.988454437
2243	0.988372075
2244	0.988287244
2245	0.988200176
2246	0.988111105
2247	0.988020265
2248	0.98792789
2249	0.987834212
2250	0.987739465
2251	0.987643839
2252	0.987547341
2253	0.987449936
2254	0.987351589
2255	0.987252264
2256	0.987151924
2257	0.987050535
2258	0.98694806
2259	0.986844464
2260	0.98673971
2261	0.986633764
2262	0.986526589
2263	0.98641815
2264	0.98630841
2265	0.986197334
2266	0.986084887
2267	0.985971032
2268	0.985855734
2269	0.985738957
2270	0.985620665
2271	0.985500823
2272	0.985379394
2273	0.985256343
2274	0.985131635
2275	0.985005233
2276	0.984877101
2277	0.984747204
2278	0.984615506
2279	0.984481972
2280	0.984346565
2281	0.98420925
2282	0.984069991
2283	0.983928752
2284	0.983785498
2285	0.983640192
2286	0.9834928
2287	0.983343285
2288	0.983191611
2289	0.983037742
2290	0.982881644
2291	0.98272328
2292	0.982562614
2293	0.982399611
2294	0.982234234
2295	0.982066449
2296	0.981896219
2297	0.981723509
2298	0.981548282
2299	0.981370503
2300	0.981190137
2301	0.981007175
2302	0.980821722
2303	0.98063391
2304	0.980443873
2305	0.980251741
2306	0.980057649
2307	0.979861727
2308	0.979664109
2309	0.979464928
2310	0.979264315
2311	0.979062403
2312	0.978859324
2313	0.978655212
2314	0.978450197
2315	0.978244414
2316	0.978037994
2317	0.97783107
2318	0.977623774
2319	0.977416239
2320	0.977208596
2321	0.97700098
2322	0.976793521
2323	0.976586353
2324	0.976379608
2325	0.976173419
2326	0.975967917
2327	0.975763236
2328	0.975559507
2329	0.975356863
2330	0.975155438
2331	0.974955362
2332	0.974756769
2333	0.974559791
2334	0.974364561
2335	0.974171211
2336	0.973979873
2337	0.97379068
2338	0.973603764
2339	0.973419258
2340	0.973237294
2341	0.973058005
2342	0.972881523
2343	0.972707981
2344	0.972537511
2345	0.972370245
2346	0.972206317
2347	0.972045857
2348	0.971889
2349	0.971735877
2350	0.971586621
2351	0.97144133
2352	0.971299966
2353	0.971162457
2354	0.97102873
2355	0.970898714
2356	0.970772335
2357	0.970649522
2358	0.970530203
2359	0.970414305
2360	0.970301756
2361	0.970192484
2362	0.970086416
2363	0.96998348
2364	0.969883605
2365	0.969786717
2366	0.969692744
2367	0.969601615
2368	0.969513257
2369	0.969427597
2370	0.969344564
2371	0.969264085
2372	0.969186088
2373	0.969110501
2374	0.969037251
2375	0.968966266
2376	0.968897474
2377	0.968830803
2378	0.96876618
2379	0.968703534
2380	0.968642791
2381	0.96858388
2382	0.968526729
2383	0.968471264
2384	0.968417415
2385	0.968365108
2386	0.968314272
2387	0.968264834
2388	0.968216721
2389	0.968169862
2390	0.968124185
2391	0.968079617
2392	0.968036085
2393	0.967993519
2394	0.967951844
2395	0.96791099
2396	0.967870884
2397	0.967831453
2398	0.967792625
2399	0.967754329
2400	0.967716492
2401	0.967679054
2402	0.967642009
2403	0.967605364
2404	0.967569125
2405	0.967533299
2406	0.967497892
2407	0.967462911
2408	0.967428361
2409	0.967394251
2410	0.967360585
2411	0.967327372
2412	0.967294616
2413	0.967262325
2414	0.967230506
2415	0.967199164
2416	0.967168306
2417	0.96713794
2418	0.96710807
2419	0.967078704
2420	0.967049849
2421	0.96702151
2422	0.966993695
2423	0.966966409
2424	0.96693966
2425	0.966913454
2426	0.966887797
2427	0.966862695
2428	0.966838157
2429	0.966814187
2430	0.966790792
2431	0.96676798
2432	0.966745755
2433	0.966724126
2434	0.966703098
2435	0.966682678
2436	0.966662873
2437	0.966643688
2438	0.966625131
2439	0.966607208
2440	0.966589926
2441	0.96657329
2442	0.966557308
2443	0.966541986
2444	0.966527331
2445	0.966513348
2446	0.966500046
2447	0.966487429
2448	0.966475504
2449	0.966464279
2450	0.96645376
2451	0.966443949
2452	0.966434836
2453	0.966426406
2454	0.966418646
2455	0.966411541
2456	0.966405077
2457	0.96639924
2458	0.966394015
2459	0.966389388
2460	0.966385345
2461	0.966381872
2462	0.966378954
2463	0.966376578
2464	0.966374728
2465	0.966373391
2466	0.966372553
2467	0.966372199
2468	0.966372315
2469	0.966372886
2470	0.966373899
2471	0.96637534
2472	0.966377193
2473	0.966379445
2474	0.966382082
2475	0.966385089
2476	0.966388452
2477	0.966392157
2478	0.966396189
2479	0.966400535
2480	0.96640518
2481	0.966410109
2482	0.96641531
2483	0.966420766
2484	0.966426465
2485	0.966432391
2486	0.966438532
2487	0.966444871
2488	0.966451396
2489	0.966458092
2490	0.966464944
2491	0.966471939
2492	0.966479062
2493	0.966486299
2494	0.966493635
2495	0.966501057
2496	0.96650855
2497	0.966516101
2498	0.966523694
2499	0.966531315
2500	0.966538951

